TMPO-AS1	TMPO	Knockdown of TMPO-AS1 decreased the mRNA and protein levels of TMPO in NSCLC cells
MEG3	SNRPA	Screen using siRNA revealed depletion of U1 snRNP components SNRPA,SNRNP70 or SNRPD2 caused significant cytoplasmic localization of MEG3 reporter transcripts
MEG3	SNRNP70	Screen using siRNA revealed depletion of U1 snRNP components SNRPA,SNRNP70 or SNRPD2 caused significant cytoplasmic localization of MEG3 reporter transcripts
MEG3	SNRPD2	Screen using siRNA revealed depletion of U1 snRNP components SNRPA,SNRNP70 or SNRPD2 caused significant cytoplasmic localization of MEG3 reporter transcripts
UCA1	Beclin1	The effect of UCA1 inhibition for miR-185 was decreased by lncRNA UCA1 inference,and released the beta-Catenin TCF-4,Beclin1 and LC3 2,and further reduced the autophagy and growth in A549 cells
UCA1	CLIC1	According to the bioinformatics analysis,lncRNA UCA1 and CLIC1 were both significantly upregulated in BDC,while the expression of miR-122 declined compared with the normal group
UCA1	CLIC1	lncRNA UCA1 and CLIC1 were both significantly upregulated in BDC,while the expression of miR-122 declined compared with the normal group
UCA1	CLIC1	The target relationship among UCA1, CLIC1 and miR-122 was verified UCA1 promoted BDC cell migration and invasiveness,while miR-122 inhibited their progression CLIC1 served as the downstream target gene of miR-122 and had opposite effects
UCA1	CLIC1	UCA1 promoted the metastasis of BDC cells by regulating the expression of miR-122 and its downstream gene mRNA CLIC1 and promoted the activation of the ERK/MAPK pathway,which expanded the horizons of targeted therapy of cholangiocarcinoma
LINC00052	CALCOCO1	More importantly,the results of our research demonstrated that LINC00052 could regulate the expression of CALCOCO1 via sponging miR-574-5p in CRC
FOXD1-AS1	eIF5a	Furthermore,protein eukaryotic translation initiation factor 5 subunit A (eIF5a) resulted a direct target of FOXD1-AS1
FOXD1-AS1	eIF5a	These data indicated that FOXD1-AS1,a miR339/342 target,affected biological processes via protein eIF5a
H19	p53	While inhibiting p53 on the basis of H19 knockdown reversed the pro-neurogenesis effect of H19 inhibition
H19	p53	Furthermore,H19 decreased the transcriptional activity of p53 and the expression of Notch1,and p53 inhibition abolished these effects of H19
LINC00052	CALCOCO1	Dual-luciferase reporter gene assay was performed to identify the interaction between LINC00052 and miR-574-5p or CALCOCO1 and miR-574-5p
CRNDE	SIX1	Mechanistic investigations demonstrated that lncRNA CRNDE interacted with miR-337-3p and decreased its expression,thereby increasing the protein expression of miR-337-3p's target,SIX1
CRNDE	SIX1	In addition,in vivo experiments using a xenograft tumor mouse model revealed that lncRNA CRNDE served as an oncogene,partly through sponging miR-337-3p and upregulating SIX1 in HCC
DDX11-AS1	LATS2	Knockdown of DDX11-AS1 increased the mRNA and protein levels of LATS2
DDX11-AS1	LATS2	Overexpression of LATS2 abolished the promotive effect of DDX11-AS1 on cell growth and invasion
DDX11-AS1	LATS2	The mRNA levels of LATS2 were markedly decreased in tumor tissues and negatively correlated with DDX11-AS1 expression
ANRIL	IL-10	Besides,lncRNA ANRIL was also positively correlated with TNSS,tumor necrosis factor alpha,interleukin (IL)-4,IL-6,IL-13,and IL-17,while negatively associated with IL-10 and interferon gamma
DDX11-AS1	DNMT1	Functionally, the proliferation, cell cycle progression, migration, and invasion of HCC cells were inhibited by DDX11-AS1 silencing, while promoted by ectopic expression of DDX11-AS1 RNA immunoprecipitation (RIP) and chromatin immunoprecipitation (ChIP) assays validated that DDX11-AS1 suppressed LATS2 expression by interacting with EZH2 and DNMT1 in HCC cells
DDX11-AS1	EZH2	Functionally, the proliferation, cell cycle progression, migration, and invasion of HCC cells were inhibited by DDX11-AS1 silencing, while promoted by ectopic expression of DDX11-AS1 RNA immunoprecipitation (RIP) and chromatin immunoprecipitation (ChIP) assays validated that DDX11-AS1 suppressed LATS2 expression by interacting with EZH2 and DNMT1 in HCC cells
MFI2-AS1	MYCBP	LncRNA MFI2-AS1 promoted CRC cell proliferation, migration and invasion through activating MYCBP and by sponging miR-574-5p
FAF	FGF9	Moreover, overexpression of lncRNA FAF could also increase the expression of FGF9
LINC00313	ALX4	We probe into the specific role of LINC00313 in mediation of cellular processes of thyroid cancer including proliferation, migration, and invasion through the methylation of aristaless-like homeobox 4 (ALX4)
LINC00313	ALX4	In addition, the binding of LINC00313 and the promoter region of ALX4, and the interaction of LINC00313 with methylation-related proteins were detected
LINC00313	ALX4	The microarray-based analysis manifested that LINC00313 was overexpressed, whereas ALX4 was downregulated in thyroid cancer, the results of which were also verified in thyroid cancer tissues
LINC00313	ALX4	Besides, our results demonstrated that LINC00313 bound to the ALX4 promoter region, and LINC00313 recruited DNMT1 and DNMT3B proteins to promote the methylation of ALX4 promoter region, thus suppressing the ALX4 expression 
LINC00313	DNMT1	Besides, our results demonstrated that LINC00313 bound to the ALX4 promoter region, and LINC00313 recruited DNMT1 and DNMT3B proteins to promote the methylation of ALX4 promoter region, thus suppressing the ALX4 expression 
LINC00313	DNMT3B	Besides, our results demonstrated that LINC00313 bound to the ALX4 promoter region, and LINC00313 recruited DNMT1 and DNMT3B proteins to promote the methylation of ALX4 promoter region, thus suppressing the ALX4 expression
LINC00313	ALX4	downregulated LINC00313 suppresses cell proliferation, migration, as well as invasion of thyroid cancer by inhibiting the methylation of ALX4 and increasing its expression by inactivation of the AKT/mTOR signaling pathway
RHPN1-AS1	P53	Knockdown of RHPN1-AS1 delivered by lentivirus system inhibited MCF-7 cell proliferation indicated by the cell proliferation and colony formation assays, and the knockdown of RHPN1-AS1 enhanced P53 protein expression in MCF-7 and MDA-MB-231 cells
RHPN1-AS1	P53	luciferase reporter assay validated that RHPN1-AS1 is a molecular sponge of miR-4261, and direct transcriptional target of c-Myc RHPN1-AS1 exerts tumorigenesis by regulating P53 expression via MDM2 gene
PYCARD-AS1	PYCARD	we identified an lncRNA antisense to the pro-apoptotic gene PYCARD, named PYCARD-AS1, which exhibits a dual nuclear and cytoplasmic distribution and is required for the PYCARD silencing in breast cancer cells
PYCARD-AS1	PYCARD	The PYCARD regulated apoptosis is controlled by PYCARD-AS1 ; moreover, PYCARD-AS1 regulates apoptosis in a PYCARD dependent manner, indicating that PYCARD is a critical downstream target of PYCARD-AS1
ROR	FOXM1	the sponging of miR-876-5p by ROR released FOXM1, thereby forming a positive-feedback loop
ROR	FOXM1	Upregulation of both FOXM1 and ROR impaired the sensitivity to sorafenib in HCC cells
ROR	FOXM1	These results revealed a novel molecular feedback loop between ROR and FOXM1 and elucidated their functions in sorafenib sensitivity of HCC cell lines
H19	ITGB3	From these results, we can infer that in endometriosis both miR-124-3p and ITGB3 operate as downstream effector proteins in the H19 signaling pathway
H19	ITGB3	Down-regulation of H19 could inhibit ectopic endometrial cell proliferation and invasion by modulating miR-124-3p and ITGB3, offering a novel target for treatment
MALAT1	eIF4E	In this study, we demonstrated miR-497 post-transcriptionally repressed MALAT1 whilst MALAT1 also competes for miR-497 binding to its molecular target, eIF4E (eukaryotic translation initiation factor 4E)
MALAT1	SFPQ	Furthermore, MALAT1 directly binds to SFPQ (Splicing Factor Proline and Glutamine Rich) protein, indicating its multifaceted roles in ACC pathophysiology
MALAT1	ZEB2	Knockdown MALAT1 or ZEB2 inhibited HG-induced EMT and fibrosis, similar to miR-145
MALAT1	ZEB2	Mechanistically, MALAT1 functions as a sponge RNA for miR-145 to derepress the expression of target gene ZEB2, thereby inducing EMT and fibrosis
H19	NADPH	This study aimed at the participation of lncRNA H19, endothelial NADPH oxidases (NOX4) and mir-148b in hypoxia stress in human hepatic sinusoidal endothelial cells (HHSEC), and clarifying the relationship among them
H19	NOX4	The expression of lnc H19, NOX4 and mir-148b in cirrhotic patients and hypoxic HHSEC were measured by RT-PCR
H19	NOX4	The present results indicated that the expressions of NOX4 mRNA and lnc H19 were increased but mir-148b was decreased in both cirrhotic patients and hypoxic HHSEC
H19	NOX4	In addition, NOX4 was a direct, negatively regulated target of mir-148b, and mir-148b was negatively regulated by lnc H19
H19	NOX4	Collectively, lnc H19 is a negatively regulator of mir-148b, and participate in hypoxia stress in HHSEC via positively regulating NOX4 and negatively regulating eNOS/NO signaling
AFAP1-AS1	RBM5	Moreover, the mRNA and protein expressions of RBM5 were upregulated after AFAP1-AS1 was knocked down
AFAP1-AS1	RBM5	Furthermore, the RBM5 expression level was negatively related to AFAP1-AS1 expression level in prostate cancer samples AFAP1-AS1 acts as an oncogene in prostate cancer by enhancing cell metastasis and proliferation via suppressing RBM5, which might be a novel therapeutic strategy in treatment for prostate cancer
LUCAT1	KISS1	In addition, the mRNA and protein expression of KISS1 were downregulated after LUCAT1 overexpression
LUCAT1	KISS1	the expression level of KISS1 was negatively related to the expression level of LUCAT1 in prostate cancer tissues LUCAT1 could enhance migration and invasion of prostate cancer cells by regulating KISS1, which might offer a potential therapeutic target for prostate cancer
LINC00460	AKT	Gain- and loss-of function experiments were conducted to analyze effects of LINC00460, miR-206 and STC2 on the expression of apoptosis-related proteins, autophagy-related proteins, and the extents of AKT, ERK phosphorylation
LINC00460	ERK	Gain- and loss-of function experiments were conducted to analyze effects of LINC00460, miR-206 and STC2 on the expression of apoptosis-related proteins, autophagy-related proteins, and the extents of AKT, ERK phosphorylation
LINC00460	STC2	Cell cycle distribution, apoptosis and the production of autophagosomes after transfection were evaluated to further explore the role of LINC00460 miR-206 STC2 axis in HNSCC LINC00460 and STC2 were highly expressed while miR-206 was poorly expressed in HNSCC
LINC00460	STC2	Besides, miR-206 was found to bind to both LINC00460 and STC2
AFAP1-AS1	LSD1	Here we reported that AFAP1-AS1, recruiting and binding to lysine-specific demethylase 1 (LSD1), was generally overexpressed in human non-small-cell lung cancer (NSCLC) tissues using quantitative real-time PCR
AFAP1-AS1	LSD1	Moreover, mechanistic investigations including RNA immunoprecipitation and ChIP assays validated that AFAP1-AS1 repressed HMG box-containing protein 1 (HBP1) expression by recruiting LSD1 to the HBP1 promoter regions in PC-9 and H1975 cells
AFAP1-AS1	HBP1	Moreover, mechanistic investigations including RNA immunoprecipitation and ChIP assays validated that AFAP1-AS1 repressed HMG box-containing protein 1 (HBP1) expression by recruiting LSD1 to the HBP1 promoter regions in PC-9 and H1975 cells
AFAP1-AS1	HBP1	the oncogenic effect of AFAP1-AS1 is partially dependent on the epigenetic silencing of HBP1
AFAP1-AS1	HBP1	In conclusion, our results indicate that AFAP1-AS1 is carcinogenic and that the AFAP1-AS1 LSD1 HBP1 axis could constitute a new therapeutic direction for NSCLC
AFAP1-AS1	LSD1	In conclusion, our results indicate that AFAP1-AS1 is carcinogenic and that the AFAP1-AS1 LSD1 HBP1 axis could constitute a new therapeutic direction for NSCLC
ncRAN	JNK	Besides, miR-146a-5p inhibitor abolished the function of ncRAN knockdown on cell injury, JNK and NF-κB pathways ncRAN regulated LPS-induced inflammation injury in WI-38 cells through competitively binding miR-146a-5p with CCL5 further mediating JNK and NF-κB pathways, which sheds novel light on diagnostics and therapeutics in pneumonia
ncRAN	CCL5	Besides, miR-146a-5p inhibitor abolished the function of ncRAN knockdown on cell injury, JNK and NF-κB pathways ncRAN regulated LPS-induced inflammation injury in WI-38 cells through competitively binding miR-146a-5p with CCL5 further mediating JNK and NF-κB pathways, which sheds novel light on diagnostics and therapeutics in pneumonia
H19	Igf2	However, it was not entirely clear whether the impairment of ovary by TCDD was related to the methylation pattern of Igf2 and H19 ICR
SNHG1	Akt	The present study aims to explore the involvement of lncRNA SNHG1 (small nucleolar RNA host gene 1) in sorafenib resistance and how SNHG1 is associated with overexpressed microRNA-21 (miR-21) and the activated Akt pathway, which have been demonstrated to mediate this resistance in HCC cells
LINC00511	CDK6	However, the effects of long intergenic noncoding RNA 00511 (LINC00511), a newly identified oncogenic lncRNA, on the drug resistance of breast cancer cells remain unknown RT-qPCR was performed to detect the expressions of LINC00511, miR-29c, and cyclin dependent kinase 6 (CDK6) in breast cancer tissues and cells
NEAT1	SFPQ	In particular, the central C domain contains smaller subdomains that are high-affinity binding sites for the essential paraspeckle proteins (NONO and SFPQ) that subsequently polymerize along NEAT1
NEAT1	NONO	In particular, the central C domain contains smaller subdomains that are high-affinity binding sites for the essential paraspeckle proteins (NONO and SFPQ) that subsequently polymerize along NEAT1
lnc-TIGD1L2-3	NaOx	Five miRNAs , four mRNAs and six lncRNAs (lnc-TIGD1L2-3, KIN-1, lnc-FAM72B-4, lnc-EVI5L-1, lnc-SERPINI1-2, lnc-MB-6) from the HK-2 cells induced by NaOx were consistent with the expression changes of microarray results
KIN-1	NaOx	Five miRNAs , four mRNAs and six lncRNAs (lnc-TIGD1L2-3, KIN-1, lnc-FAM72B-4, lnc-EVI5L-1, lnc-SERPINI1-2, lnc-MB-6) from the HK-2 cells induced by NaOx were consistent with the expression changes of microarray results
lnc-MB-6	NaOx	Five miRNAs , four mRNAs and six lncRNAs (lnc-TIGD1L2-3, KIN-1, lnc-FAM72B-4, lnc-EVI5L-1, lnc-SERPINI1-2, lnc-MB-6) from the HK-2 cells induced by NaOx were consistent with the expression changes of microarray results
LINC00467	DKK1	Furthermore, LINC00467 was located in the nucleus of LUAD cell lines and negatively regulated DKK1 in LUAD cells
LINC00467	DKK1	STAT1-induced upregulation of LINC00467 promoted LUAD progression by epigenetically silencing DKK1 to activate Wnt/ β-catenin signaling pathway
H19	C8orf4	The dynamic effects of H19 and miR-30a on C8orf4 messenger RNA (mRNA) expression and protein and adipogenic differentiation were evaluated miR-30a negatively regulated H19 with each other through direct binding
H19	C8orf4	The lncRNA H19 serves as a competing endogenous RNA (ceRNA) for miR-30a to augment miR-30a downstream target C8orf4, therefore modulating adipogenic differentiation in hADSCs
CHRF	p65	Furthermore, miR-146a was identified to be negatively regulated by lncRNA CHRF, and its overexpression abrogated the roles of lncRNA CHRF in IL-6-treated cells IL-6-induced the accumulation of IκBα, p65, JAK1, and STAT3 at phosphorylated level was further facilitated by lncRNA CHRF whereas repressed by miR-146a
H19	PI3K	The total protein of PI3K, AKT, and mTOR in the H19 knockout resistant cells showed no significant change relative to those in the H19 non-knockout resistant cells, whereas the phosphorylated proteins of PI3K, AKT, and mTOR were significantly decreased
H19	AKT	The total protein of PI3K, AKT, and mTOR in the H19 knockout resistant cells showed no significant change relative to those in the H19 non-knockout resistant cells, whereas the phosphorylated proteins of PI3K, AKT, and mTOR were significantly decreased
H19	mTOR	The total protein of PI3K, AKT, and mTOR in the H19 knockout resistant cells showed no significant change relative to those in the H19 non-knockout resistant cells, whereas the phosphorylated proteins of PI3K, AKT, and mTOR were significantly decreased
BWS	IGF2	These results raise the possibility that a defective modifier or regulatory gene unlinked to 11p15.5 caused a spectrum of epigenetic alterations in the germ line or early development of both cousins, ranging from the relaxation of IGF2 imprinting in the KTWS proband to disruption of both the imprinted expression of IGF2 and the imprinted methylation of KvDMR1 in the BWS proband 
H19	IGF2	Analysis of these data also indicates that loss of IGF2 imprinting is not necessarily linked to alteration of methylation at the KvDMR1 or H19 loci and supports the notion that IGF2 overexpression is involved in the etiology of the tissue hypertrophy observed in different overgrowth disorders, including KTWS 
H19	IGF2	In most tissues, IGF2 is transcribed only from the paternal chromosome while H19 is transcribed only from the maternal allele 
H19	IGF2	A number of genes, including IGF2 and H19, are normally imprinted with preferential expression of the paternal or maternal allele, respectively
ncRAN	E2F5	Taken together, our findings indicated that ncRAN induces breast cancer cell migration by competitively binding miR-98 with E2F5, and ncRAN can serve as a potential therapeutic target for breast cancer treatment
LINC00672	LASP1	Nevertheless, LINC00672 is a p53 -targeting lincRNA acting along with heterogeneous nuclear ribonucleoproteins as a suppressive cofactor, which locally reinforces p53-mediated suppression of LASP1, an evolutionarily conserved neighboring gene of LINC00672 and putatively associated with increased tumor aggressiveness, during anti-tumor processes LINC00672 overexpression could lower the levels of LASP1 and slow the development of malignant phenotypes of EC both in vitro and in vivo Moreover, LINC00672 significantly increased the 50 % inhibitory concentration of paclitaxel in EC cells and increased the sensitivity of xenograft mice to paclitaxel
LINC00672	p53	Nevertheless, LINC00672 is a p53 -targeting lincRNA acting along with heterogeneous nuclear ribonucleoproteins as a suppressive cofactor, which locally reinforces p53-mediated suppression of LASP1, an evolutionarily conserved neighboring gene of LINC00672 and putatively associated with increased tumor aggressiveness, during anti-tumor processes LINC00672 overexpression could lower the levels of LASP1 and slow the development of malignant phenotypes of EC both in vitro and in vivo Moreover, LINC00672 significantly increased the 50 % inhibitory concentration of paclitaxel in EC cells and increased the sensitivity of xenograft mice to paclitaxel
LINC00672	LASP1	These findings indicate that LINC00672 can influence LASP1 expression as a locus-restricted cofactor for p53-mediated gene suppression, thus impacting EC malignancies and chemosensitivity to paclitaxel 
HOTAIR	SRF	Moreover, silencing of either SRF or HOTAIR could counteract the promotion of gastric adenocarcinoma cell proliferation and invasion by miR-101-3p inhibition 
CASC2	CPEB1	Overexpression of CASC2 promotes the malignant characteristic of astrocytoma cells CASC2 directly bound miR-101 and mediated pre-miR-101 processing into mature miR-101, and functions as a competitor of miR-101 target genes such as CPEB1
LINC01213	NRAS	Meanwhile, LINC01213, LINC01133 and LOC284578 were correlated with BRAF mutation, and PGM5-AS1 was related to NRAS mutation
LINC01133	NRAS	Meanwhile, LINC01213, LINC01133 and LOC284578 were correlated with BRAF mutation, and PGM5-AS1 was related to NRAS mutation
LOC284578	NRAS	Meanwhile, LINC01213, LINC01133 and LOC284578 were correlated with BRAF mutation, and PGM5-AS1 was related to NRAS mutation
PVT1	CD151	The effects of PVT1 on the expression of CD151 and FGF2 were evaluated by Western blot PVT1 was up-regulated in GC tissues than that in the matched normal tissues, and mRNA level of miR-152 was decreased
PVT1	FGF2	The effects of PVT1 on the expression of CD151 and FGF2 were evaluated by Western blot PVT1 was up-regulated in GC tissues than that in the matched normal tissues, and mRNA level of miR-152 was decreased
MALAT1	JAG1	MALAT1 inhibited tongue cancer cell growth and metastasis through miR-124-dependent JAG1 regulation
SNHG1	p53	Upon doxorubicin treatment, the lncRNA SNHG1 is retained in the nucleus through its binding with nucleolin and it competes with p53 for hnRNPC binding, which upregulates p53 levels and promotes p53-dependent apoptosis by impairing hnRNPC regulation of p53 activity
SNHG1	p53	Our results indicate that a balance between lncRNA SNHG1 and hnRNPC regulates p53 activity and p53-dependent apoptosis upon doxorubicin treatment, and further indicate that a change in lncRNA subcellular localization under specific circumstances is biologically significant
SNHG20	ZEB1	Kaplan-Meier survival analysis and log-rank test was used to reveal the association between SNHG20 expression and the overall survival time in HCC patients CCK8 cell proliferation and transwell invasion assays were performed to analyze the cell proliferation and cell invasion ability QRT-PCR and western-blotting analysis were performed to demonstrate the mRNA levels and protein expression of ZEB1, ZEB2 and relative epithelial-to-mesenchymal transition (EMT) markers (E-cadherin, N-cadherin and Vimentin)
SNHG20	ZEB2	Kaplan-Meier survival analysis and log-rank test was used to reveal the association between SNHG20 expression and the overall survival time in HCC patients CCK8 cell proliferation and transwell invasion assays were performed to analyze the cell proliferation and cell invasion ability QRT-PCR and western-blotting analysis were performed to demonstrate the mRNA levels and protein expression of ZEB1, ZEB2 and relative epithelial-to-mesenchymal transition (EMT) markers (E-cadherin, N-cadherin and Vimentin)
SNHG20	ZEB1	Furthermore, knockdown of SNHG20 inhibited ZEB1, ZEB2, N-cadherin and Vimentin expression and up-regulated the E-cadherin expression in HCC cells
SNHG20	ZEB2	Furthermore, knockdown of SNHG20 inhibited ZEB1, ZEB2, N-cadherin and Vimentin expression and up-regulated the E-cadherin expression in HCC cells
SNHG20	EZH2	Mechanistic investigation revealed that SNHG20 could bind to enhancer of zeste homolog 2 (EZH2) and regulated E-cadherin expression
HAS1	PCNA	Western-blotting analysis revealed that knockdown of HAS1 inhibited the cycle relative protein cyclin-D1 and PCNA expression in HCC cells
HAS1	NKD1	Mechanism, RNA immunoprecipitation (RIP) and Chromatin immunoprecipitation (ChIP) assays showed that by interacting with enhancer of zeste homolog 2 (EZH2), HAS1 promoted HCC cell proliferation by repressing the NKD1 and p21 expression
HAS1	p21	Mechanism, RNA immunoprecipitation (RIP) and Chromatin immunoprecipitation (ChIP) assays showed that by interacting with enhancer of zeste homolog 2 (EZH2), HAS1 promoted HCC cell proliferation by repressing the NKD1 and p21 expression
NEAT1	p53	In this study, analysis of next-generation chromatin immunoprecipitation-sequencing (ChIP-seq) data for p53 revealed that the lncRNA NEAT1 is a direct transcriptional target of p53
NEAT1	p53	The suppression of NEAT1 induction by p53 attenuates the inhibitory effect of p53 on cancer cell growth and also modulates gene transactivation, including that of many lncRNAs
Linc00441	RB1	We found that aberrant upregulated intranuclear Linc00441 was reversely correlated with RB1 expression in human HCC samples
Linc00441	RB1	In conclusion, the epigenetic interaction between Linc00441 and bidirectional transcripted neighbor RB1 may be a de novo theory cutting-point for the inactivation of RB1 in HCC and may serve as targeting site for tumor therapy in the future
lncRNA-MODR	RUNX2	lncRNA-MODR is gradually upregulated during osteogenic differentiation lncRNA-MODR overexpression upregulated, whereas lncRNA-MODR silencing decreased the expression of the osteogenic key marker, runt-related transcription factor 2 (RUNX2)
lncRNA-MODR	RUNX2	lncRNA-MODR acts as a molecular sponge for microRNA-454 (miR-454) and that prevents RUNX2 from mi-454 mediated suppression
H19	Igf2	Insulin-like growth factor 2(Igf2) and H19 genes are oppositely imprinted and as such have been most extensively studied imprinted genes both genetically and at the molecular level
H19	IGF2	Examination of individual bone-marrow precursors revealed that all IGF2 -expressing haematopoietic precursors also co-expressed H19, indicating that H19 and IGF2 may be co-ordinately regulated during haematopoiesis
KvLQT1	KvDMR1	The patient with BWS also displayed hypomethylation at KvDMR1, a maternally methylated CpG island within an intron of the KvLQT1 gene
H19	Igf2	The mouse Igf2 and H19 genes lie 70-kb apart on chromosome 7 and are reciprocally imprinted
H19	Igf2	The enhancers specifically activate Igf2 on the paternal chromosome and H19 on the maternal chromosome
H19	IGF2	H19 participates in the repression of IGF2, at least in part through effects on IGF2 transcription, an effect which may contribute to its action as a tumor suppressor 
H19	IGF2	Rhabdomyosarcomas are characterized by loss of heterozygosity (LOH) at chromosome region 11p15.5, a region known to contain several imprinted genes including insulin-like growth factor 2 (IGF2), H19, and p57(KIP2)
H19	p57	Rhabdomyosarcomas are characterized by loss of heterozygosity (LOH) at chromosome region 11p15.5, a region known to contain several imprinted genes including insulin-like growth factor 2 (IGF2), H19, and p57(KIP2)
Xist	Dnmt1	Demethylation of DNA, using 5-azadC or by introducing a mutation in Dnmt1, and inhibition of histone hypoacetylation using trichostatin A further increases reactivation in Xist mutant fibroblasts, indicating a synergistic interaction of X chromosome silencing mechanisms 
H19	CDKN1C	Aberrant expression of multiple imprinted genes, including H19, IGF2, KCNQ1OT1, and CDKN1C, has been observed in BWS patients 
H19	IGF2	Aberrant expression of multiple imprinted genes, including H19, IGF2, KCNQ1OT1, and CDKN1C, has been observed in BWS patients 
KCNQ1OT1	CDKN1C	Aberrant expression of multiple imprinted genes, including H19, IGF2, KCNQ1OT1, and CDKN1C, has been observed in BWS patients 
KCNQ1OT1	IGF2	Aberrant expression of multiple imprinted genes, including H19, IGF2, KCNQ1OT1, and CDKN1C, has been observed in BWS patients 
H19	CDKN1C	This is the first report of an analysis of the imprinting status of genes in the 11p15 region where CDKN1C mutations were associated with loss of IGF2 imprinting and maintenance of H19 and KCNQ1OT1 imprinting
H19	IGF2	This is the first report of an analysis of the imprinting status of genes in the 11p15 region where CDKN1C mutations were associated with loss of IGF2 imprinting and maintenance of H19 and KCNQ1OT1 imprinting
KCNQ1OT1	CDKN1C	This is the first report of an analysis of the imprinting status of genes in the 11p15 region where CDKN1C mutations were associated with loss of IGF2 imprinting and maintenance of H19 and KCNQ1OT1 imprinting
KCNQ1OT1	IGF2	This is the first report of an analysis of the imprinting status of genes in the 11p15 region where CDKN1C mutations were associated with loss of IGF2 imprinting and maintenance of H19 and KCNQ1OT1 imprinting
Xist	G6PD	The objective of the present study was to determine the effects of in vitro production (IVP) and nuclear transfer (NT) on the relative abundance (RA) of the X-linked transcripts G6PD, PGK, and Xist in preimplantation bovine embryos
Xist	PGK	The objective of the present study was to determine the effects of in vitro production (IVP) and nuclear transfer (NT) on the relative abundance (RA) of the X-linked transcripts G6PD, PGK, and Xist in preimplantation bovine embryos
H19	Igf2	The nonmethylated imprinted region of Igf2 and H19 was resistant to methylation at low Dnmt1 levels but became fully methylated when Dnmt1 was overexpressed from a bacterial artificial chromosome transgene
H19	Dnmt1	The nonmethylated imprinted region of Igf2 and H19 was resistant to methylation at low Dnmt1 levels but became fully methylated when Dnmt1 was overexpressed from a bacterial artificial chromosome transgene
H19	EGF	H19 promoter activity was stimulated by various growth factors using transient transfection in MDCK epithelial cells HGF/SF was more efficient than EGF or FGF-2 in transactivating the H19 promoter, whereas IGF-2, TGFbeta-1, and TNF-alpha were ineffective 
H19	FGF-2	H19 promoter activity was stimulated by various growth factors using transient transfection in MDCK epithelial cells HGF/SF was more efficient than EGF or FGF-2 in transactivating the H19 promoter, whereas IGF-2, TGFbeta-1, and TNF-alpha were ineffective
H19	Snrpn	To determine when in germ cell development this biallelic expression phenomenon commences, we isolated migrating PGCs by flow cytometry and determined the allele-specific expression of four imprinted genes - Snrpn, Igf2, H19 and Igf2r 
H19	Igf2	To determine when in germ cell development this biallelic expression phenomenon commences, we isolated migrating PGCs by flow cytometry and determined the allele-specific expression of four imprinted genes - Snrpn, Igf2, H19 and Igf2r
H19	Igf2r	To determine when in germ cell development this biallelic expression phenomenon commences, we isolated migrating PGCs by flow cytometry and determined the allele-specific expression of four imprinted genes - Snrpn, Igf2, H19 and Igf2r
H19	L23mrp	the intergenic region between H19 and L23mrp contains a boundary or an insulator element
H19	Igf2	Igf2 is transcribed from the paternally inherited allele, whereas the linked H19 is transcribed from the maternal allele
2G7	MRPL23	We previously described three biallelically expressed genes ( MRPL23, 2G7 and TNNT3) in 100 kb of DNA immediately downstream of the imprinted H19 gene, suggesting that H19 marks one border of the imprinted region
2G7	TNNT3	We previously described three biallelically expressed genes ( MRPL23, 2G7 and TNNT3) in 100 kb of DNA immediately downstream of the imprinted H19 gene, suggesting that H19 marks one border of the imprinted region
H19	MRPL23	We previously described three biallelically expressed genes ( MRPL23, 2G7 and TNNT3) in 100 kb of DNA immediately downstream of the imprinted H19 gene, suggesting that H19 marks one border of the imprinted region
H19	TNNT3	We previously described three biallelically expressed genes ( MRPL23, 2G7 and TNNT3) in 100 kb of DNA immediately downstream of the imprinted H19 gene, suggesting that H19 marks one border of the imprinted region
H19	DUSP8	The mouse orthologue of a third gene, DUSP8, located between H19 and MUCDHL, is also expressed biallelically
H19	MUCDHL	The mouse orthologue of a third gene, DUSP8, located between H19 and MUCDHL, is also expressed biallelically
H19	PEG3	Using two bisulfite-based methods, we demonstrate a general trend of abnormal hypomethylation at the paternally expressed genes, PEG3 and SNRPN, and hypermethylation at the maternally expressed genes, NESP55 and H19, in two to four BiCHMs
H19	SNRPN	Using two bisulfite-based methods, we demonstrate a general trend of abnormal hypomethylation at the paternally expressed genes, PEG3 and SNRPN, and hypermethylation at the maternally expressed genes, NESP55 and H19, in two to four BiCHMs
H19	NESP55	Using two bisulfite-based methods, we demonstrate a general trend of abnormal hypomethylation at the paternally expressed genes, PEG3 and SNRPN, and hypermethylation at the maternally expressed genes, NESP55 and H19, in two to four BiCHMs
KvDMR1	KCNQ1	The most frequent alteration associated with BWS is the absence of methylation at the maternal allele of KvDMR1, an intronic CpG island within the KCNQ1 gene
XIST	RPS4Y	The distinctive pattern of neuronal expression of XIST, RPS4Y, SMCY, and UTY and other sex chromosome genes in neuronal subpopulations may possibly contribute to gender differences in prevalence noted for some neuropsychiatric disorders
XIST	SMCY	The distinctive pattern of neuronal expression of XIST, RPS4Y, SMCY, and UTY and other sex chromosome genes in neuronal subpopulations may possibly contribute to gender differences in prevalence noted for some neuropsychiatric disorders
XIST	UTY	The distinctive pattern of neuronal expression of XIST, RPS4Y, SMCY, and UTY and other sex chromosome genes in neuronal subpopulations may possibly contribute to gender differences in prevalence noted for some neuropsychiatric disorders
