TMPO-AS1	TMPO	decrease Knockdown TMPO-AS1 of level the mRNA and protein TMPO of cell in NSCLC 	
MEG3	SNRNP70	reveal siRNA Screen use cause depletion SNRNP70 of U1 snRNP component SNRPA or SNRPD2 localization significant cytoplasmic transcript of MEG3 reporter 	
MEG3	SNRPD2	reveal siRNA Screen use cause depletion SNRNP70 of U1 snRNP component SNRPA or SNRPD2 localization significant cytoplasmic transcript of MEG3 reporter 	
UCA1	Beclin1	decrease effect The inhibition of UCA1 miR-185 for be inference by lncRNA UCA1 and release Beclin1 the beta-Catenin TCF-4 and LC3 2 and reduce far autophagy the and growth cell in A549 	
UCA1	CLIC1	upregulated UCA1 According to the bioinformatics analysis lncRNA and CLIC1 be both significantly BDC in compare while expression the decline of miR-122 group with the normal 	
UCA1	CLIC1	upregulated UCA1 lncRNA and CLIC1 be both significantly BDC in compare while expression the decline of miR-122 group with the normal 	
UCA1	CLIC1	verify relationship The target CLIC1 among UCA1 and miR-122 be promote UCA1 migration BDC cell and invasiveness inhibit while miR-122 serve CLIC1 their progression gene a the downstream target miR-122 of and have effect opposite 	
UCA1	CLIC1	promote UCA1 metastasis the cell of BDC regulate by expression the miR-122 of and CLIC1 it downstream gene mRNA and promote activation the pathway of the ERK MAPK expand which horizon the therapy of targeted cholangiocarcinoma of 	
LINC00052	CALCOCO1	demonstrate result importantly More the research of our regulate that LINC00052 could expression the CALCOCO1 of miR-574-5p via sponge CRC in 	
FOXD1-AS1	eIF5a	result eIF5a Furthermore subunit protein eukaryotic translation initiation factor 5 A target a direct FOXD1-AS1 of 	
FOXD1-AS1	eIF5a	indicate data These affect that target FOXD1-AS1 a miR339 342 process biological eIF5a via protein 	
H19	p53	inhibit While p53 basis on the knockdown of H19 reverse effect the pro-neurogenesis inhibition of H19 	
H19	p53	abolish decrease Furthermore H19 activity the transcriptional p53 of and expression the Notch1 of and p53 inhibition effect these H19 of 	
LINC00052	CALCOCO1	perform assay Dual-luciferase reporter gene be identify to interaction the LINC00052 between and miR-574-5p or CALCOCO1 and miR-574-5p 	
CRNDE	SIX1	demonstrate investigation Mechanistic interact that CRNDE lncRNA miR-337-3p with and decrease increase it expression thereby expression the protein s of miR-337-3p target SIX1 	
CRNDE	SIX1	use addition In experiment in vivo reveal model a xenograft tumor mouse serve that CRNDE lncRNA oncogene a an miR-337-3p partly through sponge and upregulating SIX1 HCC in 	
DDX11-AS1	LATS2	increase Knockdown DDX11-AS1 of level the mRNA and protein LATS2 of 	
DDX11-AS1	LATS2	abolish Overexpression LATS2 of effect the promotive DDX11-AS1 of growth on cell and invasion 	
DDX11-AS1	LATS2	decrease level The mRNA LATS2 of be markedly tissue in tumor and correlate negatively expression with DDX11-AS1 	
ANRIL	IL-10	correlate ANRIL Besides lncRNA be also positively IL-13 with TNSS tumor necrosis factor alpha interleukin IL -4 IL-6 and IL-17 associate while negatively IL-10 with and gamma interferon 	
DDX11-AS1	DNMT1	inhibit migration Functionally the proliferation cell cycle progression and invasion cell of HCC be silence by DDX11-AS1 promote while expression by ectopic RIP of DDX11-AS1 RNA immunoprecipitation and assay chromatin immunoprecipitation ChIP validate suppress that DDX11-AS1 expression LATS2 interact by EZH2 with and DNMT1 cell in HCC 	
DDX11-AS1	EZH2	inhibit migration Functionally the proliferation cell cycle progression and invasion cell of HCC be silence by DDX11-AS1 promote while expression by ectopic RIP of DDX11-AS1 RNA immunoprecipitation and assay chromatin immunoprecipitation ChIP validate suppress that DDX11-AS1 expression LATS2 interact by EZH2 with and DNMT1 cell in HCC 	
MFI2-AS1	MYCBP	promote MFI2-AS1 LncRNA migration CRC cell proliferation and invasion activate through MYCBP and miR-574-5p by sponge 	
FAF	FGF9	increase Moreover overexpression FAF of lncRNA could also expression the FGF9 of 	
LINC00313	ALX4	probe We role into the specific LINC00313 of mediation in process of cellular cancer of thyroid include migration proliferation and invasion methylation through the ALX4 of aristaless-like homeobox 4 	
LINC00313	ALX4	detect addition In binding the LINC00313 of and region the promoter ALX4 of and interaction the LINC00313 of protein with methylation-related be 	
LINC00313	ALX4	manifest analysis The microarray-based overexpressed that LINC00313 be downregulated whereas ALX4 be cancer in thyroid result the verify which of be also tissue in thyroid cancer 	
LINC00313	ALX4	demonstrate result Besides our bound that LINC00313 region to the ALX4 promoter and recruit LINC00313 proteins DNMT1 and DNMT3B promote to methylation the region of ALX4 promoter suppress thus expression the ALX4 	
LINC00313	DNMT1	demonstrate result Besides our bound that LINC00313 region to the ALX4 promoter and recruit LINC00313 proteins DNMT1 and DNMT3B promote to methylation the region of ALX4 promoter suppress thus expression the ALX4 	
LINC00313	DNMT3B	demonstrate result Besides our bound that LINC00313 region to the ALX4 promoter and recruit LINC00313 proteins DNMT1 and DNMT3B promote to methylation the region of ALX4 promoter suppress thus expression the ALX4 	
LINC00313	ALX4	suppresses LINC00313 downregulated migration cell proliferation invasion as well a cancer of thyroid inhibit by methylation the ALX4 of and increase expression it inactivation by pathway of the AKT mTOR signal 	
RHPN1-AS1	P53	deliver Knockdown RHPN1-AS1 of system by lentivirus inhibit proliferation MCF-7 cell indicate proliferation by the cell and assay colony formation and knockdown the RHPN1-AS1 of enhance expression P53 protein MCF-7 in and MDA-MB-231 cell 	
RHPN1-AS1	P53	validate assay luciferase reporter sponge that RHPN1-AS1 be a molecular miR-4261 of and target direct transcriptional RHPN1-AS1 of c-Myc exerts tumorigenesis regulate by expression P53 gene via MDM2 	
PYCARD-AS1	PYCARD	identify we lncRNA an antisense PYCARD-AS1 to the pro-apoptotic gene PYCARD name exhibit which distribution a dual nuclear and cytoplasmic and require be silencing for the PYCARD cell in breast cancer 	
PYCARD-AS1	PYCARD	regulate PYCARD The control apoptosis be PYCARD-AS1 by regulate PYCARD-AS1 moreover apoptosis manner in a dependent PYCARD indicate target that PYCARD be a critical downstream PYCARD-AS1 of 	
ROR	FOXM1	form sponging the miR-876-5p of FOXM1 by ROR release thereby loop a positive-feedback 	
ROR	FOXM1	impair Upregulation FOXM1 of both and ROR sensitivity the sorafenib to cell in HCC 	
ROR	FOXM1	result These reveal loop a novel molecular feedback ROR between and FOXM1 and elucidate function their sensitivity in sorafenib line of HCC cell 	
H19	ITGB3	infer result From these we can operate that endometriosis in miR-124-3p both and ITGB3 protein a downstream effector pathway in the H19 signal 	
H19	ITGB3	inhibit Down-regulation H19 of could proliferation ectopic endometrial cell and invasion modulate by offer miR-124-3p and ITGB3 target a novel treatment for 	
MALAT1	eIF4E	demonstrate study In this we compete MALAT1 miR-497 repressed post-transcriptionally MALAT1 whilst also binding for miR-497 it to 4E molecular target eIF4E eukaryotic translation initiation factor 	
MALAT1	SFPQ	indicate bind Furthermore MALAT1 directly Proline to SFPQ Splicing Factor and protein Glutamine Rich role it multifaceted pathophysiology in ACC 	
MALAT1	ZEB2	inhibit MALAT1 Knockdown or ZEB2 EMT HG-induced and fibrosis similar miR-145 to 	
MALAT1	ZEB2	induce function Mechanistically MALAT1 RNA a a sponge miR-145 for derepress to expression the ZEB2 of target gene thereby EMT and fibrosis 	
H19	NADPH	aim This study participation at the oxidases of lncRNA H19 endothelial NADPH NOX4 and mir-148b stress in hypoxia HHSEC in human hepatic sinusoidal endothelial cell and clarify relationship the them among 	
H19	NOX4	measure expression The NOX4 of lnc H19 and mir-148b patient in cirrhotic and HHSEC hypoxic be RT-PCR by 	
H19	NOX4	indicate result The present increase that expression the mRNA of NOX4 and H19 lnc be but decrease mir-148b be patient in both cirrhotic and HHSEC hypoxic 	
H19	NOX4	be NOX4 In addition regulate a direct regulate negatively target mir-148b of and mir-148b be negatively H19 by lnc 	
H19	NOX4	regulator Collectively H19 lnc be a negatively mir-148b of and participate stress in hypoxia HHSEC in regulate via positively NOX4 and regulate negatively signaling eNOS NO 	
AFAP1-AS1	RBM5	upregulated Moreover mRNA the and protein expression RBM5 of be knock after AFAP1-AS1 be down 	
AFAP1-AS1	RBM5	relate Furthermore level the RBM5 expression be negatively level to AFAP1-AS1 expression AFAP1-AS1 in prostate cancer sample act oncogene a an cancer in prostate enhance by metastasis cell and proliferation suppress via RBM5 strategy which might be a novel therapeutic treatment in cancer for prostate 	
LUCAT1	KISS1	downregulated addition In mRNA the and protein expression KISS1 of be overexpression after LUCAT1 	
LUCAT1	KISS1	relate level the expression KISS1 of be negatively level to the expression LUCAT1 of LUCAT1 in prostate cancer tissue enhance could migration and invasion cell of prostate cancer regulate by KISS1 offer which might target a potential therapeutic cancer for prostate 	
LINC00460	AKT	conduct experiment Gain - and loss-of function be analyze to effect miR-206 of LINC00460 and STC2 expression on the protein of apoptosis-related protein autophagy-related and extent the phosphorylation of AKT ERK 	
LINC00460	ERK	conduct experiment Gain - and loss-of function be analyze to effect miR-206 of LINC00460 and STC2 expression on the protein of apoptosis-related protein autophagy-related and extent the phosphorylation of AKT ERK 	
LINC00460	STC2	express evaluate apoptosis Cell cycle distribution and production the autophagosomes of transfection after be explore to far role the axis of LINC00460 miR-206 STC2 LINC00460 in HNSCC and STC2 be highly express while miR-206 be poorly HNSCC in 	
LINC00460	STC2	find miR-206 Besides be bind to LINC00460 to both and STC2 	
AFAP1-AS1	LSD1	report Here we overexpressed that recruiting AFAP1-AS1 and bind LSD1 to lysine-specific demethylase 1 be generally use in human non-small-cell lung cancer NSCLC tissue PCR quantitative real-time 	
AFAP1-AS1	LSD1	include Moreover investigation mechanistic validate immunoprecipitation RNA and assay ChIP repress that AFAP1-AS1 expression protein HMG box-containing 1 HBP1 recruit by LSD1 region to the HBP1 promoter PC-9 in and H1975 cell 	
AFAP1-AS1	HBP1	include Moreover investigation mechanistic validate immunoprecipitation RNA and assay ChIP repress that AFAP1-AS1 expression protein HMG box-containing 1 HBP1 recruit by LSD1 region to the HBP1 promoter PC-9 in and H1975 cell 	
AFAP1-AS1	HBP1	dependent effect the oncogenic AFAP1-AS1 of be partially silencing on the epigenetic HBP1 of 	
AFAP1-AS1	HBP1	indicate conclusion In result our carcinogenic that AFAP1-AS1 be and constitute that axis the AFAP1-AS1 LSD1 HBP1 could direction a new therapeutic NSCLC for 	
AFAP1-AS1	LSD1	indicate conclusion In result our carcinogenic that AFAP1-AS1 be and constitute that axis the AFAP1-AS1 LSD1 HBP1 could direction a new therapeutic NSCLC for 	
ncRAN	JNK	abolish inhibitor Besides miR-146a-5p function the knockdown of ncRAN regulate JNK on cell injury and pathways NF - B ncRAN injury LPS-induced inflammation cell in WI-38 bind through competitively miR-146a-5p CCL5 with mediate far JNK and pathway NF - B shed which light novel diagnostics on and therapeutic pneumonia in 	
ncRAN	CCL5	abolish inhibitor Besides miR-146a-5p function the knockdown of ncRAN regulate JNK on cell injury and pathways NF - B ncRAN injury LPS-induced inflammation cell in WI-38 bind through competitively miR-146a-5p CCL5 with mediate far JNK and pathway NF - B shed which light novel diagnostics on and therapeutic pneumonia in 	
H19	Igf2	clear However it be not entirely relate whether impairment the ovary of TCDD by be pattern to the methylation Igf2 of and H19 ICR 	
SNHG1	Akt	aim study The present explore to involvement the gene of lncRNA SNHG1 small nucleolar RNA host 1 resistance in sorafenib and associate how SNHG1 be miR-21 with overexpressed microRNA-21 and pathway the activated Akt demonstrate which have be mediate to resistance this cell in HCC 	
LINC00511	CDK6	remain However effect the RNA of long intergenic noncoding 00511 LINC00511 lncRNA a identify newly oncogenic resistance on the drug cell of breast cancer perform RT-qPCR unknown be detect to expression the miR-29c of LINC00511 and kinase cyclin dependent 6 CDK6 tissue in breast cancer and cell 	
NEAT1	SFPQ	contains particular In domain the central C subdomains small site that be high-affinity binding NONO for the essential paraspeckle protein and SFPQ polymerize that subsequently NEAT1 along 	
NEAT1	NONO	contains particular In domain the central C subdomains small site that be high-affinity binding NONO for the essential paraspeckle protein and SFPQ polymerize that subsequently NEAT1 along 	
lnc-TIGD1L2-3	NaOx	induce miRNAs Five mRNAs four and lnc-MB-6 six lncRNAs lnc-TIGD1L2-3 KIN-1 lnc-FAM72B-4 lnc-EVI5L-1 lnc-SERPINI1-2 cell from the HK-2 NaOx by consistent be change with the expression result of microarray 	
KIN-1	NaOx	induce miRNAs Five mRNAs four and lnc-MB-6 six lncRNAs lnc-TIGD1L2-3 KIN-1 lnc-FAM72B-4 lnc-EVI5L-1 lnc-SERPINI1-2 cell from the HK-2 NaOx by consistent be change with the expression result of microarray 	
lnc-MB-6	NaOx	induce miRNAs Five mRNAs four and lnc-MB-6 six lncRNAs lnc-TIGD1L2-3 KIN-1 lnc-FAM72B-4 lnc-EVI5L-1 lnc-SERPINI1-2 cell from the HK-2 NaOx by consistent be change with the expression result of microarray 	
LINC00467	DKK1	locate Furthermore LINC00467 be nucleus in the line of LUAD cell and regulate negatively DKK1 cell in LUAD 	
LINC00467	DKK1	promote upregulation STAT1-induced LINC00467 of progression LUAD DKK1 by epigenetically silence activate to Wnt - pathway catenin signal 	
H19	C8orf4	evaluate effect The dynamic H19 of and miR-30a mRNA on C8orf4 messenger RNA expression and protein and differentiation adipogenic be regulate miR-30a negatively H19 other with each binding through direct 	
H19	C8orf4	serve H19 The lncRNA ceRNA a a compete endogenous RNA miR-30a for augment to C8orf4 miR-30a downstream target modulate therefore differentiation adipogenic hADSCs in 	
CHRF	p65	identify Furthermore miR-146a be regulate to be negatively CHRF by lncRNA and abrogate it overexpression role the CHRF of lncRNA IL-6-induced in IL-6-treated cell facilitate accumulation the JAK1 of I B p65 and STAT3 level at phosphorylated be far CHRF by lncRNA repress whereas miR-146a by 	
H19	PI3K	protein The total AKT of PI3K and mTOR show in the H19 knockout resistant cell change no significant those relative to cell in the H19 non-knockout resistant decrease whereas protein the phosphorylated AKT of PI3K and mTOR be significantly 	
H19	AKT	protein The total AKT of PI3K and mTOR show in the H19 knockout resistant cell change no significant those relative to cell in the H19 non-knockout resistant decrease whereas protein the phosphorylated AKT of PI3K and mTOR be significantly 	
H19	mTOR	protein The total AKT of PI3K and mTOR show in the H19 knockout resistant cell change no significant those relative to cell in the H19 non-knockout resistant decrease whereas protein the phosphorylated AKT of PI3K and mTOR be significantly 	
BWS	IGF2	result These raise possibility the cause that modifier a defective or gene regulatory unlinked 11p15 to 5 spectrum a alteration of epigenetic line in the germ or development early range of both cousin relaxation from the imprint of IGF2 proband in the KTWS disruption to expression of both the imprinted IGF2 of and methylation the imprinted KvDMR1 of proband in the BWS 	
H19	IGF2	include indicate Analysis data of these also link that loss imprinting of IGF2 be not necessarily alteration to methylation of locus at the KvDMR1 or H19 and support observe notion the involve that overexpression IGF2 be etiology in the hypertrophy of the tissue disorder in different overgrowth KTWS 	
H19	IGF2	transcribe IGF2 In most tissue be transcribe only chromosome from the paternal while H19 be allele only from the maternal 	
H19	IGF2	include number A gene of imprint IGF2 and H19 be normally expression with preferential allele of the paternal or maternal respectively 	
ncRAN	E2F5	serve indicate Taken together finding our induces that ncRAN migration breast cancer cell bind by competitively miR-98 E2F5 with and ncRAN can target a a potential therapeutic treatment for breast cancer 	
LINC00672	LASP1	p53 Nevertheless LINC00672 be a - targeting act lincRNA ribonucleoproteins along with heterogeneous nuclear a lower cofactor a suppressive reinforce which locally suppression p53-mediated LASP1 of gene an conserve evolutionarily neighboring LINC00672 of and associate putatively aggressiveness with increased tumor overexpression during anti-tumor process LINC00672 could level the LASP1 of and increase slow development the phenotype of malignant EC of and both vitro in vivo in LINC00672 Moreover significantly concentration the 50 inhibitory paclitaxel of cell in EC and increase sensitivity the mouse of xenograft paclitaxel to 	
LINC00672	p53	p53 Nevertheless LINC00672 be a - targeting act lincRNA ribonucleoproteins along with heterogeneous nuclear a lower cofactor a suppressive reinforce which locally suppression p53-mediated LASP1 of gene an conserve evolutionarily neighboring LINC00672 of and associate putatively aggressiveness with increased tumor overexpression during anti-tumor process LINC00672 could level the LASP1 of and increase slow development the phenotype of malignant EC of and both vitro in vivo in LINC00672 Moreover significantly concentration the 50 inhibitory paclitaxel of cell in EC and increase sensitivity the mouse of xenograft paclitaxel to 	
LINC00672	LASP1	indicate finding These influence that LINC00672 can expression LASP1 malignancy a cofactor a locus-restricted suppression for p53-mediated gene thus impact EC and chemosensitivity paclitaxel to 	
HOTAIR	SRF	counteract Moreover silencing SRF of either or HOTAIR could promotion the proliferation of gastric adenocarcinoma cell and invasion inhibition by miR-101-3p 	
CASC2	CPEB1	promote Overexpression CASC2 of characteristic the malignant CASC2 of astrocytoma cell bind directly miR-101 and mediate processing pre-miR-101 miR-101 into mature and function competitor a a gene of miR-101 target CPEB1 such a 	
LINC01213	NRAS	correlate Meanwhile LINC01133 LINC01213 and LOC284578 be mutation with BRAF and PGM5-AS1 relate be mutation to NRAS 	
LINC01133	NRAS	correlate Meanwhile LINC01133 LINC01213 and LOC284578 be mutation with BRAF and PGM5-AS1 relate be mutation to NRAS 	
LOC284578	NRAS	correlate Meanwhile LINC01133 LINC01213 and LOC284578 be mutation with BRAF and PGM5-AS1 relate be mutation to NRAS 	
PVT1	CD151	evaluate effect The PVT1 of expression on the CD151 of and FGF2 be PVT1 by Western blot up-regulated be tissue in GC that than tissue in the matched normal and level mRNA miR-152 of decrease be 	
PVT1	FGF2	evaluate effect The PVT1 of expression on the CD151 of and FGF2 be PVT1 by Western blot up-regulated be tissue in GC that than tissue in the matched normal and level mRNA miR-152 of decrease be 	
MALAT1	JAG1	inhibit MALAT1 growth tongue cancer cell and metastasis regulation through miR-124-dependent JAG1 	
SNHG1	p53	retain treatment Upon doxorubicin SNHG1 the lncRNA be nucleus in the it through binding nucleolin with and compete it p53 with binding for hnRNPC upregulates which level p53 and promote apoptosis p53-dependent impair by regulation hnRNPC activity of p53 	
SNHG1	p53	indicate result Our regulates that balance a SNHG1 between lncRNA and hnRNPC activity p53 and apoptosis p53-dependent treatment upon doxorubicin and indicate further significant that change a localization in lncRNA subcellular circumstance under specific be biologically 	
SNHG20	ZEB1	use analysis Kaplan-Meier survival and test log-rank be perform reveal to association the expression between SNHG20 and time the overall survival proliferation in HCC patient CCK8 cell and assay transwell invasion be analyze to perform proliferation the cell and QRT-PCR cell invasion ability and analysis western-blotting be demonstrate to level the mRNA and expression protein ZEB2 of ZEB1 and N-cadherin relative epithelial-to-mesenchymal transition EMT marker E-cadherin and Vimentin 	
SNHG20	ZEB2	use analysis Kaplan-Meier survival and test log-rank be perform reveal to association the expression between SNHG20 and time the overall survival proliferation in HCC patient CCK8 cell and assay transwell invasion be analyze to perform proliferation the cell and QRT-PCR cell invasion ability and analysis western-blotting be demonstrate to level the mRNA and expression protein ZEB2 of ZEB1 and N-cadherin relative epithelial-to-mesenchymal transition EMT marker E-cadherin and Vimentin 	
SNHG20	ZEB1	inhibit Furthermore knockdown SNHG20 of N-cadherin ZEB1 ZEB2 and expression Vimentin and up-regulated expression the E-cadherin cell in HCC 	
SNHG20	ZEB2	inhibit Furthermore knockdown SNHG20 of N-cadherin ZEB1 ZEB2 and expression Vimentin and up-regulated expression the E-cadherin cell in HCC 	
SNHG20	EZH2	reveal investigation Mechanistic bind that SNHG20 could enhancer to homolog of zeste 2 EZH2 and regulate expression E-cadherin 	
HAS1	PCNA	reveal analysis Western-blotting inhibit that knockdown HAS1 of cyclin-D1 the cycle relative protein and expression PCNA cell in HCC 	
HAS1	NKD1	show RIP Mechanism RNA immunoprecipitation and assay Chromatin immunoprecipitation ChIP promote that interact by enhancer with HAS1 of zeste homolog 2 EZH2 proliferation HCC cell repress by expression the NKD1 and p21 	
HAS1	p21	show RIP Mechanism RNA immunoprecipitation and assay Chromatin immunoprecipitation ChIP promote that interact by enhancer with HAS1 of zeste homolog 2 EZH2 proliferation HCC cell repress by expression the NKD1 and p21 	
NEAT1	p53	reveal analysis In this study data of next-generation chromatin immunoprecipitation-sequencing ChIP-seq p53 for target that NEAT1 the lncRNA be a direct transcriptional p53 of 	
NEAT1	p53	attenuates suppression The induction of NEAT1 p53 by effect the inhibitory p53 of growth on cancer cell and modulate also include transactivation gene that lncRNAs of many 	
Linc00441	RB1	find We correlate that Linc00441 aberrant upregulated intranuclear be reversely expression with RB1 sample in human HCC 	
Linc00441	RB1	cutting-point conclusion In interaction the epigenetic Linc00441 between and RB1 bidirectional transcripted neighbor may be a de novo theory inactivation for the RB1 of HCC in and serve may site a target therapy for tumor future in the 	
lncRNA-MODR	RUNX2	upregulated lncRNA-MODR be gradually overexpression during osteogenic differentiation lncRNA-MODR upregulated decrease whereas silencing lncRNA-MODR expression the factor of the osteogenic key marker runt-related transcription 2 RUNX2 	
lncRNA-MODR	RUNX2	act lncRNA-MODR sponge a a molecular miR-454 for microRNA-454 and prevents that RUNX2 mi-454 from mediate suppression 	
H19	Igf2	imprinted factor Insulin-like growth 2 Igf2 and gene H19 be oppositely and gene a such have be extensively most study imprint genetically both and level at the molecular 	
H19	IGF2	reveal Examination precursor of individual bone-marrow co-expressed that IGF2 all - expressing precursor haematopoietic also H19 indicating co-ordinately that H19 and IGF2 may be regulate haematopoiesis during 	
KvLQT1	KvDMR1	display patient The BWS with also hypomethylation KvDMR1 at island a methylated maternally CpG intron within an gene of the KvLQT1 	
H19	Igf2	lie Igf2 The mouse and gene H19 70-kb apart chromosome on 7 and imprint be reciprocally 	
H19	Igf2	activate enhancer The specifically Igf2 chromosome on the paternal and H19 chromosome on the maternal 	
H19	IGF2	participate H19 repression in the IGF2 of part at least in effect through transcription on IGF2 effect an contribute which may action to it suppressor a a tumor 	
H19	IGF2	characterize Rhabdomyosarcomas be loss by LOH of heterozygosity region at chromosome region 11p15 5 a know contain to gene several imprint include factor insulin-like growth H19 2 IGF2 and KIP2 p57 	
H19	p57	characterize Rhabdomyosarcomas be loss by LOH of heterozygosity region at chromosome region 11p15 5 a know contain to gene several imprint include factor insulin-like growth H19 2 IGF2 and KIP2 p57 	
Xist	Dnmt1	indicate Demethylation 5-azadC of DNA use or introduce by mutation a Dnmt1 in and inhibition trichostatin of histone hypoacetylation use reactivation A further increase fibroblast in Xist mutant interaction a synergistic mechanism of X chromosome silence 	
H19	CDKN1C	observe include expression Aberrant gene of multiple imprinted KCNQ1OT1 H19 IGF2 and CDKN1C have be patient in BWS 	
H19	IGF2	observe include expression Aberrant gene of multiple imprinted KCNQ1OT1 H19 IGF2 and CDKN1C have be patient in BWS 	
KCNQ1OT1	CDKN1C	observe include expression Aberrant gene of multiple imprinted KCNQ1OT1 H19 IGF2 and CDKN1C have be patient in BWS 	
KCNQ1OT1	IGF2	observe include expression Aberrant gene of multiple imprinted KCNQ1OT1 H19 IGF2 and CDKN1C have be patient in BWS 	
H19	CDKN1C	report This be the first analysis of an status of the imprint gene of region in the 11p15 associate where mutation CDKN1C be loss with IGF2 of imprinting and maintenance H19 of and KCNQ1OT1 imprinting 	
H19	IGF2	report This be the first analysis of an status of the imprint gene of region in the 11p15 associate where mutation CDKN1C be loss with IGF2 of imprinting and maintenance H19 of and KCNQ1OT1 imprinting 	
KCNQ1OT1	CDKN1C	report This be the first analysis of an status of the imprint gene of region in the 11p15 associate where mutation CDKN1C be loss with IGF2 of imprinting and maintenance H19 of and KCNQ1OT1 imprinting 	
KCNQ1OT1	IGF2	report This be the first analysis of an status of the imprint gene of region in the 11p15 associate where mutation CDKN1C be loss with IGF2 of imprinting and maintenance H19 of and KCNQ1OT1 imprinting 	
Xist	G6PD	be objective The study of the present determine to effect the IVP of in vitro production and NT nuclear transfer RA on the relative abundance PGK of the X-linked transcript G6PD and Xist embryo in preimplantation bovine 	
Xist	PGK	be objective The study of the present determine to effect the IVP of in vitro production and NT nuclear transfer RA on the relative abundance PGK of the X-linked transcript G6PD and Xist embryo in preimplantation bovine 	
H19	Igf2	resistant region The nonmethylated imprinted Igf2 of and H19 be methylation to level at low Dnmt1 but methylated become fully overexpressed when Dnmt1 be transgene from a bacterial artificial chromosome 	
H19	Dnmt1	resistant region The nonmethylated imprinted Igf2 of and H19 be methylation to level at low Dnmt1 but methylated become fully overexpressed when Dnmt1 be transgene from a bacterial artificial chromosome 	
H19	EGF	stimulate activity H19 promoter be efficient use by various growth factor transfection transient SF in MDCK epithelial cell HGF be more EGF than or FGF-2 transactivating in promoter the H19 ineffective whereas TGFbeta-1 IGF-2 and TNF-alpha be 	
H19	FGF-2	stimulate activity H19 promoter be efficient use by various growth factor transfection transient SF in MDCK epithelial cell HGF be more EGF than or FGF-2 transactivating in promoter the H19 ineffective whereas TGFbeta-1 IGF-2 and TNF-alpha be 	
H19	Snrpn	determine To commence when development in germ cell phenomenon this biallelic expression isolate we migrate PGCs cytometry by flow and determine expression the allele-specific H19 of four imprinted gene Snrpn Igf2 and Igf2r 	
H19	Igf2	determine To commence when development in germ cell phenomenon this biallelic expression isolate we migrate PGCs cytometry by flow and determine expression the allele-specific H19 of four imprinted gene Snrpn Igf2 and Igf2r 	
H19	Igf2r	determine To commence when development in germ cell phenomenon this biallelic expression isolate we migrate PGCs cytometry by flow and determine expression the allele-specific H19 of four imprinted gene Snrpn Igf2 and Igf2r 	
H19	L23mrp	contain region the intergenic H19 between and L23mrp boundary a or element an insulator 	
H19	Igf2	transcribe Igf2 be allele from the inherit paternally transcribe whereas H19 the link be allele from the maternal 	
2G7	MRPL23	suggest describe We previously express three biallelically 2G7 gene MRPL23 and TNNT3 kb in 100 DNA of downstream immediately gene of the imprinted H19 that mark H19 border one region of the imprinted 	
2G7	TNNT3	suggest describe We previously express three biallelically 2G7 gene MRPL23 and TNNT3 kb in 100 DNA of downstream immediately gene of the imprinted H19 that mark H19 border one region of the imprinted 	
H19	MRPL23	suggest describe We previously express three biallelically 2G7 gene MRPL23 and TNNT3 kb in 100 DNA of downstream immediately gene of the imprinted H19 that mark H19 border one region of the imprinted 	
H19	TNNT3	suggest describe We previously express three biallelically 2G7 gene MRPL23 and TNNT3 kb in 100 DNA of downstream immediately gene of the imprinted H19 that mark H19 border one region of the imprinted 	
H19	DUSP8	locate orthologue The mouse DUSP8 of a third gene H19 between and MUCDHL express be also biallelically 	
H19	MUCDHL	locate orthologue The mouse DUSP8 of a third gene H19 between and MUCDHL express be also biallelically 	
H19	PEG3	demonstrate Using method two bisulfite-based we trend a general hypomethylation of abnormal PEG3 at the express paternally gene and SNRPN and hypermethylation NESP55 at the express maternally gene and H19 BiCHMs in four two to 	
H19	SNRPN	demonstrate Using method two bisulfite-based we trend a general hypomethylation of abnormal PEG3 at the express paternally gene and SNRPN and hypermethylation NESP55 at the express maternally gene and H19 BiCHMs in four two to 	
H19	NESP55	demonstrate Using method two bisulfite-based we trend a general hypomethylation of abnormal PEG3 at the express paternally gene and SNRPN and hypermethylation NESP55 at the express maternally gene and H19 BiCHMs in four two to 	
KvDMR1	KCNQ1	absence associate The frequent most alteration BWS with be the methylation of allele at the maternal KvDMR1 of island an intronic CpG gene within the KCNQ1 	
XIST	RPS4Y	contribute pattern The distinctive expression of neuronal SMCY of XIST RPS4Y and UTY and gene other sex chromosome subpopulation in neuronal may possibly gender to difference note in prevalence disorder for some neuropsychiatric 	
XIST	SMCY	contribute pattern The distinctive expression of neuronal SMCY of XIST RPS4Y and UTY and gene other sex chromosome subpopulation in neuronal may possibly gender to difference note in prevalence disorder for some neuropsychiatric 	
XIST	UTY	contribute pattern The distinctive expression of neuronal SMCY of XIST RPS4Y and UTY and gene other sex chromosome subpopulation in neuronal may possibly gender to difference note in prevalence disorder for some neuropsychiatric 	
H19	Igf2	gene Igf2 and H19 be physically link imprint 	
H19	VDUP1	show investigation Further number in a high adenocarcinoma of that group in the high-fat n-6 diet verify where phenotype the tumor be aggressive to be more expression the D of submaxillary gland alpha-2u globulin vitamin 3 - H19 upregulated protein 1 VDUP1 and gene the unknown function codify that EST the expressed sequence tag - decrease Rn32385 be significantly comparison in C with the control group 	
H19	VDUP1	result These together fact with the associate that H19 VDUP1 and globulin this have be cell with proliferation and differentiation open line a new research of contributes about how underexpression the gene of these effect to the stimulate diet of a high corn oil carcinogenesis on experimental mammary 	
