TMPO-AS1	TMPO	Knockdown of TMPO-AS1 decrease the mRNA and protein level of TMPO in NSCLC cell 	
MEG3	SNRNP70	Screen use siRNA reveal depletion of U1 snRNP component SNRPA SNRNP70 or SNRPD2 cause significant cytoplasmic localization of MEG3 reporter transcript 	
MEG3	SNRPD2	Screen use siRNA reveal depletion of U1 snRNP component SNRPA SNRNP70 or SNRPD2 cause significant cytoplasmic localization of MEG3 reporter transcript 	
UCA1	Beclin1	The effect of UCA1 inhibition for miR-185 be decrease by lncRNA UCA1 inference and release the beta-Catenin TCF-4 Beclin1 and LC3 2 and far reduce the autophagy and growth in A549 cell 	
UCA1	CLIC1	According to the bioinformatics analysis lncRNA UCA1 and CLIC1 be both significantly upregulated in BDC while the expression of miR-122 decline compare with the normal group 	
UCA1	CLIC1	lncRNA UCA1 and CLIC1 be both significantly upregulated in BDC while the expression of miR-122 decline compare with the normal group 	
UCA1	CLIC1	The target relationship among UCA1 CLIC1 and miR-122 be verify UCA1 promote BDC cell migration and invasiveness while miR-122 inhibit their progression CLIC1 serve a the downstream target gene of miR-122 and have opposite effect 	
UCA1	CLIC1	UCA1 promote the metastasis of BDC cell by regulate the expression of miR-122 and it downstream gene mRNA CLIC1 and promote the activation of the ERK MAPK pathway which expand the horizon of targeted therapy of cholangiocarcinoma 	
LINC00052	CALCOCO1	More importantly the result of our research demonstrate that LINC00052 could regulate the expression of CALCOCO1 via sponge miR-574-5p in CRC 	
FOXD1-AS1	eIF5a	Furthermore protein eukaryotic translation initiation factor 5 subunit A eIF5a result a direct target of FOXD1-AS1 	
FOXD1-AS1	eIF5a	These data indicate that FOXD1-AS1 a miR339 342 target affect biological process via protein eIF5a 	
H19	p53	While inhibit p53 on the basis of H19 knockdown reverse the pro-neurogenesis effect of H19 inhibition 	
H19	p53	Furthermore H19 decrease the transcriptional activity of p53 and the expression of Notch1 and p53 inhibition abolish these effect of H19 	
LINC00052	CALCOCO1	Dual-luciferase reporter gene assay be perform to identify the interaction between LINC00052 and miR-574-5p or CALCOCO1 and miR-574-5p 	
CRNDE	SIX1	Mechanistic investigation demonstrate that lncRNA CRNDE interact with miR-337-3p and decrease it expression thereby increase the protein expression of miR-337-3p s target SIX1 	
CRNDE	SIX1	In addition in vivo experiment use a xenograft tumor mouse model reveal that lncRNA CRNDE serve a an oncogene partly through sponge miR-337-3p and upregulating SIX1 in HCC 	
DDX11-AS1	LATS2	Knockdown of DDX11-AS1 increase the mRNA and protein level of LATS2 	
DDX11-AS1	LATS2	Overexpression of LATS2 abolish the promotive effect of DDX11-AS1 on cell growth and invasion 	
DDX11-AS1	LATS2	The mRNA level of LATS2 be markedly decrease in tumor tissue and negatively correlate with DDX11-AS1 expression 	
ANRIL	IL-10	Besides lncRNA ANRIL be also positively correlate with TNSS tumor necrosis factor alpha interleukin IL -4 IL-6 IL-13 and IL-17 while negatively associate with IL-10 and interferon gamma 	
DDX11-AS1	DNMT1	Functionally the proliferation cell cycle progression migration and invasion of HCC cell be inhibit by DDX11-AS1 silence while promote by ectopic expression of DDX11-AS1 RNA immunoprecipitation RIP and chromatin immunoprecipitation ChIP assay validate that DDX11-AS1 suppress LATS2 expression by interact with EZH2 and DNMT1 in HCC cell 	
DDX11-AS1	EZH2	Functionally the proliferation cell cycle progression migration and invasion of HCC cell be inhibit by DDX11-AS1 silence while promote by ectopic expression of DDX11-AS1 RNA immunoprecipitation RIP and chromatin immunoprecipitation ChIP assay validate that DDX11-AS1 suppress LATS2 expression by interact with EZH2 and DNMT1 in HCC cell 	
MFI2-AS1	MYCBP	LncRNA MFI2-AS1 promote CRC cell proliferation migration and invasion through activate MYCBP and by sponge miR-574-5p 	
FAF	FGF9	Moreover overexpression of lncRNA FAF could also increase the expression of FGF9 	
LINC00313	ALX4	We probe into the specific role of LINC00313 in mediation of cellular process of thyroid cancer include proliferation migration and invasion through the methylation of aristaless-like homeobox 4 ALX4 	
LINC00313	ALX4	In addition the binding of LINC00313 and the promoter region of ALX4 and the interaction of LINC00313 with methylation-related protein be detect 	
LINC00313	ALX4	The microarray-based analysis manifest that LINC00313 be overexpressed whereas ALX4 be downregulated in thyroid cancer the result of which be also verify in thyroid cancer tissue 	
LINC00313	ALX4	Besides our result demonstrate that LINC00313 bound to the ALX4 promoter region and LINC00313 recruit DNMT1 and DNMT3B proteins to promote the methylation of ALX4 promoter region thus suppress the ALX4 expression 	
LINC00313	DNMT1	Besides our result demonstrate that LINC00313 bound to the ALX4 promoter region and LINC00313 recruit DNMT1 and DNMT3B proteins to promote the methylation of ALX4 promoter region thus suppress the ALX4 expression 	
LINC00313	DNMT3B	Besides our result demonstrate that LINC00313 bound to the ALX4 promoter region and LINC00313 recruit DNMT1 and DNMT3B proteins to promote the methylation of ALX4 promoter region thus suppress the ALX4 expression 	
LINC00313	ALX4	downregulated LINC00313 suppresses cell proliferation migration as well a invasion of thyroid cancer by inhibit the methylation of ALX4 and increase it expression by inactivation of the AKT mTOR signal pathway 	
RHPN1-AS1	P53	Knockdown of RHPN1-AS1 deliver by lentivirus system inhibit MCF-7 cell proliferation indicate by the cell proliferation and colony formation assay and the knockdown of RHPN1-AS1 enhance P53 protein expression in MCF-7 and MDA-MB-231 cell 	
RHPN1-AS1	P53	luciferase reporter assay validate that RHPN1-AS1 be a molecular sponge of miR-4261 and direct transcriptional target of c-Myc RHPN1-AS1 exerts tumorigenesis by regulate P53 expression via MDM2 gene 	
PYCARD-AS1	PYCARD	we identify an lncRNA antisense to the pro-apoptotic gene PYCARD name PYCARD-AS1 which exhibit a dual nuclear and cytoplasmic distribution and be require for the PYCARD silencing in breast cancer cell 	
PYCARD-AS1	PYCARD	The PYCARD regulate apoptosis be control by PYCARD-AS1 moreover PYCARD-AS1 regulate apoptosis in a PYCARD dependent manner indicate that PYCARD be a critical downstream target of PYCARD-AS1 	
ROR	FOXM1	the sponging of miR-876-5p by ROR release FOXM1 thereby form a positive-feedback loop 	
ROR	FOXM1	Upregulation of both FOXM1 and ROR impair the sensitivity to sorafenib in HCC cell 	
ROR	FOXM1	These result reveal a novel molecular feedback loop between ROR and FOXM1 and elucidate their function in sorafenib sensitivity of HCC cell line 	
H19	ITGB3	From these result we can infer that in endometriosis both miR-124-3p and ITGB3 operate a downstream effector protein in the H19 signal pathway 	
H19	ITGB3	Down-regulation of H19 could inhibit ectopic endometrial cell proliferation and invasion by modulate miR-124-3p and ITGB3 offer a novel target for treatment 	
MALAT1	eIF4E	In this study we demonstrate miR-497 post-transcriptionally repressed MALAT1 whilst MALAT1 also compete for miR-497 binding to it molecular target eIF4E eukaryotic translation initiation factor 4E 	
MALAT1	SFPQ	Furthermore MALAT1 directly bind to SFPQ Splicing Factor Proline and Glutamine Rich protein indicate it multifaceted role in ACC pathophysiology 	
MALAT1	ZEB2	Knockdown MALAT1 or ZEB2 inhibit HG-induced EMT and fibrosis similar to miR-145 	
MALAT1	ZEB2	Mechanistically MALAT1 function a a sponge RNA for miR-145 to derepress the expression of target gene ZEB2 thereby induce EMT and fibrosis 	
H19	NADPH	This study aim at the participation of lncRNA H19 endothelial NADPH oxidases NOX4 and mir-148b in hypoxia stress in human hepatic sinusoidal endothelial cell HHSEC and clarify the relationship among them 	
H19	NOX4	The expression of lnc H19 NOX4 and mir-148b in cirrhotic patient and hypoxic HHSEC be measure by RT-PCR 	
H19	NOX4	The present result indicate that the expression of NOX4 mRNA and lnc H19 be increase but mir-148b be decrease in both cirrhotic patient and hypoxic HHSEC 	
H19	NOX4	In addition NOX4 be a direct negatively regulate target of mir-148b and mir-148b be negatively regulate by lnc H19 	
H19	NOX4	Collectively lnc H19 be a negatively regulator of mir-148b and participate in hypoxia stress in HHSEC via positively regulate NOX4 and negatively regulate eNOS NO signaling 	
AFAP1-AS1	RBM5	Moreover the mRNA and protein expression of RBM5 be upregulated after AFAP1-AS1 be knock down 	
AFAP1-AS1	RBM5	Furthermore the RBM5 expression level be negatively relate to AFAP1-AS1 expression level in prostate cancer sample AFAP1-AS1 act a an oncogene in prostate cancer by enhance cell metastasis and proliferation via suppress RBM5 which might be a novel therapeutic strategy in treatment for prostate cancer 	
LUCAT1	KISS1	In addition the mRNA and protein expression of KISS1 be downregulated after LUCAT1 overexpression 	
LUCAT1	KISS1	the expression level of KISS1 be negatively relate to the expression level of LUCAT1 in prostate cancer tissue LUCAT1 could enhance migration and invasion of prostate cancer cell by regulate KISS1 which might offer a potential therapeutic target for prostate cancer 	
LINC00460	AKT	Gain- and loss-of function experiment be conduct to analyze effect of LINC00460 miR-206 and STC2 on the expression of apoptosis-related protein autophagy-related protein and the extent of AKT ERK phosphorylation 	
LINC00460	ERK	Gain- and loss-of function experiment be conduct to analyze effect of LINC00460 miR-206 and STC2 on the expression of apoptosis-related protein autophagy-related protein and the extent of AKT ERK phosphorylation 	
LINC00460	STC2	Cell cycle distribution apoptosis and the production of autophagosomes after transfection be evaluate to far explore the role of LINC00460 miR-206 STC2 axis in HNSCC LINC00460 and STC2 be highly express while miR-206 be poorly express in HNSCC 	
LINC00460	STC2	Besides miR-206 be find to bind to both LINC00460 and STC2 	
AFAP1-AS1	LSD1	Here we report that AFAP1-AS1 recruiting and bind to lysine-specific demethylase 1 LSD1 be generally overexpressed in human non-small-cell lung cancer NSCLC tissue use quantitative real-time PCR 	
AFAP1-AS1	LSD1	Moreover mechanistic investigation include RNA immunoprecipitation and ChIP assay validate that AFAP1-AS1 repress HMG box-containing protein 1 HBP1 expression by recruit LSD1 to the HBP1 promoter region in PC-9 and H1975 cell 	
AFAP1-AS1	HBP1	Moreover mechanistic investigation include RNA immunoprecipitation and ChIP assay validate that AFAP1-AS1 repress HMG box-containing protein 1 HBP1 expression by recruit LSD1 to the HBP1 promoter region in PC-9 and H1975 cell 	
AFAP1-AS1	HBP1	the oncogenic effect of AFAP1-AS1 be partially dependent on the epigenetic silencing of HBP1 	
AFAP1-AS1	HBP1	In conclusion our result indicate that AFAP1-AS1 be carcinogenic and that the AFAP1-AS1 LSD1 HBP1 axis could constitute a new therapeutic direction for NSCLC 	
AFAP1-AS1	LSD1	In conclusion our result indicate that AFAP1-AS1 be carcinogenic and that the AFAP1-AS1 LSD1 HBP1 axis could constitute a new therapeutic direction for NSCLC 	
ncRAN	JNK	Besides miR-146a-5p inhibitor abolish the function of ncRAN knockdown on cell injury JNK and NF- B pathways ncRAN regulate LPS-induced inflammation injury in WI-38 cell through competitively bind miR-146a-5p with CCL5 far mediate JNK and NF- B pathway which shed novel light on diagnostics and therapeutic in pneumonia 	
ncRAN	CCL5	Besides miR-146a-5p inhibitor abolish the function of ncRAN knockdown on cell injury JNK and NF- B pathways ncRAN regulate LPS-induced inflammation injury in WI-38 cell through competitively bind miR-146a-5p with CCL5 far mediate JNK and NF- B pathway which shed novel light on diagnostics and therapeutic in pneumonia 	
H19	Igf2	However it be not entirely clear whether the impairment of ovary by TCDD be relate to the methylation pattern of Igf2 and H19 ICR 	
SNHG1	Akt	The present study aim to explore the involvement of lncRNA SNHG1 small nucleolar RNA host gene 1 in sorafenib resistance and how SNHG1 be associate with overexpressed microRNA-21 miR-21 and the activated Akt pathway which have be demonstrate to mediate this resistance in HCC cell 	
LINC00511	CDK6	However the effect of long intergenic noncoding RNA 00511 LINC00511 a newly identify oncogenic lncRNA on the drug resistance of breast cancer cell remain unknown RT-qPCR be perform to detect the expression of LINC00511 miR-29c and cyclin dependent kinase 6 CDK6 in breast cancer tissue and cell 	
NEAT1	SFPQ	In particular the central C domain contains small subdomains that be high-affinity binding site for the essential paraspeckle protein NONO and SFPQ that subsequently polymerize along NEAT1 	
NEAT1	NONO	In particular the central C domain contains small subdomains that be high-affinity binding site for the essential paraspeckle protein NONO and SFPQ that subsequently polymerize along NEAT1 	
lnc-TIGD1L2-3	NaOx	Five miRNAs four mRNAs and six lncRNAs lnc-TIGD1L2-3 KIN-1 lnc-FAM72B-4 lnc-EVI5L-1 lnc-SERPINI1-2 lnc-MB-6 from the HK-2 cell induce by NaOx be consistent with the expression change of microarray result 	
KIN-1	NaOx	Five miRNAs four mRNAs and six lncRNAs lnc-TIGD1L2-3 KIN-1 lnc-FAM72B-4 lnc-EVI5L-1 lnc-SERPINI1-2 lnc-MB-6 from the HK-2 cell induce by NaOx be consistent with the expression change of microarray result 	
lnc-MB-6	NaOx	Five miRNAs four mRNAs and six lncRNAs lnc-TIGD1L2-3 KIN-1 lnc-FAM72B-4 lnc-EVI5L-1 lnc-SERPINI1-2 lnc-MB-6 from the HK-2 cell induce by NaOx be consistent with the expression change of microarray result 	
LINC00467	DKK1	Furthermore LINC00467 be locate in the nucleus of LUAD cell line and negatively regulate DKK1 in LUAD cell 	
LINC00467	DKK1	STAT1-induced upregulation of LINC00467 promote LUAD progression by epigenetically silence DKK1 to activate Wnt -catenin signal pathway 	
H19	C8orf4	The dynamic effect of H19 and miR-30a on C8orf4 messenger RNA mRNA expression and protein and adipogenic differentiation be evaluate miR-30a negatively regulate H19 with each other through direct binding 	
H19	C8orf4	The lncRNA H19 serve a a compete endogenous RNA ceRNA for miR-30a to augment miR-30a downstream target C8orf4 therefore modulate adipogenic differentiation in hADSCs 	
CHRF	p65	Furthermore miR-146a be identify to be negatively regulate by lncRNA CHRF and it overexpression abrogate the role of lncRNA CHRF in IL-6-treated cell IL-6-induced the accumulation of I B p65 JAK1 and STAT3 at phosphorylated level be far facilitate by lncRNA CHRF whereas repress by miR-146a 	
H19	PI3K	The total protein of PI3K AKT and mTOR in the H19 knockout resistant cell show no significant change relative to those in the H19 non-knockout resistant cell whereas the phosphorylated protein of PI3K AKT and mTOR be significantly decrease 	
H19	AKT	The total protein of PI3K AKT and mTOR in the H19 knockout resistant cell show no significant change relative to those in the H19 non-knockout resistant cell whereas the phosphorylated protein of PI3K AKT and mTOR be significantly decrease 	
H19	mTOR	The total protein of PI3K AKT and mTOR in the H19 knockout resistant cell show no significant change relative to those in the H19 non-knockout resistant cell whereas the phosphorylated protein of PI3K AKT and mTOR be significantly decrease 	
BWS	IGF2	These result raise the possibility that a defective modifier or regulatory gene unlinked to 11p15 5 cause a spectrum of epigenetic alteration in the germ line or early development of both cousin range from the relaxation of IGF2 imprint in the KTWS proband to disruption of both the imprinted expression of IGF2 and the imprinted methylation of KvDMR1 in the BWS proband 	
H19	IGF2	Analysis of these data also indicate that loss of IGF2 imprinting be not necessarily link to alteration of methylation at the KvDMR1 or H19 locus and support the notion that IGF2 overexpression be involve in the etiology of the tissue hypertrophy observe in different overgrowth disorder include KTWS 	
H19	IGF2	In most tissue IGF2 be transcribe only from the paternal chromosome while H19 be transcribe only from the maternal allele 	
H19	IGF2	A number of gene include IGF2 and H19 be normally imprint with preferential expression of the paternal or maternal allele respectively 	
ncRAN	E2F5	Taken together our finding indicate that ncRAN induces breast cancer cell migration by competitively bind miR-98 with E2F5 and ncRAN can serve a a potential therapeutic target for breast cancer treatment 	
LINC00672	LASP1	Nevertheless LINC00672 be a p53 -targeting lincRNA act along with heterogeneous nuclear ribonucleoproteins a a suppressive cofactor which locally reinforce p53-mediated suppression of LASP1 an evolutionarily conserve neighboring gene of LINC00672 and putatively associate with increased tumor aggressiveness during anti-tumor process LINC00672 overexpression could lower the level of LASP1 and slow the development of malignant phenotype of EC both in vitro and in vivo Moreover LINC00672 significantly increase the 50 inhibitory concentration of paclitaxel in EC cell and increase the sensitivity of xenograft mouse to paclitaxel 	
LINC00672	p53	Nevertheless LINC00672 be a p53 -targeting lincRNA act along with heterogeneous nuclear ribonucleoproteins a a suppressive cofactor which locally reinforce p53-mediated suppression of LASP1 an evolutionarily conserve neighboring gene of LINC00672 and putatively associate with increased tumor aggressiveness during anti-tumor process LINC00672 overexpression could lower the level of LASP1 and slow the development of malignant phenotype of EC both in vitro and in vivo Moreover LINC00672 significantly increase the 50 inhibitory concentration of paclitaxel in EC cell and increase the sensitivity of xenograft mouse to paclitaxel 	
LINC00672	LASP1	These finding indicate that LINC00672 can influence LASP1 expression a a locus-restricted cofactor for p53-mediated gene suppression thus impact EC malignancy and chemosensitivity to paclitaxel 	
HOTAIR	SRF	Moreover silencing of either SRF or HOTAIR could counteract the promotion of gastric adenocarcinoma cell proliferation and invasion by miR-101-3p inhibition 	
CASC2	CPEB1	Overexpression of CASC2 promote the malignant characteristic of astrocytoma cell CASC2 directly bind miR-101 and mediate pre-miR-101 processing into mature miR-101 and function a a competitor of miR-101 target gene such a CPEB1 	
LINC01213	NRAS	Meanwhile LINC01213 LINC01133 and LOC284578 be correlate with BRAF mutation and PGM5-AS1 be relate to NRAS mutation 	
LINC01133	NRAS	Meanwhile LINC01213 LINC01133 and LOC284578 be correlate with BRAF mutation and PGM5-AS1 be relate to NRAS mutation 	
LOC284578	NRAS	Meanwhile LINC01213 LINC01133 and LOC284578 be correlate with BRAF mutation and PGM5-AS1 be relate to NRAS mutation 	
PVT1	CD151	The effect of PVT1 on the expression of CD151 and FGF2 be evaluate by Western blot PVT1 be up-regulated in GC tissue than that in the matched normal tissue and mRNA level of miR-152 be decrease 	
PVT1	FGF2	The effect of PVT1 on the expression of CD151 and FGF2 be evaluate by Western blot PVT1 be up-regulated in GC tissue than that in the matched normal tissue and mRNA level of miR-152 be decrease 	
MALAT1	JAG1	MALAT1 inhibit tongue cancer cell growth and metastasis through miR-124-dependent JAG1 regulation 	
SNHG1	p53	Upon doxorubicin treatment the lncRNA SNHG1 be retain in the nucleus through it binding with nucleolin and it compete with p53 for hnRNPC binding which upregulates p53 level and promote p53-dependent apoptosis by impair hnRNPC regulation of p53 activity 	
SNHG1	p53	Our result indicate that a balance between lncRNA SNHG1 and hnRNPC regulates p53 activity and p53-dependent apoptosis upon doxorubicin treatment and further indicate that a change in lncRNA subcellular localization under specific circumstance be biologically significant 	
SNHG20	ZEB1	Kaplan-Meier survival analysis and log-rank test be use to reveal the association between SNHG20 expression and the overall survival time in HCC patient CCK8 cell proliferation and transwell invasion assay be perform to analyze the cell proliferation and cell invasion ability QRT-PCR and western-blotting analysis be perform to demonstrate the mRNA level and protein expression of ZEB1 ZEB2 and relative epithelial-to-mesenchymal transition EMT marker E-cadherin N-cadherin and Vimentin 	
SNHG20	ZEB2	Kaplan-Meier survival analysis and log-rank test be use to reveal the association between SNHG20 expression and the overall survival time in HCC patient CCK8 cell proliferation and transwell invasion assay be perform to analyze the cell proliferation and cell invasion ability QRT-PCR and western-blotting analysis be perform to demonstrate the mRNA level and protein expression of ZEB1 ZEB2 and relative epithelial-to-mesenchymal transition EMT marker E-cadherin N-cadherin and Vimentin 	
SNHG20	ZEB1	Furthermore knockdown of SNHG20 inhibit ZEB1 ZEB2 N-cadherin and Vimentin expression and up-regulated the E-cadherin expression in HCC cell 	
SNHG20	ZEB2	Furthermore knockdown of SNHG20 inhibit ZEB1 ZEB2 N-cadherin and Vimentin expression and up-regulated the E-cadherin expression in HCC cell 	
SNHG20	EZH2	Mechanistic investigation reveal that SNHG20 could bind to enhancer of zeste homolog 2 EZH2 and regulate E-cadherin expression 	
HAS1	PCNA	Western-blotting analysis reveal that knockdown of HAS1 inhibit the cycle relative protein cyclin-D1 and PCNA expression in HCC cell 	
HAS1	NKD1	Mechanism RNA immunoprecipitation RIP and Chromatin immunoprecipitation ChIP assay show that by interact with enhancer of zeste homolog 2 EZH2 HAS1 promote HCC cell proliferation by repress the NKD1 and p21 expression 	
HAS1	p21	Mechanism RNA immunoprecipitation RIP and Chromatin immunoprecipitation ChIP assay show that by interact with enhancer of zeste homolog 2 EZH2 HAS1 promote HCC cell proliferation by repress the NKD1 and p21 expression 	
NEAT1	p53	In this study analysis of next-generation chromatin immunoprecipitation-sequencing ChIP-seq data for p53 reveal that the lncRNA NEAT1 be a direct transcriptional target of p53 	
NEAT1	p53	The suppression of NEAT1 induction by p53 attenuates the inhibitory effect of p53 on cancer cell growth and also modulate gene transactivation include that of many lncRNAs 	
Linc00441	RB1	We find that aberrant upregulated intranuclear Linc00441 be reversely correlate with RB1 expression in human HCC sample 	
Linc00441	RB1	In conclusion the epigenetic interaction between Linc00441 and bidirectional transcripted neighbor RB1 may be a de novo theory cutting-point for the inactivation of RB1 in HCC and may serve a target site for tumor therapy in the future 	
lncRNA-MODR	RUNX2	lncRNA-MODR be gradually upregulated during osteogenic differentiation lncRNA-MODR overexpression upregulated whereas lncRNA-MODR silencing decrease the expression of the osteogenic key marker runt-related transcription factor 2 RUNX2 	
lncRNA-MODR	RUNX2	lncRNA-MODR act a a molecular sponge for microRNA-454 miR-454 and that prevents RUNX2 from mi-454 mediate suppression 	
H19	Igf2	Insulin-like growth factor 2 Igf2 and H19 gene be oppositely imprinted and a such have be most extensively study imprint gene both genetically and at the molecular level 	
H19	IGF2	Examination of individual bone-marrow precursor reveal that all IGF2 -expressing haematopoietic precursor also co-expressed H19 indicating that H19 and IGF2 may be co-ordinately regulate during haematopoiesis 	
KvLQT1	KvDMR1	The patient with BWS also display hypomethylation at KvDMR1 a maternally methylated CpG island within an intron of the KvLQT1 gene 	
H19	Igf2	The mouse Igf2 and H19 gene lie 70-kb apart on chromosome 7 and be reciprocally imprint 	
H19	Igf2	The enhancer specifically activate Igf2 on the paternal chromosome and H19 on the maternal chromosome 	
H19	IGF2	H19 participate in the repression of IGF2 at least in part through effect on IGF2 transcription an effect which may contribute to it action a a tumor suppressor 	
H19	IGF2	Rhabdomyosarcomas be characterize by loss of heterozygosity LOH at chromosome region 11p15 5 a region know to contain several imprint gene include insulin-like growth factor 2 IGF2 H19 and p57 KIP2 	
H19	p57	Rhabdomyosarcomas be characterize by loss of heterozygosity LOH at chromosome region 11p15 5 a region know to contain several imprint gene include insulin-like growth factor 2 IGF2 H19 and p57 KIP2 	
Xist	Dnmt1	Demethylation of DNA use 5-azadC or by introduce a mutation in Dnmt1 and inhibition of histone hypoacetylation use trichostatin A further increase reactivation in Xist mutant fibroblast indicate a synergistic interaction of X chromosome silence mechanism 	
H19	CDKN1C	Aberrant expression of multiple imprinted gene include H19 IGF2 KCNQ1OT1 and CDKN1C have be observe in BWS patient 	
H19	IGF2	Aberrant expression of multiple imprinted gene include H19 IGF2 KCNQ1OT1 and CDKN1C have be observe in BWS patient 	
KCNQ1OT1	CDKN1C	Aberrant expression of multiple imprinted gene include H19 IGF2 KCNQ1OT1 and CDKN1C have be observe in BWS patient 	
KCNQ1OT1	IGF2	Aberrant expression of multiple imprinted gene include H19 IGF2 KCNQ1OT1 and CDKN1C have be observe in BWS patient 	
H19	CDKN1C	This be the first report of an analysis of the imprint status of gene in the 11p15 region where CDKN1C mutation be associate with loss of IGF2 imprinting and maintenance of H19 and KCNQ1OT1 imprinting 	
H19	IGF2	This be the first report of an analysis of the imprint status of gene in the 11p15 region where CDKN1C mutation be associate with loss of IGF2 imprinting and maintenance of H19 and KCNQ1OT1 imprinting 	
KCNQ1OT1	CDKN1C	This be the first report of an analysis of the imprint status of gene in the 11p15 region where CDKN1C mutation be associate with loss of IGF2 imprinting and maintenance of H19 and KCNQ1OT1 imprinting 	
KCNQ1OT1	IGF2	This be the first report of an analysis of the imprint status of gene in the 11p15 region where CDKN1C mutation be associate with loss of IGF2 imprinting and maintenance of H19 and KCNQ1OT1 imprinting 	
Xist	G6PD	The objective of the present study be to determine the effect of in vitro production IVP and nuclear transfer NT on the relative abundance RA of the X-linked transcript G6PD PGK and Xist in preimplantation bovine embryo 	
Xist	PGK	The objective of the present study be to determine the effect of in vitro production IVP and nuclear transfer NT on the relative abundance RA of the X-linked transcript G6PD PGK and Xist in preimplantation bovine embryo 	
H19	Igf2	The nonmethylated imprinted region of Igf2 and H19 be resistant to methylation at low Dnmt1 level but become fully methylated when Dnmt1 be overexpressed from a bacterial artificial chromosome transgene 	
H19	Dnmt1	The nonmethylated imprinted region of Igf2 and H19 be resistant to methylation at low Dnmt1 level but become fully methylated when Dnmt1 be overexpressed from a bacterial artificial chromosome transgene 	
H19	EGF	H19 promoter activity be stimulate by various growth factor use transient transfection in MDCK epithelial cell HGF SF be more efficient than EGF or FGF-2 in transactivating the H19 promoter whereas IGF-2 TGFbeta-1 and TNF-alpha be ineffective 	
H19	FGF-2	H19 promoter activity be stimulate by various growth factor use transient transfection in MDCK epithelial cell HGF SF be more efficient than EGF or FGF-2 in transactivating the H19 promoter whereas IGF-2 TGFbeta-1 and TNF-alpha be ineffective 	
H19	Snrpn	To determine when in germ cell development this biallelic expression phenomenon commence we isolate migrate PGCs by flow cytometry and determine the allele-specific expression of four imprinted gene Snrpn Igf2 H19 and Igf2r 	
H19	Igf2	To determine when in germ cell development this biallelic expression phenomenon commence we isolate migrate PGCs by flow cytometry and determine the allele-specific expression of four imprinted gene Snrpn Igf2 H19 and Igf2r 	
H19	Igf2r	To determine when in germ cell development this biallelic expression phenomenon commence we isolate migrate PGCs by flow cytometry and determine the allele-specific expression of four imprinted gene Snrpn Igf2 H19 and Igf2r 	
H19	L23mrp	the intergenic region between H19 and L23mrp contain a boundary or an insulator element 	
H19	Igf2	Igf2 be transcribe from the paternally inherit allele whereas the link H19 be transcribe from the maternal allele 	
2G7	MRPL23	We previously describe three biallelically express gene MRPL23 2G7 and TNNT3 in 100 kb of DNA immediately downstream of the imprinted H19 gene suggest that H19 mark one border of the imprinted region 	
2G7	TNNT3	We previously describe three biallelically express gene MRPL23 2G7 and TNNT3 in 100 kb of DNA immediately downstream of the imprinted H19 gene suggest that H19 mark one border of the imprinted region 	
H19	MRPL23	We previously describe three biallelically express gene MRPL23 2G7 and TNNT3 in 100 kb of DNA immediately downstream of the imprinted H19 gene suggest that H19 mark one border of the imprinted region 	
H19	TNNT3	We previously describe three biallelically express gene MRPL23 2G7 and TNNT3 in 100 kb of DNA immediately downstream of the imprinted H19 gene suggest that H19 mark one border of the imprinted region 	
H19	DUSP8	The mouse orthologue of a third gene DUSP8 locate between H19 and MUCDHL be also express biallelically 	
H19	MUCDHL	The mouse orthologue of a third gene DUSP8 locate between H19 and MUCDHL be also express biallelically 	
H19	PEG3	Using two bisulfite-based method we demonstrate a general trend of abnormal hypomethylation at the paternally express gene PEG3 and SNRPN and hypermethylation at the maternally express gene NESP55 and H19 in two to four BiCHMs 	
H19	SNRPN	Using two bisulfite-based method we demonstrate a general trend of abnormal hypomethylation at the paternally express gene PEG3 and SNRPN and hypermethylation at the maternally express gene NESP55 and H19 in two to four BiCHMs 	
H19	NESP55	Using two bisulfite-based method we demonstrate a general trend of abnormal hypomethylation at the paternally express gene PEG3 and SNRPN and hypermethylation at the maternally express gene NESP55 and H19 in two to four BiCHMs 	
KvDMR1	KCNQ1	The most frequent alteration associate with BWS be the absence of methylation at the maternal allele of KvDMR1 an intronic CpG island within the KCNQ1 gene 	
XIST	RPS4Y	The distinctive pattern of neuronal expression of XIST RPS4Y SMCY and UTY and other sex chromosome gene in neuronal subpopulation may possibly contribute to gender difference in prevalence note for some neuropsychiatric disorder 	
XIST	SMCY	The distinctive pattern of neuronal expression of XIST RPS4Y SMCY and UTY and other sex chromosome gene in neuronal subpopulation may possibly contribute to gender difference in prevalence note for some neuropsychiatric disorder 	
XIST	UTY	The distinctive pattern of neuronal expression of XIST RPS4Y SMCY and UTY and other sex chromosome gene in neuronal subpopulation may possibly contribute to gender difference in prevalence note for some neuropsychiatric disorder 	
H19	Igf2	Igf2 and H19 be physically link imprint gene 	
H19	VDUP1	Further investigation in a high number of adenocarcinoma show that in the high-fat n-6 diet group where the tumor phenotype be verify to be more aggressive the expression of submaxillary gland alpha-2u globulin vitamin D 3 -upregulated protein 1 VDUP1 H19 and the unknown function gene that codify the expressed sequence tag EST -Rn32385 be significantly decrease in comparison with the control group C 	
H19	VDUP1	These result together with the fact that VDUP1 H19 and this globulin have be associate with cell proliferation and differentiation open a new line of research about how the underexpression of these gene contributes to the stimulate effect of a high corn oil diet on experimental mammary carcinogenesis 	
