TMPO-AS1	TMPO	decreased Knockdown TMPO-AS1 of mRNA the and protein levels TMPO of cells in NSCLC 
MEG3	SNRNP70	revealed Screen using siRNA caused depletion components of U1 snRNP SNRNP70 SNRPA or SNRPD2 localization significant cytoplasmic transcripts of MEG3 reporter 
MEG3	SNRPD2	revealed Screen using siRNA caused depletion components of U1 snRNP SNRNP70 SNRPA or SNRPD2 localization significant cytoplasmic transcripts of MEG3 reporter 
UCA1	Beclin1	decreased effect The inhibition of UCA1 miR-185 for was inference by lncRNA UCA1 and released Beclin1 the beta-Catenin TCF-4 and LC3 2 and reduced further autophagy the and growth cells in A549 
UCA1	CLIC1	upregulated UCA1 According to the bioinformatics analysis lncRNA and CLIC1 were both significantly BDC in declined while expression the miR-122 of group compared with the normal 
UCA1	CLIC1	upregulated UCA1 lncRNA and CLIC1 were both significantly BDC in declined while expression the miR-122 of group compared with the normal 
UCA1	CLIC1	verified relationship The target CLIC1 among UCA1 and miR-122 was promoted UCA1 migration BDC cell and invasiveness inhibited while miR-122 served CLIC1 their progression gene as the downstream target miR-122 of and had effects opposite 
UCA1	CLIC1	promoted UCA1 metastasis the cells of BDC regulating by expression the miR-122 of and CLIC1 its downstream gene mRNA and promoted activation the pathway of the ERK MAPK expanded which horizons the therapy of targeted cholangiocarcinoma of 
LINC00052	CALCOCO1	demonstrated importantly More results the research of our regulate that LINC00052 could expression the CALCOCO1 of sponging via miR-574-5p CRC in 
FOXD1-AS1	eIF5a	resulted Furthermore eIF5a subunit protein eukaryotic translation initiation factor 5 A target a direct FOXD1-AS1 of 
FOXD1-AS1	eIF5a	indicated data These affected that target FOXD1-AS1 a miR339 342 processes biological eIF5a via protein 
H19	p53	reversed inhibiting While p53 basis on the knockdown of H19 effect the pro-neurogenesis inhibition of H19 
H19	p53	abolished decreased Furthermore H19 activity the transcriptional p53 of and expression the Notch1 of and p53 inhibition effects these H19 of 
LINC00052	CALCOCO1	performed assay Dual-luciferase reporter gene was identify to interaction the LINC00052 between and miR-574-5p or CALCOCO1 and miR-574-5p 
CRNDE	SIX1	demonstrated investigations Mechanistic interacted that CRNDE lncRNA miR-337-3p with and decreased expression its increasing thereby expression the protein s of miR-337-3p target SIX1 
CRNDE	SIX1	revealed addition In experiments in vivo using model a xenograft tumor mouse served that CRNDE lncRNA oncogene as an sponging partly through miR-337-3p and upregulating SIX1 HCC in 
DDX11-AS1	LATS2	increased Knockdown DDX11-AS1 of levels the mRNA and protein LATS2 of 
DDX11-AS1	LATS2	abolished Overexpression LATS2 of effect the promotive DDX11-AS1 of growth on cell and invasion 
DDX11-AS1	LATS2	decreased levels The mRNA LATS2 of were markedly tissues in tumor and correlated negatively expression with DDX11-AS1 
ANRIL	IL-10	correlated ANRIL Besides lncRNA was also positively IL-13 with TNSS tumor necrosis factor alpha interleukin IL -4 IL-6 and IL-17 associated while negatively IL-10 with and gamma interferon 
DDX11-AS1	DNMT1	inhibited migration Functionally the proliferation cell cycle progression and invasion cells of HCC were silencing by DDX11-AS1 promoted while expression by ectopic RIP of DDX11-AS1 RNA immunoprecipitation and assays chromatin immunoprecipitation ChIP validated suppressed that DDX11-AS1 expression LATS2 interacting by EZH2 with and DNMT1 cells in HCC 
DDX11-AS1	EZH2	inhibited migration Functionally the proliferation cell cycle progression and invasion cells of HCC were silencing by DDX11-AS1 promoted while expression by ectopic RIP of DDX11-AS1 RNA immunoprecipitation and assays chromatin immunoprecipitation ChIP validated suppressed that DDX11-AS1 expression LATS2 interacting by EZH2 with and DNMT1 cells in HCC 
MFI2-AS1	MYCBP	promoted MFI2-AS1 LncRNA migration CRC cell proliferation and invasion activating through MYCBP and sponging by miR-574-5p 
FAF	FGF9	increase Moreover overexpression FAF of lncRNA could also expression the FGF9 of 
LINC00313	ALX4	probe We role into the specific LINC00313 of mediation in processes of cellular cancer of thyroid migration including proliferation and invasion methylation through the ALX4 of aristaless-like homeobox 4 
LINC00313	ALX4	detected addition In binding the LINC00313 of and region the promoter ALX4 of and interaction the LINC00313 of proteins with methylation-related were 
LINC00313	ALX4	manifested analysis The microarray-based overexpressed that LINC00313 was verified downregulated whereas ALX4 was cancer in thyroid results the which of were also tissues in thyroid cancer 
LINC00313	ALX4	demonstrated Besides results our bound that LINC00313 region to the ALX4 promoter and LINC00313 proteins recruited DNMT1 and DNMT3B promote to methylation the region of ALX4 promoter suppressing thus expression the ALX4 
LINC00313	DNMT1	demonstrated Besides results our bound that LINC00313 region to the ALX4 promoter and LINC00313 proteins recruited DNMT1 and DNMT3B promote to methylation the region of ALX4 promoter suppressing thus expression the ALX4 
LINC00313	DNMT3B	demonstrated Besides results our bound that LINC00313 region to the ALX4 promoter and LINC00313 proteins recruited DNMT1 and DNMT3B promote to methylation the region of ALX4 promoter suppressing thus expression the ALX4 
LINC00313	ALX4	suppresses LINC00313 downregulated migration cell proliferation as well as invasion cancer of thyroid inhibiting by methylation the ALX4 of and increasing expression its inactivation by pathway of the AKT mTOR signaling 
RHPN1-AS1	P53	delivered Knockdown RHPN1-AS1 of system by lentivirus inhibited proliferation MCF-7 cell indicated proliferation by the cell and assays colony formation and knockdown the RHPN1-AS1 of enhanced expression P53 protein MCF-7 in and MDA-MB-231 cells 
RHPN1-AS1	P53	validated assay luciferase reporter sponge that RHPN1-AS1 is a molecular miR-4261 of and target direct transcriptional RHPN1-AS1 of c-Myc exerts tumorigenesis regulating by expression P53 gene via MDM2 
PYCARD-AS1	PYCARD	identified we lncRNA an antisense PYCARD to the pro-apoptotic gene named PYCARD-AS1 exhibits which distribution a dual nuclear and cytoplasmic and required is silencing for the PYCARD cells in breast cancer 
PYCARD-AS1	PYCARD	regulated PYCARD The apoptosis controlled is PYCARD-AS1 by ; regulates PYCARD-AS1 moreover apoptosis manner in a dependent PYCARD indicating target that PYCARD is a critical downstream PYCARD-AS1 of 
ROR	FOXM1	sponging the miR-876-5p of ROR by FOXM1 released forming thereby loop a positive-feedback 
ROR	FOXM1	impaired Upregulation FOXM1 of both and ROR sensitivity the sorafenib to cells in HCC 
ROR	FOXM1	revealed results These loop a novel molecular feedback ROR between and FOXM1 and elucidated functions their sensitivity in sorafenib lines of HCC cell 
H19	ITGB3	infer results From these we can operate that endometriosis in miR-124-3p both and ITGB3 proteins as downstream effector pathway in the H19 signaling 
H19	ITGB3	inhibit Down-regulation H19 of could proliferation ectopic endometrial cell and invasion modulating by miR-124-3p and ITGB3 offering target a novel treatment for 
MALAT1	eIF4E	demonstrated study In this we repressed miR-497 post-transcriptionally MALAT1 MALAT1 whilst competes also binding for miR-497 4E to its molecular target eIF4E eukaryotic translation initiation factor 
MALAT1	SFPQ	binds Furthermore MALAT1 directly Proline to SFPQ Splicing Factor and protein Glutamine Rich indicating roles its multifaceted pathophysiology in ACC 
MALAT1	ZEB2	inhibited MALAT1 Knockdown or ZEB2 EMT HG-induced and fibrosis similar miR-145 to 
MALAT1	ZEB2	functions MALAT1 Mechanistically RNA as a sponge miR-145 for derepress to expression the ZEB2 of target gene inducing thereby EMT and fibrosis 
H19	NADPH	study This aimed participation at the oxidases of lncRNA H19 endothelial NADPH NOX4 and mir-148b stress in hypoxia cells in human hepatic sinusoidal endothelial HHSEC and clarifying relationship the them among 
H19	NOX4	measured expression The NOX4 of lnc H19 and mir-148b patients in cirrhotic and HHSEC hypoxic were RT-PCR by 
H19	NOX4	indicated results The present increased that expressions the mRNA of NOX4 and H19 lnc were but decreased mir-148b was patients in both cirrhotic and HHSEC hypoxic 
H19	NOX4	was NOX4 In addition regulated target a direct regulated negatively mir-148b of and mir-148b was negatively H19 by lnc 
H19	NOX4	regulator H19 Collectively lnc is a negatively mir-148b of and participate stress in hypoxia HHSEC in regulating via positively NOX4 and regulating negatively signaling eNOS NO 
AFAP1-AS1	RBM5	upregulated Moreover mRNA the and protein expressions RBM5 of were knocked after AFAP1-AS1 was down 
AFAP1-AS1	RBM5	acts related Furthermore level the RBM5 expression was negatively level to AFAP1-AS1 expression AFAP1-AS1 in prostate cancer samples oncogene as an cancer in prostate enhancing by metastasis cell and proliferation suppressing via RBM5 strategy which might be a novel therapeutic treatment in cancer for prostate 
LUCAT1	KISS1	downregulated addition In mRNA the and protein expression KISS1 of were overexpression after LUCAT1 
LUCAT1	KISS1	related level the expression KISS1 of was negatively level to the expression LUCAT1 of enhance tissues in prostate cancer LUCAT1 could migration and invasion cells of prostate cancer regulating by KISS1 offer which might target a potential therapeutic cancer for prostate 
LINC00460	AKT	conducted Gain - and loss-of experiments function were analyze to effects miR-206 of LINC00460 and STC2 expression on the proteins of apoptosis-related proteins autophagy-related and extents the phosphorylation of AKT ERK 
LINC00460	ERK	conducted Gain - and loss-of experiments function were analyze to effects miR-206 of LINC00460 and STC2 expression on the proteins of apoptosis-related proteins autophagy-related and extents the phosphorylation of AKT ERK 
LINC00460	STC2	expressed evaluated apoptosis Cell cycle distribution and production the autophagosomes of transfection after were explore to further role the axis of LINC00460 miR-206 STC2 LINC00460 in HNSCC and STC2 were highly expressed while miR-206 was poorly HNSCC in 
LINC00460	STC2	found miR-206 Besides was bind to LINC00460 to both and STC2 
AFAP1-AS1	LSD1	reported Here we overexpressed that AFAP1-AS1 recruiting and binding LSD1 to lysine-specific demethylase 1 was generally tissues in human non-small-cell lung cancer NSCLC using PCR quantitative real-time 
AFAP1-AS1	LSD1	validated Moreover investigations mechanistic immunoprecipitation including RNA and assays ChIP repressed that AFAP1-AS1 expression protein HMG box-containing 1 HBP1 recruiting by LSD1 regions to the HBP1 promoter PC-9 in and H1975 cells 
AFAP1-AS1	HBP1	validated Moreover investigations mechanistic immunoprecipitation including RNA and assays ChIP repressed that AFAP1-AS1 expression protein HMG box-containing 1 HBP1 recruiting by LSD1 regions to the HBP1 promoter PC-9 in and H1975 cells 
AFAP1-AS1	HBP1	dependent effect the oncogenic AFAP1-AS1 of is partially silencing on the epigenetic HBP1 of 
AFAP1-AS1	HBP1	indicate conclusion In results our carcinogenic that AFAP1-AS1 is and constitute that axis the AFAP1-AS1 LSD1 HBP1 could direction a new therapeutic NSCLC for 
AFAP1-AS1	LSD1	indicate conclusion In results our carcinogenic that AFAP1-AS1 is and constitute that axis the AFAP1-AS1 LSD1 HBP1 could direction a new therapeutic NSCLC for 
ncRAN	JNK	abolished inhibitor Besides miR-146a-5p function the knockdown of ncRAN regulated JNK on cell injury and pathways NF-κB ncRAN injury LPS-induced inflammation cells in WI-38 miR-146a-5p through binding competitively CCL5 with mediating further pathways JNK and NF-κB sheds which light novel diagnostics on and therapeutics pneumonia in 
ncRAN	CCL5	abolished inhibitor Besides miR-146a-5p function the knockdown of ncRAN regulated JNK on cell injury and pathways NF-κB ncRAN injury LPS-induced inflammation cells in WI-38 miR-146a-5p through binding competitively CCL5 with mediating further pathways JNK and NF-κB sheds which light novel diagnostics on and therapeutics pneumonia in 
H19	Igf2	clear However it was not entirely related whether impairment the ovary of TCDD by was pattern to the methylation Igf2 of and H19 ICR 
SNHG1	Akt	aims study The present explore to involvement the gene of lncRNA SNHG1 small nucleolar RNA host 1 resistance in sorafenib and associated how SNHG1 is miR-21 with overexpressed microRNA-21 and pathway the activated Akt demonstrated which have been mediate to resistance this cells in HCC 
LINC00511	CDK6	remain However effects the RNA of long intergenic noncoding 00511 LINC00511 lncRNA a identified newly oncogenic resistance on the drug cells of breast cancer RT-qPCR unknown performed was detect to expressions the miR-29c of LINC00511 and kinase cyclin dependent 6 CDK6 tissues in breast cancer and cells 
NEAT1	SFPQ	contains particular In domain the central C subdomains smaller sites that are high-affinity binding proteins for the essential paraspeckle NONO and SFPQ polymerize that subsequently NEAT1 along 
NEAT1	NONO	contains particular In domain the central C subdomains smaller sites that are high-affinity binding proteins for the essential paraspeckle NONO and SFPQ polymerize that subsequently NEAT1 along 
lnc-TIGD1L2-3	NaOx	consistent miRNAs Five mRNAs four and lnc-MB-6 six lncRNAs lnc-TIGD1L2-3 KIN-1 lnc-FAM72B-4 lnc-EVI5L-1 lnc-SERPINI1-2 cells from the HK-2 induced NaOx by were changes with the expression results of microarray 
KIN-1	NaOx	consistent miRNAs Five mRNAs four and lnc-MB-6 six lncRNAs lnc-TIGD1L2-3 KIN-1 lnc-FAM72B-4 lnc-EVI5L-1 lnc-SERPINI1-2 cells from the HK-2 induced NaOx by were changes with the expression results of microarray 
lnc-MB-6	NaOx	consistent miRNAs Five mRNAs four and lnc-MB-6 six lncRNAs lnc-TIGD1L2-3 KIN-1 lnc-FAM72B-4 lnc-EVI5L-1 lnc-SERPINI1-2 cells from the HK-2 induced NaOx by were changes with the expression results of microarray 
LINC00467	DKK1	located Furthermore LINC00467 was nucleus in the lines of LUAD cell and DKK1 regulated negatively cells in LUAD 
LINC00467	DKK1	promoted upregulation STAT1-induced LINC00467 of progression LUAD DKK1 by silencing epigenetically activate to pathway Wnt β-catenin signaling 
H19	C8orf4	evaluated effects The dynamic H19 of and miR-30a mRNA on C8orf4 messenger RNA expression and protein and differentiation adipogenic were H19 miR-30a regulated negatively other with each binding through direct 
H19	C8orf4	serves H19 The lncRNA ceRNA as a competing endogenous RNA miR-30a for augment to C8orf4 miR-30a downstream target modulating therefore differentiation adipogenic hADSCs in 
CHRF	p65	identified Furthermore miR-146a was regulated to be negatively CHRF by lncRNA and overexpression its abrogated roles the CHRF of lncRNA facilitated cells in IL-6-treated accumulation IL-6-induced the JAK1 of IκBα p65 and STAT3 level at phosphorylated was further CHRF by lncRNA repressed whereas miR-146a by 
H19	PI3K	showed protein The total AKT of PI3K and mTOR cells in the H19 knockout resistant change no significant those relative to cells in the H19 non-knockout resistant decreased whereas proteins the phosphorylated AKT of PI3K and mTOR were significantly 
H19	AKT	showed protein The total AKT of PI3K and mTOR cells in the H19 knockout resistant change no significant those relative to cells in the H19 non-knockout resistant decreased whereas proteins the phosphorylated AKT of PI3K and mTOR were significantly 
H19	mTOR	showed protein The total AKT of PI3K and mTOR cells in the H19 knockout resistant change no significant those relative to cells in the H19 non-knockout resistant decreased whereas proteins the phosphorylated AKT of PI3K and mTOR were significantly 
BWS	IGF2	raise results These possibility the caused that modifier a defective or gene regulatory unlinked 11p15 to 5 spectrum a alterations of epigenetic line in the germ or development early cousins of both ranging relaxation from the IGF2 of imprinting proband in the KTWS disruption to expression of both the imprinted IGF2 of and methylation the imprinted KvDMR1 of proband in the BWS 
H19	IGF2	indicates Analysis data of these also linked that loss IGF2 of imprinting is not necessarily alteration to methylation of loci at the KvDMR1 or H19 and supports notion the involved that overexpression IGF2 is etiology in the hypertrophy of the tissue observed disorders in different overgrowth KTWS including 
H19	IGF2	transcribed tissues In most IGF2 is only chromosome from the paternal transcribed while H19 is allele only from the maternal 
H19	IGF2	imprinted number A genes of IGF2 including and H19 are normally expression with preferential allele of the paternal or maternal respectively 
ncRAN	E2F5	serve indicated Taken together findings our induces that ncRAN migration breast cancer cell binding by competitively miR-98 E2F5 with and ncRAN can target as a potential therapeutic treatment for breast cancer 
LINC00672	LASP1	p53 LINC00672 Nevertheless is a - targeting lincRNA acting ribonucleoproteins along with heterogeneous nuclear cofactor as a suppressive reinforces which locally suppression p53-mediated LASP1 of gene an conserved evolutionarily neighboring LINC00672 of and associated putatively lower aggressiveness with increased tumor processes during anti-tumor overexpression LINC00672 could levels the LASP1 of and slow development the phenotypes of malignant EC of and both vitro in vivo in increased LINC00672 Moreover significantly concentration the % 50 inhibitory paclitaxel of cells in EC and increased sensitivity the mice of xenograft paclitaxel to 
LINC00672	p53	p53 LINC00672 Nevertheless is a - targeting lincRNA acting ribonucleoproteins along with heterogeneous nuclear cofactor as a suppressive reinforces which locally suppression p53-mediated LASP1 of gene an conserved evolutionarily neighboring LINC00672 of and associated putatively lower aggressiveness with increased tumor processes during anti-tumor overexpression LINC00672 could levels the LASP1 of and slow development the phenotypes of malignant EC of and both vitro in vivo in increased LINC00672 Moreover significantly concentration the % 50 inhibitory paclitaxel of cells in EC and increased sensitivity the mice of xenograft paclitaxel to 
LINC00672	LASP1	indicate findings These influence that LINC00672 can expression LASP1 cofactor as a locus-restricted suppression for p53-mediated gene impacting thus malignancies EC and chemosensitivity paclitaxel to 
HOTAIR	SRF	counteract Moreover silencing SRF of either or HOTAIR could promotion the proliferation of gastric adenocarcinoma cell and invasion inhibition by miR-101-3p 
CASC2	CPEB1	promotes Overexpression CASC2 of characteristic the malignant cells of astrocytoma CASC2 bound directly miR-101 and processing mediated pre-miR-101 miR-101 into mature and functions competitor as a genes of miR-101 target CPEB1 such as 
LINC01213	NRAS	related correlated Meanwhile LINC01133 LINC01213 and LOC284578 were mutation with BRAF and PGM5-AS1 was mutation to NRAS 
LINC01133	NRAS	related correlated Meanwhile LINC01133 LINC01213 and LOC284578 were mutation with BRAF and PGM5-AS1 was mutation to NRAS 
LOC284578	NRAS	related correlated Meanwhile LINC01133 LINC01213 and LOC284578 were mutation with BRAF and PGM5-AS1 was mutation to NRAS 
PVT1	CD151	decreased evaluated effects The PVT1 of expression on the CD151 of and FGF2 were PVT1 by Western blot up-regulated was tissues in GC that than tissues in the matched normal and level mRNA miR-152 of was 
PVT1	FGF2	decreased evaluated effects The PVT1 of expression on the CD151 of and FGF2 were PVT1 by Western blot up-regulated was tissues in GC that than tissues in the matched normal and level mRNA miR-152 of was 
MALAT1	JAG1	inhibited MALAT1 growth tongue cancer cell and metastasis regulation through miR-124-dependent JAG1 
SNHG1	p53	retained treatment Upon doxorubicin SNHG1 the lncRNA is nucleus in the binding through its nucleolin with and competes it p53 with binding for hnRNPC upregulates which levels p53 and promotes apoptosis p53-dependent impairing by regulation hnRNPC activity of p53 
SNHG1	p53	indicate results Our regulates that balance a SNHG1 between lncRNA and hnRNPC activity p53 and apoptosis p53-dependent treatment upon doxorubicin and indicate further significant that change a localization in lncRNA subcellular circumstances under specific is biologically 
SNHG20	ZEB1	performed performed used analysis Kaplan-Meier survival and test log-rank was reveal to association the expression between SNHG20 and time the overall survival patients in HCC proliferation CCK8 cell and assays transwell invasion were analyze to proliferation the cell and QRT-PCR cell invasion ability and analysis western-blotting were demonstrate to levels the mRNA and expression protein ZEB2 of ZEB1 and markers relative epithelial-to-mesenchymal transition EMT N-cadherin E-cadherin and Vimentin 
SNHG20	ZEB2	performed performed used analysis Kaplan-Meier survival and test log-rank was reveal to association the expression between SNHG20 and time the overall survival patients in HCC proliferation CCK8 cell and assays transwell invasion were analyze to proliferation the cell and QRT-PCR cell invasion ability and analysis western-blotting were demonstrate to levels the mRNA and expression protein ZEB2 of ZEB1 and markers relative epithelial-to-mesenchymal transition EMT N-cadherin E-cadherin and Vimentin 
SNHG20	ZEB1	inhibited Furthermore knockdown SNHG20 of N-cadherin ZEB1 ZEB2 and expression Vimentin and up-regulated expression the E-cadherin cells in HCC 
SNHG20	ZEB2	inhibited Furthermore knockdown SNHG20 of N-cadherin ZEB1 ZEB2 and expression Vimentin and up-regulated expression the E-cadherin cells in HCC 
SNHG20	EZH2	revealed investigation Mechanistic bind that SNHG20 could enhancer to homolog of zeste EZH2 2 and expression regulated E-cadherin 
HAS1	PCNA	revealed analysis Western-blotting inhibited that knockdown HAS1 of cyclin-D1 the cycle relative protein and expression PCNA cells in HCC 
HAS1	NKD1	showed RIP Mechanism RNA immunoprecipitation and assays Chromatin immunoprecipitation ChIP promoted that interacting by enhancer with HAS1 of zeste homolog 2 EZH2 proliferation HCC cell repressing by NKD1 the and p21 expression 
HAS1	p21	showed RIP Mechanism RNA immunoprecipitation and assays Chromatin immunoprecipitation ChIP promoted that interacting by enhancer with HAS1 of zeste homolog 2 EZH2 proliferation HCC cell repressing by NKD1 the and p21 expression 
NEAT1	p53	revealed analysis In this study data of next-generation chromatin immunoprecipitation-sequencing ChIP-seq p53 for target that NEAT1 the lncRNA is a direct transcriptional p53 of 
NEAT1	p53	attenuates suppression The induction of NEAT1 p53 by effect the inhibitory p53 of growth on cancer cell and modulates also transactivation gene that including lncRNAs of many 
Linc00441	RB1	found We correlated that Linc00441 aberrant upregulated intranuclear was reversely expression with RB1 samples in human HCC 
Linc00441	RB1	cutting-point conclusion In interaction the epigenetic Linc00441 between and RB1 bidirectional transcripted neighbor may be a de novo theory inactivation for the RB1 of HCC in and serve may targeting as site therapy for tumor future in the 
lncRNA-MODR	RUNX2	upregulated lncRNA-MODR is gradually overexpression during osteogenic differentiation lncRNA-MODR upregulated decreased whereas silencing lncRNA-MODR expression the factor of the osteogenic key marker runt-related transcription 2 RUNX2 
lncRNA-MODR	RUNX2	acts lncRNA-MODR sponge as a molecular miR-454 for microRNA-454 and prevents that RUNX2 mi-454 from mediated suppression 
H19	Igf2	imprinted factor Insulin-like growth 2 genes Igf2 and H19 are oppositely and studied as such have been extensively most genes imprinted genetically both and level at the molecular 
H19	IGF2	revealed Examination precursors of individual bone-marrow co-expressed that IGF2 all - expressing precursors haematopoietic also H19 indicating regulated that H19 and IGF2 may be co-ordinately haematopoiesis during 
KvLQT1	KvDMR1	displayed patient The BWS with also hypomethylation KvDMR1 at island a methylated maternally CpG intron within an gene of the KvLQT1 
H19	Igf2	lie Igf2 The mouse and genes H19 70-kb apart chromosome on 7 and imprinted are reciprocally 
H19	Igf2	activate enhancers The specifically Igf2 chromosome on the paternal and H19 chromosome on the maternal 
H19	IGF2	participates H19 repression in the IGF2 of part at least in effects through transcription on IGF2 effect an contribute which may action to its suppressor as a tumor 
H19	IGF2	characterized Rhabdomyosarcomas are loss by LOH of heterozygosity region at chromosome region 11p15 5 a known contain to genes several imprinted factor including insulin-like growth 2 H19 IGF2 and KIP2 p57 
H19	p57	characterized Rhabdomyosarcomas are loss by LOH of heterozygosity region at chromosome region 11p15 5 a known contain to genes several imprinted factor including insulin-like growth 2 H19 IGF2 and KIP2 p57 
Xist	Dnmt1	Demethylation DNA of using 5-azadC or introducing by mutation a Dnmt1 in and inhibition hypoacetylation of histone using reactivation trichostatin A further increases fibroblasts in Xist mutant indicating interaction a synergistic mechanisms of X chromosome silencing 
H19	CDKN1C	observed expression Aberrant genes of multiple imprinted KCNQ1OT1 including H19 IGF2 and CDKN1C has been patients in BWS 
H19	IGF2	observed expression Aberrant genes of multiple imprinted KCNQ1OT1 including H19 IGF2 and CDKN1C has been patients in BWS 
KCNQ1OT1	CDKN1C	observed expression Aberrant genes of multiple imprinted KCNQ1OT1 including H19 IGF2 and CDKN1C has been patients in BWS 
KCNQ1OT1	IGF2	observed expression Aberrant genes of multiple imprinted KCNQ1OT1 including H19 IGF2 and CDKN1C has been patients in BWS 
H19	CDKN1C	report This is the first analysis of an status of the imprinting genes of region in the 11p15 associated where mutations CDKN1C were loss with IGF2 of imprinting and maintenance H19 of and KCNQ1OT1 imprinting 
H19	IGF2	report This is the first analysis of an status of the imprinting genes of region in the 11p15 associated where mutations CDKN1C were loss with IGF2 of imprinting and maintenance H19 of and KCNQ1OT1 imprinting 
KCNQ1OT1	CDKN1C	report This is the first analysis of an status of the imprinting genes of region in the 11p15 associated where mutations CDKN1C were loss with IGF2 of imprinting and maintenance H19 of and KCNQ1OT1 imprinting 
KCNQ1OT1	IGF2	report This is the first analysis of an status of the imprinting genes of region in the 11p15 associated where mutations CDKN1C were loss with IGF2 of imprinting and maintenance H19 of and KCNQ1OT1 imprinting 
Xist	G6PD	was objective The study of the present determine to effects the IVP of in vitro production and NT nuclear transfer RA on the relative abundance transcripts of the X-linked PGK G6PD and Xist embryos in preimplantation bovine 
Xist	PGK	was objective The study of the present determine to effects the IVP of in vitro production and NT nuclear transfer RA on the relative abundance transcripts of the X-linked PGK G6PD and Xist embryos in preimplantation bovine 
H19	Igf2	resistant region The nonmethylated imprinted Igf2 of and H19 was methylation to levels at low Dnmt1 but became methylated fully overexpressed when Dnmt1 was transgene from a bacterial artificial chromosome 
H19	Dnmt1	resistant region The nonmethylated imprinted Igf2 of and H19 was methylation to levels at low Dnmt1 but became methylated fully overexpressed when Dnmt1 was transgene from a bacterial artificial chromosome 
H19	EGF	stimulated activity H19 promoter was factors by various growth using efficient transfection transient cells in MDCK epithelial SF HGF was more EGF than or FGF-2 transactivating in promoter the H19 ineffective whereas TGFbeta-1 IGF-2 and TNF-alpha were 
H19	FGF-2	stimulated activity H19 promoter was factors by various growth using efficient transfection transient cells in MDCK epithelial SF HGF was more EGF than or FGF-2 transactivating in promoter the H19 ineffective whereas TGFbeta-1 IGF-2 and TNF-alpha were 
H19	Snrpn	determine To commences when development in germ cell phenomenon this biallelic expression isolated we migrating PGCs cytometry by flow and determined expression the allele-specific genes of four imprinted - H19 Snrpn Igf2 and Igf2r 
H19	Igf2	determine To commences when development in germ cell phenomenon this biallelic expression isolated we migrating PGCs cytometry by flow and determined expression the allele-specific genes of four imprinted - H19 Snrpn Igf2 and Igf2r 
H19	Igf2r	determine To commences when development in germ cell phenomenon this biallelic expression isolated we migrating PGCs cytometry by flow and determined expression the allele-specific genes of four imprinted - H19 Snrpn Igf2 and Igf2r 
H19	L23mrp	contains region the intergenic H19 between and L23mrp boundary a or element an insulator 
H19	Igf2	transcribed Igf2 is allele from the inherited paternally transcribed whereas H19 the linked is allele from the maternal 
2G7	MRPL23	described We previously genes three expressed biallelically 2G7 MRPL23 and TNNT3 kb in 100 DNA of downstream immediately gene of the imprinted H19 suggesting that marks H19 border one region of the imprinted 
2G7	TNNT3	described We previously genes three expressed biallelically 2G7 MRPL23 and TNNT3 kb in 100 DNA of downstream immediately gene of the imprinted H19 suggesting that marks H19 border one region of the imprinted 
H19	MRPL23	described We previously genes three expressed biallelically 2G7 MRPL23 and TNNT3 kb in 100 DNA of downstream immediately gene of the imprinted H19 suggesting that marks H19 border one region of the imprinted 
H19	TNNT3	described We previously genes three expressed biallelically 2G7 MRPL23 and TNNT3 kb in 100 DNA of downstream immediately gene of the imprinted H19 suggesting that marks H19 border one region of the imprinted 
H19	DUSP8	expressed orthologue The mouse DUSP8 of a third gene located H19 between and MUCDHL is also biallelically 
H19	MUCDHL	expressed orthologue The mouse DUSP8 of a third gene located H19 between and MUCDHL is also biallelically 
H19	PEG3	demonstrate Using methods two bisulfite-based we trend a general hypomethylation of abnormal genes at the expressed paternally PEG3 and SNRPN and hypermethylation genes at the expressed maternally NESP55 and H19 BiCHMs in four two to 
H19	SNRPN	demonstrate Using methods two bisulfite-based we trend a general hypomethylation of abnormal genes at the expressed paternally PEG3 and SNRPN and hypermethylation genes at the expressed maternally NESP55 and H19 BiCHMs in four two to 
H19	NESP55	demonstrate Using methods two bisulfite-based we trend a general hypomethylation of abnormal genes at the expressed paternally PEG3 and SNRPN and hypermethylation genes at the expressed maternally NESP55 and H19 BiCHMs in four two to 
KvDMR1	KCNQ1	absence alteration The frequent most associated BWS with is the methylation of allele at the maternal KvDMR1 of island an intronic CpG gene within the KCNQ1 
XIST	RPS4Y	contribute pattern The distinctive expression of neuronal SMCY of XIST RPS4Y and UTY and genes other sex chromosome subpopulations in neuronal may possibly gender to differences prevalence in noted disorders for some neuropsychiatric 
XIST	SMCY	contribute pattern The distinctive expression of neuronal SMCY of XIST RPS4Y and UTY and genes other sex chromosome subpopulations in neuronal may possibly gender to differences prevalence in noted disorders for some neuropsychiatric 
XIST	UTY	contribute pattern The distinctive expression of neuronal SMCY of XIST RPS4Y and UTY and genes other sex chromosome subpopulations in neuronal may possibly gender to differences prevalence in noted disorders for some neuropsychiatric 
H19	Igf2	linked Igf2 and H19 are physically genes imprinted 
H19	VDUP1	showed investigation Further number in a higher adenocarcinomas of that group in the high-fat n-6 diet verified where phenotype the tumor was aggressive to be more expression the D of submaxillary gland alpha-2u globulin vitamin 3 - H19 upregulated protein 1 VDUP1 and gene the unknown function codifies that EST the expressed sequence tag - decreased Rn32385 was significantly comparison in C with the control group 
