hgnc_id	symbol	name	locus_group	locus_type	status	location	location_sortable	alias_symbol	alias_name	prev_symbol	prev_name	gene_family	gene_family_id	date_approved_reserved	date_symbol_changed	date_name_changed	date_modified	entrez_id	ensembl_gene_id	vega_id	ucsc_id	ena	refseq_accession	ccds_id	uniprot_ids	pubmed_id	mgd_id	rgd_id	lsdb	cosmic	omim_id	mirbase	homeodb	snornabase	bioparadigms_slc	orphanet	pseudogene.org	horde_id	merops	imgt	iuphar	kznf_gene_catalog	mamit-trnadb	cd	lncrnadb	enzyme_id	intermediate_filament_db	rna_central_ids	lncipedia	gtrnadb
HGNC:16416	LINC00313	long intergenic non-protein coding RNA 313	non-coding RNA	RNA, long non-coding	Approved	21q22.3	21q22.3			"C21orf84|NCRNA00313"	"chromosome 21 open reading frame 84|non-protein coding RNA 313"			2001-08-24	2011-08-10	2011-08-10	2015-07-31	114038	ENSG00000185186	OTTHUMG00000086867	uc002zdh.1	AF426261	NR_026863		P59037	"12036297|26178480"																							LINC00313	
HGNC:16622	LINC00314	long intergenic non-protein coding RNA 314	non-coding RNA	RNA, long non-coding	Approved	21q21.3	21q21.3			"C21orf94|NCRNA00314"	"chromosome 21 open reading frame 94|non-protein coding RNA 314"			2002-07-05	2011-08-10	2011-08-10	2014-11-18	246705	ENSG00000178457	OTTHUMG00000074158	uc002ymj.4	AF427489	NR_027246			12036297																							LINC00314	
HGNC:16621	LINC00315	long intergenic non-protein coding RNA 315	non-coding RNA	RNA, long non-coding	Approved	21q22.3	21q22.3			"C21orf93|NCRNA00315"	"chromosome 21 open reading frame 93|non-protein coding RNA 315"			2002-11-26	2011-08-10	2011-08-10	2014-11-18	246704	ENSG00000184274	OTTHUMG00000090409	uc062awa.1	AF427488			P59091	12036297																							LINC00315	
HGNC:19723	LINC00316	long intergenic non-protein coding RNA 316	non-coding RNA	RNA, long non-coding	Approved	21q22.3	21q22.3	PRED59		"C21orf111|NCRNA00316"	"chromosome 21 open reading frame 111|non-protein coding RNA 316"			2003-10-02	2011-08-10	2011-08-10	2014-11-19	388830	ENSG00000237664	OTTHUMG00000090404	uc032qcd.1	BG221750	NR_103811																										LINC00316	
HGNC:23126	LINC00317	long intergenic non-protein coding RNA 317	non-coding RNA	RNA, long non-coding	Approved	21q21.1	21q21.1	PRED89		"C21orf117|NCRNA00317"	"chromosome 21 open reading frame 117|non-protein coding RNA 317"			2003-10-01	2011-08-10	2011-08-10	2014-11-19	378828	ENSG00000238265	OTTHUMG00000078123	uc021wht.1	BC009878	NR_038872																										LINC00317	
HGNC:19730	LINC00319	long intergenic non-protein coding RNA 319	non-coding RNA	RNA, long non-coding	Approved	21q22.3	21q22.3	"PRED49|FLJ38036"		"C21orf125|NCRNA00319"	"chromosome 21 open reading frame 125|non-protein coding RNA 319"			2003-10-02	2011-08-11	2011-08-11	2018-07-20	284836	ENSG00000188660	OTTHUMG00000086866	uc062aoa.1	AK095355	NR_026960			"28800794|29408583"																							LINC00319	
HGNC:19690	LINC00320	long intergenic non-protein coding RNA 320	non-coding RNA	RNA, long non-coding	Approved	21q21.1	21q21.1	"PRED14|FLJ37539"		"C21orf131|NCRNA00320"	"chromosome 21 open reading frame 131|non-protein coding RNA 320"			2003-12-15	2011-08-10	2011-08-10	2014-11-19	387486	ENSG00000224924	OTTHUMG00000078063	uc002ykz.6	AK094858	NR_024090																										LINC00320	
HGNC:33698	LINC00322	long intergenic non-protein coding RNA 322	non-coding RNA	RNA, long non-coding	Approved	21q22.3	21q22.3	FLJ16545		"C21orf136|NCRNA00322"	"chromosome 21 open reading frame 136|non-protein coding RNA 322"			2007-11-14	2011-08-10	2011-08-10	2014-11-19	100126693	ENSG00000237864	OTTHUMG00000086864	uc032qak.2	AK131425	NR_103713		Q6ZN03	17081983																							LINC00322	
HGNC:19720	LINC00323	long intergenic non-protein coding RNA 323	non-coding RNA	RNA, long non-coding	Approved	21q22.2	21q22.2	"PRED42|FLJ37173"		"C21orf130|NCRNA00323"	"chromosome 21 open reading frame 130|non-protein coding RNA 323"			2003-12-15	2011-08-11	2011-08-11	2016-10-05	284835	ENSG00000226496	OTTHUMG00000086741	uc002yyv.2	AK094492	NR_024100																										LINC00323	
HGNC:26628	LINC00324	long intergenic non-protein coding RNA 324	non-coding RNA	RNA, long non-coding	Approved	17p13.1	17p13.1	"FLJ34790|MGC104931"		"C17orf44|NCRNA00324"	"chromosome 17 open reading frame 44|non-protein coding RNA 324"			2005-11-14	2011-08-10	2011-08-10	2019-07-12	284029	ENSG00000178977	OTTHUMG00000132866	uc002gkp.5	AK092109	NR_026951			31225659																							LINC00324	
HGNC:41926	LINC00326	long intergenic non-protein coding RNA 326	non-coding RNA	RNA, long non-coding	Approved	6q23.2	06q23.2			NCRNA00326	non-protein coding RNA 326			2011-05-19	2011-08-10	2011-08-10	2012-10-12	285735	ENSG00000231023	OTTHUMG00000015597	uc003qdz.3		NR_026969																										LINC00326	
HGNC:42009	LINC00327	long intergenic non-protein coding RNA 327	non-coding RNA	RNA, long non-coding	Approved	13q12.12	13q12.12			NCRNA00327	non-protein coding RNA 327			2011-05-31	2011-08-10	2011-08-10	2014-11-18	100506697	ENSG00000232977	OTTHUMG00000016566	uc001uos.3		NR_038995																										LINC00327	
HGNC:42028	LINC00328	long intergenic non-protein coding RNA 328	non-coding RNA	RNA, long non-coding	Approved	21p11.2	21p11.2	NCRNA00328-1	non-protein coding RNA 328-1	"NCRNA00328A|NCRNA00328"	"non-protein coding RNA 328A|non-protein coding RNA 328"			2011-06-01	2011-08-10	2011-08-10	2012-10-12	51152				AF172850																												
HGNC:42047	LINC00330	long intergenic non-protein coding RNA 330	non-coding RNA	RNA, long non-coding	Approved	13q14.12	13q14.12			NCRNA00330	non-protein coding RNA 330			2011-06-01	2011-08-10	2011-08-10	2014-11-19	144817	ENSG00000235097	OTTHUMG00000016840	uc021rjc.2	AK056732	NR_038433																										LINC00330	
HGNC:42048	LINC00331	long intergenic non-protein coding RNA 331	non-coding RNA	RNA, long non-coding	Approved	13q31.1	13q31.1			NCRNA00331	non-protein coding RNA 331			2011-06-01	2011-08-10	2011-08-10	2014-11-18	100874126	ENSG00000225427	OTTHUMG00000017124	uc058xqt.1		NR_046869																										LINC00331	
HGNC:42049	LINC00332	long intergenic non-protein coding RNA 332	non-coding RNA	RNA, long non-coding	Approved	13q14.11	13q14.11			NCRNA00332	non-protein coding RNA 332			2011-06-01	2011-08-10	2011-08-10	2014-11-19	100874127	ENSG00000230710	OTTHUMG00000016770	uc031qlg.2		NR_046870																										LINC00332	
HGNC:42050	LINC00333	long intergenic non-protein coding RNA 333	non-coding RNA	RNA, long non-coding	Approved	13q31.1	13q31.1			NCRNA00333	non-protein coding RNA 333			2011-06-01	2011-08-10	2011-08-10	2014-11-18	100874128	ENSG00000233349	OTTHUMG00000017154	uc058xrp.1		NR_046871																										LINC00333	
HGNC:16425	LINC00334	long intergenic non-protein coding RNA 334	non-coding RNA	RNA, long non-coding	Approved	21q22.3	21q22.3			"C21orf89|NCRNA00334"	"chromosome 21 open reading frame 89|non-protein coding RNA 334"			2001-08-24	2011-08-10	2011-08-10	2014-11-18	114042	ENSG00000182586	OTTHUMG00000084875	uc002zgz.1	AF426268	NR_135279			12036297																							LINC00334	
HGNC:33813	LINC00336	long intergenic non-protein coding RNA 336	non-coding RNA	RNA, long non-coding	Approved	6p21.31	06p21.31	FLJ43752		"C6orf227|NCRNA00336"	"chromosome 6 open reading frame 227|non-protein coding RNA 336"			2009-04-02	2011-08-10	2011-08-10	2019-08-08	401253	ENSG00000197251	OTTHUMG00000159733	uc003oew.2	AK125740	NR_027908		Q6ZUF6	30787392																							LINC00336	
HGNC:28620	LINC00337	long intergenic non-protein coding RNA 337	non-coding RNA	RNA, long non-coding	Approved	1p36.31	01p36.31	MGC40168		"C1orf211|NCRNA00337"	"chromosome 1 open reading frame 211|non-protein coding RNA 337"			2006-04-03	2011-08-10	2011-08-10	2019-07-12	148645	ENSG00000225077	OTTHUMG00000001255	uc031tnm.2	BC030279	NR_103534		Q8N6G1	31217892																							LINC00337	
HGNC:25011	LINC00339	long intergenic non-protein coding RNA 339	non-coding RNA	RNA, long non-coding	Approved	1p36.12	01p36.12	HSPC157		NCRNA00339	non-protein coding RNA 339			2011-06-10	2011-08-10	2011-08-10	2018-06-15	29092	ENSG00000218510	OTTHUMG00000002757	uc284mnl.1		NR_109762			"11042152|29706346"																							LINC00339	
HGNC:42470	LINC00342	long intergenic non-protein coding RNA 342	non-coding RNA	RNA, long non-coding	Approved	2q11.1	02q11.1			NCRNA00342	non-protein coding RNA 342			2011-07-29	2011-08-10	2011-08-10	2019-07-24	150759	ENSG00000232931	OTTHUMG00000155186	uc002sux.3		NR_103734																										LINC00342	
HGNC:42500	LINC00343	long intergenic non-protein coding RNA 343	non-coding RNA	RNA, long non-coding	Approved	13q33.2	13q33.2			"NCRNA00343|LINC00344|NCRNA00344"	"non-protein coding RNA 343|long intergenic non-protein coding RNA 344|non-protein coding RNA 344"			2011-08-02	2011-08-10	2011-08-10	2014-11-19	144920	ENSG00000226620	OTTHUMG00000017317	uc058ydt.1		NR_046391																										LINC00343	
HGNC:42503	LINC00345	long intergenic non-protein coding RNA 345	non-coding RNA	RNA, long non-coding	Approved	13q14.3	13q14.3							2011-08-10			2014-11-18	105370208	ENSG00000235660	OTTHUMG00000016974	uc058xgz.1		XR_001749880																										LINC00345	
HGNC:27492	LINC00346	long intergenic non-protein coding RNA 346	non-coding RNA	RNA, long non-coding	Approved	13q34	13q34			"C13orf29|NCRNA00346"	"chromosome 13 open reading frame 29|non-protein coding RNA 346"			2006-08-04	2011-08-10	2011-08-10	2019-01-30	283487	ENSG00000255874	OTTHUMG00000187398	uc001vrk.3		NR_027701		Q8IVM7	29228425				LINC00346																			LINC00346	
HGNC:27890	LINC00347	long intergenic non-protein coding RNA 347	non-coding RNA	RNA, long non-coding	Approved	13q22.1	13q22.1							2011-08-11		2011-08-11	2014-11-18	338864	ENSG00000236678	OTTHUMG00000017082	uc058xlx.1		NR_034024			12477932																								
HGNC:42658	LINC00348	long intergenic non-protein coding RNA 348	non-coding RNA	RNA, long non-coding	Approved	13q21.33	13q21.33							2011-08-11		2011-08-11	2014-11-19	100885781	ENSG00000226846	OTTHUMG00000017059	uc031qmd.1		NR_047699																										LINC00348	
HGNC:42667	LINC00349	long intergenic non-protein coding RNA 349	non-coding RNA	RNA, long non-coding	Approved	13q11	13q11							2011-08-15			2014-11-18	100874135	ENSG00000231238	OTTHUMG00000016451	uc058vrz.1																												LINC00349	
HGNC:42668	LINC00350	long intergenic non-protein coding RNA 350	non-coding RNA	RNA, long non-coding	Approved	13q12.11	13q12.11							2011-08-15			2014-11-18	100874136	ENSG00000225316	OTTHUMG00000016497	uc058vst.1		NR_046988																										LINC00350	
HGNC:42669	LINC00351	long intergenic non-protein coding RNA 351	non-coding RNA	RNA, long non-coding	Approved	13q31.1	13q31.1							2011-08-15			2014-11-18	100874137	ENSG00000226317	OTTHUMG00000017156	uc031qmo.2		NR_046989																										LINC00351	
HGNC:42670	LINC00352	long intergenic non-protein coding RNA 352	non-coding RNA	RNA, long non-coding	Approved	13q12.12	13q12.12							2011-08-15			2014-11-18	100874138	ENSG00000227893	OTTHUMG00000016567	uc058vxa.1																												LINC00352	
HGNC:42671	LINC00353	long intergenic non-protein coding RNA 353	non-coding RNA	RNA, long non-coding	Approved	13q31.3	13q31.3							2011-08-15			2014-11-18	100874139	ENSG00000236176	OTTHUMG00000017179	uc058xsl.1		NR_046991																										LINC00353	
HGNC:42672	LINC00354	long intergenic non-protein coding RNA 354	non-coding RNA	RNA, long non-coding	Approved	13q34	13q34							2011-08-15			2014-11-19	101928616	ENSG00000226903	OTTHUMG00000017361	uc058yis.1		NR_046992																										LINC00354	
HGNC:27061	LINC00355	long intergenic non-protein coding RNA 355	non-coding RNA	RNA, long non-coding	Approved	13q21.31	13q21.31							2011-08-15			2014-11-18	144766	ENSG00000227674	OTTHUMG00000017028	uc001vii.1		NR_145420																										LINC00355	
HGNC:42678	LINC00358	long intergenic non-protein coding RNA 358	non-coding RNA	RNA, long non-coding	Approved	13q21.31	13q21.31							2011-08-15			2014-11-19	100874143	ENSG00000229578	OTTHUMG00000017014	uc032ahy.1		NR_046995																										LINC00358	
HGNC:42679	LINC00359	long intergenic non-protein coding RNA 359	non-coding RNA	RNA, long non-coding	Approved	13q32.1	13q32.1							2011-08-15			2014-11-19	100887754	ENSG00000243300	OTTHUMG00000185759	uc031qmy.2		NR_051966																										LINC00359	
HGNC:42682	LINC00362	long intergenic non-protein coding RNA 362	non-coding RNA	RNA, long non-coding	Approved	13q12.12	13q12.12							2011-08-15			2014-11-19	100874144	ENSG00000229483	OTTHUMG00000016559	uc058vws.1																												LINC00362	
HGNC:42684	LINC00363	long intergenic non-protein coding RNA 363	non-coding RNA	RNA, long non-coding	Approved	13q31.3	13q31.3	TCONS_00021586						2013-08-08			2014-11-18	104326053	ENSG00000232849	OTTHUMG00000017201		AA885151	NR_126360																										LINC00363	
HGNC:42686	LINC00364	long intergenic non-protein coding RNA 364	non-coding RNA	RNA, long non-coding	Approved	13q21.32	13q21.32	LncRNA00364						2011-08-16			2017-12-20	100874145	ENSG00000230040	OTTHUMG00000017041	uc058xjx.1		NR_130792			29254221																							LINC00364	
HGNC:42687	LINC00365	long intergenic non-protein coding RNA 365	non-coding RNA	RNA, long non-coding	Approved	13q12.3	13q12.3							2011-08-16			2017-01-05	100874146	ENSG00000224511	OTTHUMG00000016663	uc058wdd.1		NR_046998			28028307																							LINC00365	
HGNC:42688	LINC00366	long intergenic non-protein coding RNA 366	non-coding RNA	RNA, long non-coding	Approved	13q13.3	13q13.3							2011-08-16			2014-11-18	100874147	ENSG00000229437	OTTHUMG00000016758	uc058wnj.1		NR_046999																										LINC00366	
HGNC:42689	LINC00367	long intergenic non-protein coding RNA 367	non-coding RNA	RNA, long non-coding	Approved	13q12.11	13q12.11	TCONS_l2_00007488						2013-08-08			2016-11-11	101930748				BG723634	NR_104058																											
HGNC:42690	LINC00368	long intergenic non-protein coding RNA 368	non-coding RNA	RNA, long non-coding	Approved	13q34	13q34							2013-08-19			2014-11-18	101927802	ENSG00000225870	OTTHUMG00000017352		BG720241	NR_120415																										LINC00368	
HGNC:42692	LINC00370	long intergenic non-protein coding RNA 370	non-coding RNA	RNA, long non-coding	Approved	13q33.3	13q33.3							2013-09-16			2014-11-19	105370357	ENSG00000223617	OTTHUMG00000017334		BF695150																											LINC00370	
HGNC:42695	LINC00373	long intergenic non-protein coding RNA 373	non-coding RNA	RNA, long non-coding	Approved	13q31.2	13q31.2							2018-11-28			2018-11-28	105370306	ENSG00000231019	OTTHUMG00000155300			NR_131919																											
HGNC:42698	LINC00374	long intergenic non-protein coding RNA 374	non-coding RNA	RNA, long non-coding	Approved	13q21.1	13q21.1							2013-08-08			2014-11-19	106144531	ENSG00000232954	OTTHUMG00000016997		BG190276	NR_132367																										LINC00374	
HGNC:42699	LINC00375	long intergenic non-protein coding RNA 375	non-coding RNA	RNA, long non-coding	Approved	13q31.1	13q31.1							2013-08-08			2014-11-18	104355140	ENSG00000226370	OTTHUMG00000017155		AW510855	NR_126383																										LINC00375	
HGNC:42701	LINC00376	long intergenic non-protein coding RNA 376	non-coding RNA	RNA, long non-coding	Approved	13q21.31	13q21.31	RP11-527N12.1						2013-09-16			2017-09-28	104355293	ENSG00000227564	OTTHUMG00000017020		AA759092	NR_126409																										LINC00376	
HGNC:42703	LINC00377	long intergenic non-protein coding RNA 377	non-coding RNA	RNA, long non-coding	Approved	13q31.1	13q31.1	TCONS_00021861						2014-01-13			2014-11-19	103724386	ENSG00000229246	OTTHUMG00000017144		BG185523	NR_125770																										LINC00377	
HGNC:42704	LINC00378	long intergenic non-protein coding RNA 378	non-coding RNA	RNA, long non-coding	Approved	13q21.2	13q21.2							2011-08-16			2014-11-18	101926930	ENSG00000225249	OTTHUMG00000017008	uc058xiv.1		NR_047003																										LINC00378	
HGNC:42705	LINC00379	long intergenic non-protein coding RNA 379	non-coding RNA	RNA, long non-coding	Approved	13q31.3	13q31.3							2011-08-16			2014-11-18	100874150	ENSG00000229557	OTTHUMG00000017188	uc058xsr.1		NR_047004																										LINC00379	
HGNC:42706	LINC00380	long intergenic non-protein coding RNA 380	non-coding RNA	RNA, long non-coding	Approved	13q31.3	13q31.3	TCONS_00021685						2013-08-08			2014-11-18	101930747	ENSG00000234625	OTTHUMG00000017187		AA609658	NR_104057																										LINC00380	
HGNC:42708	LINC00381	long intergenic non-protein coding RNA 381	non-coding RNA	RNA, long non-coding	Approved	13q22.1	13q22.1							2011-08-16			2017-03-22	100874151	ENSG00000226240	OTTHUMG00000017081	uc031qmf.1		NR_047005																											
HGNC:42709	LINC00382	long intergenic non-protein coding RNA 382	non-coding RNA	RNA, long non-coding	Approved	13q31.1	13q31.1	TCONS_00021500						2013-08-08			2014-11-19	101927195	ENSG00000229175	OTTHUMG00000017139		BG717866	NR_120413																											
HGNC:42710	LINC00383	long intergenic non-protein coding RNA 383	non-coding RNA	RNA, long non-coding	Approved	13q21.33	13q21.33			LINC00401	long intergenic non-protein coding RNA 401			2013-08-08			2019-04-25	103689913	ENSG00000235221	OTTHUMG00000017052		"BG527271|BM557184"	NR_125752																										LINC00383	
HGNC:42711	LINC00384	long intergenic non-protein coding RNA 384	non-coding RNA	RNA, long non-coding	Approved	13q12.3	13q12.3							2013-09-16			2014-11-19	102157400	ENSG00000232117	OTTHUMG00000055982		BX648491	NR_138041																										LINC00384	
HGNC:42713	LINC00385	long intergenic non-protein coding RNA 385	non-coding RNA	RNA, long non-coding	Approved	13q12.3	13q12.3							2013-09-16			2014-11-19	105370141	ENSG00000232643	OTTHUMG00000016664		AI203837	XR_002957502																										LINC00385	
HGNC:42715	LINC00387	long intergenic non-protein coding RNA 387	non-coding RNA	RNA, long non-coding	Approved	13q11	13q11							2011-08-16			2014-11-18	100874152	ENSG00000231914	OTTHUMG00000016454	uc058vsc.1																												LINC00387	
HGNC:42716	LINC00388	long intergenic non-protein coding RNA 388	non-coding RNA	RNA, long non-coding	Approved	13q11	13q11							2011-08-16			2014-11-19	100874153	ENSG00000229788	OTTHUMG00000016452	uc058vsa.1																												LINC00388	
HGNC:42718	LINC00390	long intergenic non-protein coding RNA 390	non-coding RNA	RNA, long non-coding	Approved	13q14.11	13q14.11	TCONS_00021641						2013-08-08			2014-11-18	105370183	ENSG00000226519	OTTHUMG00000016828		AW779259	NR_132368																										LINC00390	
HGNC:42719	LINC00391	long intergenic non-protein coding RNA 391	non-coding RNA	RNA, long non-coding	Approved	13q32.1	13q32.1							2011-08-16			2014-11-18	100874154	ENSG00000238230	OTTHUMG00000017212	uc058xts.1																												LINC00391	
HGNC:42720	LINC00392	long intergenic non-protein coding RNA 392	non-coding RNA	RNA, long non-coding	Approved	13q22.1	13q22.1							2011-08-16			2014-11-19	100874155	ENSG00000228295	OTTHUMG00000017076	uc058xll.1		NR_047009																										LINC00392	
HGNC:42721	LINC00393	long intergenic non-protein coding RNA 393	non-coding RNA	RNA, long non-coding	Approved	13q22.1	13q22.1							2011-08-16			2014-11-18	100874156	ENSG00000224853	OTTHUMG00000017077	uc058xlj.1		XR_001749747																										LINC00393	
HGNC:42723	LINC00395	long intergenic non-protein coding RNA 395	non-coding RNA	RNA, long non-coding	Approved	13q21.31	13q21.31							2011-08-16			2014-11-19	100874157	ENSG00000231061	OTTHUMG00000017022	uc032aid.1		NR_047011																										LINC00395	
HGNC:42724	LINC00396	long intergenic non-protein coding RNA 396	non-coding RNA	RNA, long non-coding	Approved	13q34	13q34							2013-08-21			2017-03-22	104355146	ENSG00000231428	OTTHUMG00000017341		AA927226	NR_126387																										LINC00396	
HGNC:42725	LINC00397	long intergenic non-protein coding RNA 397	non-coding RNA	RNA, long non-coding	Approved	13q31.2	13q31.2	TCONS_00021582						2013-08-08			2014-11-18	101930749	ENSG00000223404	OTTHUMG00000017169		AI286230	NR_104059																										LINC00397	
HGNC:42727	LINC00398	long intergenic non-protein coding RNA 398	non-coding RNA	RNA, long non-coding	Approved	13q12.3	13q12.3							2011-08-16			2014-11-19	100874158	ENSG00000237879	OTTHUMG00000016676	uc031qkx.1		NR_047012																										LINC00398	
HGNC:42728	LINC00399	long intergenic non-protein coding RNA 399	non-coding RNA	RNA, long non-coding	Approved	13q33.3	13q33.3	TCONS_00021596						2013-08-08			2014-11-19	104326054	ENSG00000229792	OTTHUMG00000017337		"BX111569|AI023810"	NR_126361																										LINC00399	
HGNC:42729	LINC00400	long intergenic non-protein coding RNA 400	non-coding RNA	RNA, long non-coding	Approved	13q14.11	13q14.11							2011-08-16			2014-11-18	100874159	ENSG00000229928	OTTHUMG00000016815	uc058wrk.1		NR_047013																										LINC00400	
HGNC:42732	LINC00402	long intergenic non-protein coding RNA 402	non-coding RNA	RNA, long non-coding	Approved	13q22.1	13q22.1							2011-08-16			2014-11-18	100507612	ENSG00000235532	OTTHUMG00000017079	uc001vji.2		NR_144451																										LINC00402	
HGNC:42734	LINC00404	long intergenic non-protein coding RNA 404	non-coding RNA	RNA, long non-coding	Approved	13q34	13q34							2011-08-16			2014-11-18	100874160	ENSG00000229520	OTTHUMG00000017364	uc058yiw.1																												LINC00404	
HGNC:42739	LINC00407	long intergenic non-protein coding RNA 407	non-coding RNA	RNA, long non-coding	Approved	13q14.12	13q14.12							2013-08-08			2014-11-18	106144541	ENSG00000237585	OTTHUMG00000016839		BG959100	NR_149082																										LINC00407	
HGNC:42740	LINC00408	long intergenic non-protein coding RNA 408	non-coding RNA	RNA, long non-coding	Approved	13q12.11	13q12.11							2013-08-08			2016-10-05	100652856	ENSG00000226250	OTTHUMG00000016469		BG722014	NR_104118																										LINC00408	
HGNC:42742	LINC00410	long intergenic non-protein coding RNA 410	non-coding RNA	RNA, long non-coding	Approved	13q31.3	13q31.3							2011-08-18			2014-11-18	144776	ENSG00000231674	OTTHUMG00000017185	uc010tid.1		NR_027039																										LINC00410	
HGNC:42744	LINC00411	long intergenic non-protein coding RNA 411	non-coding RNA	RNA, long non-coding	Approved	13q32.3	13q32.3							2011-08-18			2014-11-19	100874161	ENSG00000229599	OTTHUMG00000017293	uc058ybi.1		NR_047015																										LINC00411	
HGNC:42745	LINC00412	long intergenic non-protein coding RNA 412	non-coding RNA	RNA, long non-coding	Approved	13q12.2	13q12.2							2013-08-08			2017-03-22	102723332	ENSG00000234772	OTTHUMG00000016629		AI051530	NR_120429																										LINC00412	
HGNC:42748	LINC00415	long intergenic non-protein coding RNA 415	non-coding RNA	RNA, long non-coding	Approved	13q12.13	13q12.13							2011-08-18			2014-11-18	107984009	ENSG00000231983	OTTHUMG00000016610	uc058vzg.1		NR_146971																										LINC00415	
HGNC:42755	LINC00421	long intergenic non-protein coding RNA 421	non-coding RNA	RNA, long non-coding	Approved	13q12.11	13q12.11							2011-08-18			2014-11-18	100287114	ENSG00000236834	OTTHUMG00000016488	uc021rgw.1		NR_034026																										LINC00421	
HGNC:42758	LINC00423	long intergenic non-protein coding RNA 423	non-coding RNA	RNA, long non-coding	Approved	13q13.1	13q13.1							2011-08-18			2019-07-12	100874167	ENSG00000226968	OTTHUMG00000016703	uc058wha.1		NR_047020			31160581																							LINC00423	
HGNC:42815	LINC00424	long intergenic non-protein coding RNA 424	non-coding RNA	RNA, long non-coding	Approved	13q12.11	13q12.11							2011-08-23			2014-11-18	100874182	ENSG00000226722	OTTHUMG00000016547	uc058vwh.1		NR_047040																										LINC00424	
HGNC:42761	LINC00426	long intergenic non-protein coding RNA 426	non-coding RNA	RNA, long non-coding	Approved	13q12.3	13q12.3							2011-08-18			2014-11-19	100188949	ENSG00000238121	OTTHUMG00000016668	uc001usu.3		NR_024464																										LINC00426	
HGNC:42762	LINC00427	long intergenic non-protein coding RNA 427	non-coding RNA	RNA, long non-coding	Approved	13q12.3	13q12.3							2011-08-18			2014-11-19	100507040	ENSG00000236463	OTTHUMG00000016667	uc058wdm.1																												LINC00427	
HGNC:42763	LINC00428	long intergenic non-protein coding RNA 428	non-coding RNA	RNA, long non-coding	Approved	13q14.11	13q14.11							2013-08-19			2018-05-02	104355147	ENSG00000229546	OTTHUMG00000016811		AA206719	NR_126389																										LINC00428	
HGNC:42765	LINC00430	long intergenic non-protein coding RNA 430	non-coding RNA	RNA, long non-coding	Approved	13q31.1	13q31.1	TCONS_00021581						2013-08-08			2014-11-18	106144533	ENSG00000233528	OTTHUMG00000017162		AW661815	NR_132371																										LINC00430	
HGNC:42766	LINC00431	long intergenic non-protein coding RNA 431	non-coding RNA	RNA, long non-coding	Approved	13q34	13q34							2013-08-08			2014-11-19	104355135	ENSG00000225760	OTTHUMG00000017351		BG181389	NR_126378																										LINC00431	
HGNC:42768	LINC00433	long intergenic non-protein coding RNA 433	non-coding RNA	RNA, long non-coding	Approved	13q31.2	13q31.2							2011-08-18			2014-11-19	100874168	ENSG00000229443	OTTHUMG00000017171	uc058xse.1		NR_047021																										LINC00433	
HGNC:42769	LINC00434	long intergenic non-protein coding RNA 434	non-coding RNA	RNA, long non-coding	Approved	13q21.2	13q21.2							2011-08-18			2014-11-19	100874169	ENSG00000227336	OTTHUMG00000017005	uc058xin.1		NR_047022																										LINC00434	
HGNC:42772	LINC00437	long intergenic non-protein coding RNA 437	non-coding RNA	RNA, long non-coding	Approved	13q13.3	13q13.3	TCONS_00021639						2013-08-08			2014-11-18	101929121	ENSG00000236354	OTTHUMG00000016756		BM927018	NR_126377																										LINC00437	
HGNC:42777	LINC00440	long intergenic non-protein coding RNA 440	non-coding RNA	RNA, long non-coding	Approved	13q31.2	13q31.2							2011-08-18			2014-11-18	100874172	ENSG00000234660	OTTHUMG00000017175	uc058xsj.1		NR_047025																										LINC00440	
HGNC:42779	LINC00442	long intergenic non-protein coding RNA 442	non-coding RNA	RNA, long non-coding	Approved	13q12.11	13q12.11							2011-08-18			2014-11-18	348021	ENSG00000232685	OTTHUMG00000016475	uc001uma.2		NR_026852																										LINC00442	
HGNC:42780	LINC00443	long intergenic non-protein coding RNA 443	non-coding RNA	RNA, long non-coding	Approved	13q33.3	13q33.3							2011-08-18			2014-11-18	100874173	ENSG00000230156	OTTHUMG00000017323	uc031qnf.2		NR_047026																										LINC00443	
HGNC:42781	LINC00444	long intergenic non-protein coding RNA 444	non-coding RNA	RNA, long non-coding	Approved	13q14.2	13q14.2							2011-08-18			2014-11-19	107984570	ENSG00000234689	OTTHUMG00000016886	uc058wxn.1		XR_001749867																										LINC00444	
HGNC:42782	LINC00445	long intergenic non-protein coding RNA 445	non-coding RNA	RNA, long non-coding	Approved	13q13.3	13q13.3							2011-08-18			2014-11-19	100507114	ENSG00000236036	OTTHUMG00000016726	uc058wkh.1		NR_132115																										LINC00445	
HGNC:42783	LINC00446	long intergenic non-protein coding RNA 446	non-coding RNA	RNA, long non-coding	Approved	13q22.3	13q22.3							2011-08-18			2014-11-18	100874175	ENSG00000229249	OTTHUMG00000017115	uc058xqb.1		NR_047028																										LINC00446	
HGNC:42785	LINC00448	long intergenic non-protein coding RNA 448	non-coding RNA	RNA, long non-coding	Approved	13q21.31	13q21.31							2011-08-18			2014-11-18	100874176	ENSG00000228669	OTTHUMG00000017019	uc058xjh.1		NR_047029																										LINC00448	
HGNC:42786	LINC00449	long intergenic non-protein coding RNA 449	non-coding RNA	RNA, long non-coding	Approved	13q32.3	13q32.3							2011-08-18			2017-03-22	106478991	ENSG00000203441	OTTHUMG00000017270	uc058xzp.1		NR_133664																										LINC00449	
