lncrna	Interacting partner	Interaction Class	Interaction Mode	Organism	Description	Tissue	Phenotype	Method	Pubmed id	
Hm629797	Hnrnpab	RNA-Protein	Binding	Mus musculus	We also identified interacting proteins of mrhl RNA associated chromatin fraction	testicular	nan	in vitro and in vivo	25584904	
Hm629797	Rbm3	RNA-Protein	Binding	Mus musculus	We also identified interacting proteins of mrhl RNA associated chromatin fraction	testicular	nan	in vitro and in vivo	25584904	
Hm629797	Hnrnpa2b1	RNA-Protein	Binding	Mus musculus	We also identified interacting proteins of mrhl RNA associated chromatin fraction	testicular	nan	in vitro and in vivo	25584904	
Hm629797	Ddx5	RNA-Protein	Binding	Mus musculus	Ddx5/p68 is one of the interacting proteins of mrhl RNA	nan	nan	in vitroandin vivo	22665494	
HNF1A-AS1	DNMT1	RNA-Protein	Binding	Homo sapiens	the binding of HNF1A-AS1 to DNMT1 may explain its regulation of E-cadherin	lung	regulate cell proliferation and metastasis 	RIP	25863539	
Hotair	Ezh2	RNA-Protein	Binding	Mus musculus	phospho-mimic T345D enhances Ezh2 affinity for HOTAIR ncRNA binding	nan	X chromosome inactivation	in vitro binding assays	21123648	
HOTAIR	VIM	RNA-Protein	Regulation	Homo sapiens	HOTAIR exerts its effects on migration and invasion of HeLa cells, at least in part, through the regulation of VIM expression.	nan	nan	RNA interference	25762744	
HOTAIR	PCBP1	RNA-Protein	Regulation	Homo sapiens	this still proves direct interaction between HOTAIR lncRNA and PCBP1.  	nan	HOTAIR promotes gastric cancer metastasis	RIP assay	25612617	
HOTAIR	EZH2	RNA-Protein	Binding	Homo sapiens	knockdown of lncRNA HOTAIR led to the weakening of the recruitment and binding abilities of EZH2 and H3K27me3 locus with lncRNA HOTAIR.	kidney	nan	RNA-binding protein immunoprecipitation (RIP)-qRT-PCR	25149152	
HOTAIR	H3F3A	RNA-Protein	Binding	Homo sapiens	knockdown of lncRNA HOTAIR led to the weakening of the recruitment and binding abilities of EZH2 and H3K27me3 locus with lncRNA HOTAIR.	kidney	nan	RNA-binding protein immunoprecipitation (RIP)-qRT-PCR	25149152	
HOTAIR	RBM38	RNA-Protein	Regulation	Homo sapiens	HOTAIR was shown to negatively regulate RBM38. HOTAIR suppression increased the mRNA and protein expression levels of RNA binding motif protein 38 (RBM38)	nan	promotes cell migration and invasion	in vitro	24663081	
HOTAIR	EZH2	RNA-Protein	Binding	Homo sapiens	EZH2-EED heterodimer represents the minimal component of PRC2 necessary for HOTAIR binding	nan	nan	EMSA	24320048	
HOTAIR	EED	RNA-Protein	Binding	Homo sapiens	EZH2-EED heterodimer represents the minimal component of PRC2 necessary for HOTAIR binding	nan	nan	EMSA	24320048	
HOTAIR	SUZ12	RNA-Protein	Binding	Homo sapiens	cDNA array data revealed a close correlation between expression of HOTAIR and members of the PRC2 complex (SUZ12, EZH2, and H3K27me3).	nan	HOTAIR overexpression enhanced EZH2 occupancy, and H3K27me3 and epigenetically regulated several target genes involved in breast cancer progression inhibition especially in aggressive breast tumors.	in vitro	21862635	
HOTAIR	H3F3A	RNA-Protein	Binding	Homo sapiens	cDNA array data revealed a close correlation between expression of HOTAIR and members of the PRC2 complex (SUZ12, EZH2, and H3K27me3).	nan	HOTAIR overexpression enhanced EZH2 occupancy, and H3K27me3 and epigenetically regulated several target genes involved in breast cancer progression inhibition especially in aggressive breast tumors.	in vitro	21862635	
HOTAIR	EZH2	RNA-Protein	Binding	Homo sapiens	human HOTAIR contains several binding sites for the SET domain containing PRC2 component EZH2	nan	nan	in situ hybridization	21637793	
HOTAIR	EZH2	RNA-Protein	Binding	Homo sapiens	Ezh2 interacts with HOTAIR and Xist.	nan	nan	in vitro binding assays	21123648	
HOTAIR	EZH2	RNA-Protein	Binding	Homo sapiens	A 5' domain of HOTAIR binds polycomb repressive complex 2 (PRC2), whereas a 3' domain of HOTAIR binds the LSD1/CoREST/REST complex.	Foreskin fibroblasts (CRL-2091), lung fibroblasts (FL2), and HeLa (CCL-3) cell lines	nan	RNA immunoprecipitation	20616235	
HOTAIR	KDM1A	RNA-Protein	Binding	Homo sapiens	A 5' domain of HOTAIR binds polycomb repressive complex 2 (PRC2), whereas a 3' domain of HOTAIR binds the LSD1/CoREST/REST complex.	Foreskin fibroblasts (CRL-2091), lung fibroblasts (FL2), and HeLa (CCL-1) cell lines	nan	RNA immunoprecipitation	20616235	
HOTAIR	SUZ12	RNA-Protein	Binding	Homo sapiens	A 5' domain of HOTAIR binds polycomb repressive complex 2 (PRC2), whereas a 3' domain of HOTAIR binds the LSD1/CoREST/REST complex.	Foreskin fibroblasts (CRL-2091), lung fibroblasts (FL2), and HeLa (CCL-2) cell lines	nan	RNA immunoprecipitation	20616235	
HOTAIR	EZH2	RNA-Protein	Binding	Homo sapiens	lincRNA HOTAIR binds the polycomb repressive complex (PRC)2	HeLa and hFFs	counterbalance mutHTT cytotoxicity	RIP	19571010	
HOTAIR	SUZ12	RNA-Protein	Binding	Homo sapiens	lincRNA HOTAIR binds the polycomb repressive complex (PRC)2	HeLa and hFFs	counterbalance mutHTT cytotoxicity	RIP	19571010	
HOTAIR	SUZ12	RNA-Protein	Binding	Homo sapiens	Pulldown assays show a specific interaction between HOTAIR and PRC2 key components, Suz12 and Ezh2.	fibroblasts	knockdown of HOTAIR does not lead to any changes in the HOXC locus, but instead represses transcription across 40 kb of the HOXD locus, as shown by the loss of the PRC2 occupancy and H3K27 trimethylation, in the HOXD cluster which is located on a different chromosome from HOXC.	in vitro	17604720	
HOTAIR	EZH2	RNA-Protein	Binding	Homo sapiens	Hotair associates with EZH2	hepatocellular carcinoma?	?inhibited cell viability and induced G1-phase arrest?in vitro?and suppressed tumorigenicity?in vivo?	RIP	26024833	
Hotair	Ezh2	RNA-Protein	Binding	Mus musculus	Immunoprecipitation (IP) of PRC2 subunits Ezh2 or Suz12, and separately the histone demethylase LSD1, from posterior E11.5 embryos specifically retrieved Hotair but not Malat1 nor U1 RNA.This result suggests that Hotair binds both H3K27 methylase and H3K4 demethylase complexes.	posterior E11.5 embryos 	nan	RIP, ChIP,qPCR and ChIP-seq 	24075995	
Hotair	Suz12	RNA-Protein	Binding	Mus musculus	Immunoprecipitation (IP) of PRC2 subunits Ezh2 or Suz12, and separately the histone demethylase LSD1, from posterior E11.5 embryos specifically retrieved Hotair but not Malat1 nor U1 RNA.This result suggests that Hotair binds both H3K27 methylase and H3K4 demethylase complexes.	posterior E11.5 embryos 	nan	RIP, ChIP,qPCR and ChIP-seq 	24075995	
Hotair	Kdm1a	RNA-Protein	Binding	Mus musculus	Immunoprecipitation (IP) of PRC2 subunits Ezh2 or Suz12, and separately the histone demethylase LSD1, from posterior E11.5 embryos specifically retrieved Hotair but not Malat1 nor U1 RNA.This result suggests that Hotair binds both H3K27 methylase and H3K4 demethylase complexes.	posterior E11.5 embryos 	nan	RIP, ChIP,qPCR and ChIP-seq 	24075995	
HOTAIR	EZH2	RNA-Protein	Binding	Homo sapiens	In a subset of 32 CRC specimens, gene set enrichment analysis using cDNA array data revealed a close correlation between expression of HOTAIR and members of the PRC2 complex (SUZ12, EZH2, and H3K27me3).	CRC tissue, cell lines(HEK293T, HCT116, SW480)	HOTAIR promotes invasion of CRC cells	qPCR, RNAi	21862635	
HOTAIR	EZH2	RNA-Protein	Binding	Homo sapiens	Our optimized assay has the potential to be used as a high-throughput screening (HTS) platform to find modulators of HOTAIR-EZH2 binding as well as to study the dynamics of the interaction between this important lncRNA and its protein partner.	-	-	AlphaScreen Assay	26173710	
HOTAIR	EZH2	RNA-Protein	Binding	Homo sapiens	Furthermore, we verified that HOTAIR was located both in the nucleus and cytoplasm of gastric cancer cells, and RNA immunoprecipitation (RIP) assays showed that HOTAIR could bind to PRC2	gastric	human gastric cancer	RNA immunoprecipitation?	26136075	
HOTAIR	SUZ12	RNA-Protein	Binding	Homo sapiens	Furthermore, we verified that HOTAIR was located both in the nucleus and cytoplasm of gastric cancer cells, and RNA immunoprecipitation (RIP) assays showed that HOTAIR could bind to PRC3	gastric	human gastric cancer	RNA immunoprecipitation?	26136075	
HOTAIR	E7	RNA-Protein	Binding	Homo sapiens	Functional inactivation of HOTAIR by direct interaction with E7 could also be predicted by in silico analysis and confirmed by RNA-Immunoprecipitation	Cervical 	Cervical Cancer 	RNA-Immunoprecipitation	26152361	
HOTTIP	WDR5	RNA-Protein	Binding	Homo sapiens	WDR5 binding to HOTTIP	nan	nan	RIP	24521543	
HOTTIP	KMT2A	RNA-Protein	Binding	Homo sapiens	HOTTIP directly binds the adaptor protein WDR5 and targets WDR5/MLL complexes across HOXA	fibroblasts	nan	RIP	21423168	
HOTTIP	WDR5	RNA-Protein	Binding	Homo sapiens	HOTTIP directly binds the adaptor protein WDR5 and targets WDR5/MLL complexes across HOXA	fibroblasts	nan	RIP	21423168	
Hottip	Wdr5	RNA-Protein	Binding	Mus musculus	WDR5 binding to HOTTIP	nan	nan	RIP	24521543	
Hottip	Wdr5	RNA-Protein	Binding	Mus musculus	HOTTIP directly binds the adaptor protein WDR5 and targets WDR5/MLL complexes across HOXA	fibroblasts	nan	RIP	21423168	
Hottip	Kmt2a	RNA-Protein	Binding	Mus musculus	HOTTIP directly binds the adaptor protein WDR5 and targets WDR5/MLL complexes across HOXA	fibroblasts	nan	RIP	21423168	
Hoxb5os	H3f3a	RNA-Protein	Binding	Mus musculus	Hoxb5/6as associates with trimethylated H3K4 histones and MLL1, suggesting a role in epigenetic regulation of homeotic loci during ES cell differentiation	embryonic stem cell	ES cell differentiation	RNA-ChIP	18562676	
Hoxb5os	Kmt2a	RNA-Protein	Binding	Mus musculus	Hoxb5/6as associates with trimethylated H3K4 histones and MLL1, suggesting a role in epigenetic regulation of homeotic loci during ES cell differentiation	embryonic stem cell	ES cell differentiation	RNA-ChIP	18562676	
Hsr1	Eef1a2	RNA-Protein	Binding	Mus musculus	the amount of HSR1-eEF1A complexesin vivoincreased upon heat shock	nan	nan	RIP	16554823	
HSR1	HSF1	RNA-Protein	Binding	Candida albicans SC5314	Heat-shock RNA 1 (HSR1) binds heat-shock transcription factor 1 (HSF1), facilitating its ability to activate genes encoding heat-shock proteins.	nan	nan	EMSA	16554823	
Hsromega	Hrb87F	RNA-Protein	Binding	Drosophila melanogaster	The RNA binding domain II (RBD-II) of HRB87F is essential for its tight binding to the 93D or hsr-w locus.	nan	nan	Immunoprecipitation	10984439	
HULC	IGFBP1	RNA-Protein	Binding	Homo sapiens	IGF2BP1 binds HULC and recruits it to the CCR4-NOT1 complex	nan	strong up-regulation of HULC in human hepatocellular carcinoma.	RNA immunoprecipitation	23728852	
HULC	TPPP2	RNA-Protein	Regulation	Homo sapiens	RIP assay showed that HULC down-regulated the level of p18 directly.	liver	nan	RIP assay	25952928	
ICR1	FLO8	RNA-Protein	Binding	Saccharomyces cerevisiae	the ncRNA ICR1 modulates alternative FLO11 expression states by controlling Flo8 recruitment to the FLO11 promoter 	Yeast strains	nan	FISH, ChIP, RT-qPCR 	22264825	
IFNG-AS1	WDR5	RNA-Protein	Binding	Homo sapiens	NeST RNA was found to bind WDR5, a component of the histone H3 lysine 4 methyltransferase complex, and to alter histone 3 methylation at the IFN-	Macrophage, T cells	NeST Increases Chromatin modification at the Ifng Locus	qRT-PCR, RNAi and ChIP-seq 	23498947	
IPW	EHMT2	RNA-Protein	Binding	Homo sapiens	Our results indicate that IPW interacts with G9A, thus providing strong mechanistic evidence for the function of IPW in establishing the H3K9me3 modification at the IG-DMR of the DLK1-DIO3 locus.	PWS primary fibroblast cell lines,  293T cells 	nan	ChIP and RIP	24816254	
IRT1	SET2	RNA-Protein	Binding	Saccharomyces cerevisiae	lncRNA IRT1, located in the IME1 promoter. IRT1 transcription recruits the Set2 histone methyltransferase and the Set3 histone deacetylase complex to establish repressive chromatin at the IME1 promoter. IME1 repression by IRT1 transcription requires Set2 and Set3 to establish a repressive chromatin state in the IME1 promoter to prevent transcription factor recruitment.	Yeast strains	transcription of two lncRNAs governs mating type control of gametogenesis in yeast	FISH, ChIP, RT-qPCR 	22959267	
IRT1	SET3	RNA-Protein	Binding	Saccharomyces cerevisiae	lncRNA IRT1, located in the IME1 promoter. IRT1 transcription recruits the Set2 histone methyltransferase and the Set3 histone deacetylase complex to establish repressive chromatin at the IME1 promoter. IME1 repression by IRT1 transcription requires Set2 and Set3 to establish a repressive chromatin state in the IME1 promoter to prevent transcription factor recruitment.	Yeast strains	transcription of two lncRNAs governs mating type control of gametogenesis in yeast	FISH, ChIP, RT-qPCR 	22959267	
JADRR	BRCA1	RNA-Protein	Binding	Homo sapiens	lncRNA-JADE physically interacted with Brca1	nan	tumor suppression	RIP	24097061	
Kcnq1ot1	Dnmt1	RNA-Protein	Binding	Mus musculus	Kcnq1ot1 mediates transcriptional gene silencing by interacting with Dnmt1. Kcnq1ot1 recruits Dnmt1 to somatic DMRs by interacting with Dnmt1.	nan	nan	RIP	20573698	
Kcnq1ot1	Ezh2	RNA-Protein	Binding	Mus musculus	Kcnqlot1 binds both PRC2 and G9a to promote H3K27me3 and H3K9me3, two different silencing histone marks	placenta,liver	kcnq1 imprinting	RIP	18951091	
Kcnq1ot1	Suz12	RNA-Protein	Binding	Mus musculus	Kcnqlot1 binds both PRC2 and G9a to promote H3K27me3 and H3K9me3, two different silencing histone marks	placenta,liver	kcnq1 imprinting	RIP	18951091	
Kcnq1ot1	H3f3a	RNA-Protein	Binding	Mus musculus	kcnq1ot1 interacts with both H3K9 and H3K27 methyltransferases	placenta,liver	nan	RIP	18951091	
Kcnq1ot1	Ehmt2	RNA-Protein	Binding	Mus musculus	Kcnqlot1 binds both PRC2 and G9a to promote H3K27me3 and H3K9me3, two different silencing histone marks	placenta,liver	kcnq1 imprinting	RIP	18951091	
KCNQ1OT1	EZH2	RNA-Protein	Binding	Homo sapiens	Kcnqlot1 binds both PRC2 and G9a to promote H3K27me3 and H3K9me3, two different silencing histone marks	placenta,liver	kcnq1 imprinting	RIP	18951091	
KCNQ1OT1	EHMT2	RNA-Protein	Binding	Homo sapiens	Kcnqlot1 binds both PRC2 and G9a to promote H3K27me3 and H3K9me3, two different silencing histone marks	placenta,liver	kcnq1 imprinting	RIP	18951091	
KCNQ1OT1	SUZ12	RNA-Protein	Binding	Homo sapiens	Kcnqlot1 binds both PRC2 and G9a to promote H3K27me3 and H3K9me3, two different silencing histone marks	placenta,liver	kcnq1 imprinting	RIP	18951091	
KCNQ1OT1	H3F3A	RNA-Protein	Binding	Homo sapiens	kcnq1ot1 interacts with both H3K9 and H3K27 methyltransferases	placenta,liver	nan	RIP	18951091	
KCNQ1OT1	EZH2	RNA-Protein	Binding	Homo sapiens	ChIP-on-chip data profiling of H3K27me3 and EZH2 across the Kcnq1 domain showed that H3K27me3 and EZH2 occupancy remain unchanged over the entire domain upon conditional deletion of Kcnq1ot1 RNA.	mouse embryo	nan	ChOP and ChIP assays	22721776	
LINC00441	CALR	RNA-Protein	Regulation	Homo sapiens	ncRNA-RB1 positively regulates the expression of calreticulin (CALR) that in response to certain therapeutic interventions can translocate from the endoplasmic reticulum to the cell surface, hence activating anticancer immune responses.	nan	activating anticancer immune responses	in vitro and vivo	25579178	
LINC00582	TSNAX-DISC1	RNA-Protein	Regulation	Homo sapiens	lincRNA-NR_034037 regulates TSNAX-DISC1 formation programs that tightly regulate EC development	Endometrial carcinoma	nan	in vitro	25239642	
LINC01108	SUZ12	RNA-Protein	Binding	Homo sapiens	lncRNA_ES1 and lncRNA_ES2 were physically associated with SUZ12 and SOX2, but not OCT4	hEsCs	nan	RIP	22193719	
LINC01158	EZH2	RNA-Protein	Binding	Homo sapiens	Linc-POU3F3 physically associates with EZH2	nan	Overexpression of linc-POU3F3 in cell lines increased their proliferation and ability to form colonies, and reduced expression of POU3F3 mRNA	RNA immunoprecipitation	24631494	
lincRNA-UFC1	CTNNB1	RNA-Protein	Regulation	Homo sapiens	The lincRNA-UFC1 interacted directly with the messenger RNA (mRNA) stabilizing protein HuR (encoded by ELAVL1) to increase levels of beta-catenin mRNA (encoded by CTNNB1) and protein	nan	Tumors grown  were smaller	RNA immunoprecipitation	25449213	
lincRNA-UFC1	ELAVL1	RNA-Protein	Regulation	Homo sapiens	The lincRNA-UFC1 interacted directly with the messenger RNA (mRNA) stabilizing protein HuR (encoded by ELAVL1) to increase levels of beta-catenin mRNA (encoded by CTNNB1) and protein	nan	Tumors grown  were smaller	RNA immunoprecipitation	25449213	
LINC-ROR	SCPEP1	RNA-Protein	Binding	Homo sapiens	linc-RoR is recruited to Ago2-related RNA-induced silencing complexes (RISCs)	ESC	ESC maintenanceand differentiation	RIP	23541921	
LINC-ROR	MS2	RNA-Protein	Binding	Homo sapiens	linc-RoR, OCT4, SOX2, or NANOG full-length transcripts combined with MS2bs elements	ESC	ESC maintenanceand differentiation	RIP	23541921	
LINC-ROR	NANOGP8	RNA-Protein	Regulation	Homo sapiens	linc-RoR forms a feedback loop with core TFs and miRNAs to regulate ESC maintenanceand differentiation	ESC	ESC maintenanceand differentiation	in vitro	23541921	
LINC-ROR	PTBP1	RNA-Protein	Binding	Homo sapiens	RoR directly interacts with hnRNP I	nan	human lincRNA-RoR (RoR) is a strong negative regulator of p53.	RIP	23208419	
Llme23	SFPQ	RNA-Protein	Binding	Homo sapiens	Binding of Llme23 to PSF in vitro and in vivo	nan	a tumor activator in human melanoma	RIP	23618401	
Lnc_bc060912	PARP1	RNA-Protein	Regulation	Homo sapiens	the increased expression of Lnc_bc060912 in tumors is in accordance with the role in preventing cell apoptosis through interactions with PARP1 and NPM1.	lung	Represses Cell Apoptosis	RIP	25848691	
Lnc_bc060912	NPM1	RNA-Protein	Regulation	Homo sapiens	the increased expression of Lnc_bc060912 in tumors is in accordance with the role in preventing cell apoptosis through interactions with PARP1 and NPM1.	lung	Represses Cell Apoptosis	RIP	25848691	
Lncbate1	Hnrnpu	RNA-Protein	Binding	Mus musculus	These findings demonstrate a specific and direct interaction between lnc-BATE1 and hnRNP U, suggesting that they form a functional ribonucleoprotein complex to regulate brown adipogenesis.	Adipose Tissue	inhibition impairs concurrent activation of brown fat and repression of white fat?genes	RIP	25921091	
LncMyoD	Immp2l	RNA-Protein	Binding	Mus musculus	LncMyoD directly binds to IGF2-mRNA-binding protein 2 (IMP2) and negatively regulates IMP2-mediated translation of proliferation genes such as N-Ras andc-Myc.	nan	nan	Immunofluorescence	26143994	
Lncpint	Suz12	RNA-Protein	Binding	Mus musculus	We reasoned that these genes might be co-regulated by PRC2 and Pint. We then determined the association of PRC2 with these genes by Suz12 ChIP-qPCR in p53-restored p53LSL/LSL MEFs, with or without inhibition of Pint. The ChIP results confirmed that Suz12 occupied all the analyzed genes in the control conditions.	Lung tumor-derived cell lin	PINT inhibits tumor cell growth.	RACE, RNAi, CHIP, Luciferase reporter assay	24070194	
lncRNA_ES2	SUZ12	RNA-Protein	Binding	Homo sapiens	lncRNA_ES1 and lncRNA_ES2 were physically associated with SUZ12 and SOX2, but not OCT4	hEsCs	nan	RIP	22193719	
lncRNA-CD244	EZH2	RNA-Protein	Binding	Homo sapiens	lncRNA-CD244 Associates Physically with EZH2 and Mediates Recruitment of EZH2 to ifng and tnfa Loci for Repressive Chromatin States	nan	nan	RNA-FISH	26150504	
lncRNA-Dreh	Vim	RNA-Protein	Binding	Mus musculus	Dreh could combine with the IF protein vimentin, further repress the expression of vimentin, and change the normal cytoskeleton structure	nan	inhibit HCC growth and metastasis	RIP	23239537	
lncRNA-MVIH	PGK1	RNA-Protein	Binding	Homo sapiens	lncRNA MVIH could weaken the function of PGK1 in angiogenesis inhibition by reducing the secretion of PGK1	hepatocellular	nan	RIP	22706893	
LUADT1	SUZ12	RNA-Protein	Binding	Homo sapiens	RNA immunoprecipitation and chromatin immunoprecipitation assays confirmed that LUADT1 binds to SUZ12, a core component of polycomb repressive complex 2, and mediates the trimethylation of H3K27 at the promoter region of p27	lung	LUADT1 promotes lung adenocarcinoma proliferation	RNA immunoprecipitation and chromatin immunoprecipitation	26291312	
MAFTRR	EZH2	RNA-Protein	Binding	Homo sapiens	linc-MAF-4 might act as a scaffold to recruit both EZH2 and LSD1 and modulate the enzymatic activity of EZH2 on the MAF promoter and thus regulate its transcription	nan	Downregulation of linc-MAF-4 skewed T cell differentiation	RIP and ChIP assay 	25621826	
MAFTRR	KDM1A	RNA-Protein	Binding	Homo sapiens	a long-distance interaction between the genomic regions of linc-MAF-4 and MAF, through which linc-MAF-4 might act as a scaffold to recruit both EZH2 and LSD1 and modulate the enzymatic activity of EZH2 on the MAF promoter and thus regulate its transcription	nan	Downregulation of linc-MAF-4 skewed T cell differentiation	RIP and ChIP assay 	25621826	
MALAT1	HNRNPC	RNA-Protein	Binding	Homo sapiens	RNA pull down showing that HNRNPC preferably binds methylated RNA(MALAT1).	nan	Our work indicates widespread m6A-induced mRNA and lncRNA structural remodelling that affects RNA-Protein interactions for biological regulation.	PAR-CLIP and eRIP	25719671	
MALAT1	EZH2	RNA-Protein	Binding	Homo sapiens	Our RIP results also showed that MALAT1 interacts with Ezh2 in renal cancer cell lines	renal	nan	RIP assay 	25600645	
MALAT1	SFPQ	RNA-Protein	Binding	Homo sapiens	with downregulation of MALAT-1 RNA level, the MALAT-1 binding to SFPQ decreased,	nan	nan	IP  assay	25592968	
MALAT1	HNRNPD	RNA-Protein	Binding	Homo sapiens	we confirmed the interaction of AUF1 with NEAT1 and MALAT1 by RIP analysis and by in vitro binding assays	HeLa (human cervical carcinoma) cells	nan	RIP	25366541	
MALAT1	SRSF1	RNA-Protein	Binding	Homo sapiens	SRSF1 inhibits YAP transcriptional activity and prevents YAP recruitment on the Malat1 promoter	nan	Malat1 is suppressed	RNA Immunoprecipitation	24468535	
MALAT1	YAP1	RNA-Protein	Regulation	Homo sapiens	YAP interacts with TCF4/-catenin to regulate Malat1 transcription	nan	Malat1 is overexpressed	RNA Immunoprecipitation	24468535	
MALAT1	HNRNPC	RNA-Protein	Binding	Homo sapiens	MALAT-1 interacts with hnRNP C in cell cycle regulation	nan	malat1 interacted with hnRNP C and facilitated its cytoplasmic translocation in the G2/M phase, thereby regulating the progress of the cell cycle.	RNA Immunoprecipitation	23973260	
MALAT1	OASL	RNA-Protein	Binding	Homo sapiens	The pre-mRNA levels of OASL and IFI44 were reduced, while that of SPINK4 was unaltered between control cells and MALAT-1 silenced cells, suggesting that MALAT-1 can influence gene expression at distinct steps	nan	nan	in vitro	22355166	
MALAT1	AQR	RNA-Protein	Regulation	Homo sapiens	RNAi-mediated repression of the nuclear speckle proteins, RNPS1, SRm160, or IBP160, which are well-known mRNA processing factors, resulted in the diffusion of MALAT-3 to the nucleoplasm.	nan	nan	in vitro	22355166	
MALAT1	SRRM1	RNA-Protein	Regulation	Homo sapiens	RNAi-mediated repression of the nuclear speckle proteins, RNPS1, SRm160, or IBP160, which are well-known mRNA processing factors, resulted in the diffusion of MALAT-2 to the nucleoplasm.	nan	nan	in vitro	22355166	
MALAT1	IFI44	RNA-Protein	Binding	Homo sapiens	The pre-mRNA levels of OASL and IFI44 were reduced, while that of SPINK4 was unaltered between control cells and MALAT-1 silenced cells, suggesting that MALAT-2 can influence gene expression at distinct steps	nan	nan	in vitro	22355166	
MALAT1	RNPS1	RNA-Protein	Regulation	Homo sapiens	RNAi-mediated repression of the nuclear speckle proteins, RNPS1, SRm160, or IBP160, which are well-known mRNA processing factors, resulted in the diffusion of MALAT-1 to the nucleoplasm.	nan	nan	in vitro	22355166	
MALAT1	PKD2	RNA-Protein	Binding	Homo sapiens	This movement is the consequence of binding of methylated and unmethy- lated Pc2 to the ncRNAs TUG1 and MALAT1/NEAT2, located in PcGs and ICGs, respectively.	lung	achieving coordinated gene expression programs	CLIP	22078878	
MALAT1	SRSF1	RNA-Protein	Binding	Homo sapiens	RNA-IP followed by RT-PCR in extracts from HeLa cells transiently expressing T7-tagged SR proteins (SRSF1, SRSF2 [SC35], SRSF3 [SRp20], SRSF5 [SRp40]) revealed interaction between MALAT1 and SRSF1, SRSF2, and SRSF3	nan	nan	RNA-IP	20797886	
MALAT1	SRSF2	RNA-Protein	Binding	Homo sapiens	RNA-IP followed by RT-PCR in extracts from HeLa cells transiently expressing T7-tagged SR proteins (SRSF1, SRSF2 [SC35], SRSF3 [SRp20], SRSF5 [SRp40]) revealed interaction between MALAT1 and SRSF1, SRSF2, and SRSF3	nan	nan	RNA-IP	20797886	
MALAT1	SRSF3	RNA-Protein	Binding	Homo sapiens	RNA-IP followed by RT-PCR in extracts from HeLa cells transiently expressing T7-tagged SR proteins (SRSF1, SRSF2 [SC35], SRSF3 [SRp20], SRSF5 [SRp40]) revealed interaction between MALAT1 and SRSF1, SRSF2, and SRSF3	nan	nan	RNA-IP	20797886	
MALAT1	SRSF5	RNA-Protein	Binding	Homo sapiens	SRSF5, which has a domain organization similar to that of SRSF1, consisting of two N-terminal RNA recognition motifs (RRMs) and a C-terminal RS domain, showed weak association with MALAT1 compared to other SR proteins tested (Figure	nan	nan	RNA-IP	20797886	
MALAT1	SNCG	RNA-Protein	Binding	Homo sapiens	MALAT1 interacts with SR proteins and influences the distribution of these and other splicing factors in nuclear speckle domains.	nan	nan	RNA-IP	20797886	
MALAT1	PRPF6	RNA-Protein	Binding	Homo sapiens	RNA-IP in nuclear extracts from cells that were transfected with T7-PRP6 cDNA followed by RT-PCR using MALAT1-specific primers confirmed an interaction between MALAT1 and PRP6	nan	nan	RNA-IP	20797886	
MALAT1	PSPC1	RNA-Protein	Binding	Homo sapiens	PSP1, an RNA-binding protein and a component of paraspeckles, also displayed a weak interaction with MALAT1 but at the same time showed a strong association with the paraspeckle-localized NEAT1	nan	nan	RNA-IP	20797886	
MALAT1	SRSF1	RNA-Protein	Binding	Homo sapiens	the ncRNAs represented in the SFRS1 CLIP-seq data are 23 snoRNAs, three microRNA precursors, and the 5.8S rRNA, XIST and MALAT1 RNAs.	nan	nan	CLIP-seq	19116412	
Malat1	Yap1	RNA-Protein	Regulation	Mus musculus	YAP interacts with TCF4/-catenin to regulate Malat1 transcription	nan	Malat1 is overexpressed	RNA Immunoprecipitation	24468535	
Malat1	Srsf1	RNA-Protein	Regulation	Mus musculus	SRSF1 inhibits YAP transcriptional activity and prevents YAP recruitment on the Malat1 promoter	nan	Malat1 is suppressed	RNA Immunoprecipitation	24468535	
Malat1	Hnrnpc	RNA-Protein	Binding	Mus musculus	MALAT-1 interacts with hnRNP C in cell cycle regulation	nan	malat1 interacted with hnRNP C and facilitated its cytoplasmic translocation in the G2/M phase, thereby regulating the progress of the cell cycle.	RNA Immunoprecipitation	23973260	
MALAT1	SUZ12	RNA-Protein	Binding	Homo sapiens	malat1 represses E-cadherin (E-cad) expression by associating with suz12	bladder cancer tissue, cell lines (T24, RT4)	TGF-b-induced malat1 promotes EMT and subsequent bladder cancer metastasis by associating with suz12	qPCR, Western blot, Luciferase reporter assay, RNAi, RIP etc.	24449823	
MALAT1	AGO2	RNA-Protein	Binding	Homo sapiens	By performing RNA-binding protein immunoprecipitation (RIP) assay and RNA pull-down assay, we confirmed that miR-145 and MALAT1 were in the same Ago2 complex and there was a reciprocal repression between them	Cervical 	cervical cancer	immunoprecipitation (RIP) assay and RNA pull-down assay	26311052	
MEG3	EZH2	RNA-Protein	Binding	Homo sapiens	ARID2 and EZH2 bind to lncRNAs in vivo, including Meg3	foreskin fibroblasts	stimulate JARID2-EZH2 interactions	PAR-CLIP	24374312	
MEG3	RAC1	RNA-Protein	Regulation	Homo sapiens	Rac1 was negatively regulated by lncRNA-MEG3 at the posttranscriptional level, via aspecific target site within the 3UTR by dual luciferase reporter assay	papillary thyroid carcinoma (PTC) tissues	inhibit the cell migration and invasion	dual luciferase reporter assay	25997963	
