lncrna	Interacting partner	Interaction Class	Interaction Mode	Organism	Description	Tissue	Phenotype	Method	Pubmed id
H19	CTCF	DNA-TF	Binding	Homo sapiens	CTCF bind to the CCCTC site and 6 of H19	ovrian;lymphocyte	NULL	in vitro	16603642
H19	E2F1	DNA-TF	Regulation	Homo sapiens	E2F1 is recruited to the H19 promoterin vivo	breast cancer cells	H19 overexpression confers a growth advantage on breast cancer cells released from growth arrest as well as in asynchronously growing cells. The H19 knockdown by small interfering RNA duplexes impedes S-phase entry in both wild-type and stably H19-transfected cells.	chromatin immunoprecipitation assays	15985428
H19	CTCF	DNA-TF	Binding	Homo sapiens	CTCF binds with the ICR of IGF2/H19 and thusregulates the expression of these two genes.	osteosarcoma tumor samples	inhibits IGF2/H19 imprinting	ChIP	12960026
H19	CDKN1C	DNA-DNA	Regulation	Homo sapiens	CDKN1C contains a silencer sequence of H19	NULL	H19 imprinting	In vitro	12874112
H19	KCNQ1	DNA-DNA	Regulation	Homo sapiens	KvDMR contains a silencer sequence of H19	NULL	H19 imprinting	In vitro	12874112
H19	Mbd1	RNA-TF	Binding	Mus musculus	We observed that the H19 RNA significantly coimmunoprecipitated with the MBD1 protein	NULL	NULL	RNA-IP	24297921
H19	Mirlet7e	RNA-RNA	Binding	Mus musculus	H19 binds to let-7 and inhibits its function, acting as a molecular sponge.	NULL	control timing of muscle differentiation	in vitro	24055342
H19	Mirlet7g	RNA-RNA	Binding	Mus musculus	H19 binds to let-7 and inhibits its function, acting as a molecular sponge.	NULL	control timing of muscle differentiation	in vitro	24055342
H19	Khsrp	RNA-Protein	Binding	Mus musculus	KSRP Directly Interacts with the H19 lncRNA.	the cytoplasm of proliferating C2C11 cells	NULL	crosslinking immunoprecipitation (HITS-CLIP)	25385579
H19	Hnrnpu	RNA-Protein	Binding	Mus musculus	the protein hnRNP U interacts with H19, H19 is bound to hnRNP U, and this interaction is located within the 5'882 nt region of H19. 	NULL	NULL	RIP	23811339
H19	Elavl1	RNA-Protein	Binding	Mus musculus	RNA immunoprecipitation experiments indeed confirmed HuR binding to H19	placentas	slowdown growth of the placenta in the second half of gestation, in preparation for parturition.	RNA immunoprecipitation	22684254
H19	Cdkn1c	RNA-DNA	Regulation	Mus musculus	Cdkn1c DMR is a target of H19 lncRNA but not of MDB1	NULL	NULL	RNA-IP	24297921
H19	Igf2	RNA-DNA	Regulation	Mus musculus	H19 lncRNA directly represses Igf2,Slc38a4,and Peg1 by recruiting the MDB1 protein to the DMRs of these three imprinted genes	NULL	NULL	RNA-IP	24297921
H19	Mest	RNA-DNA	Regulation	Mus musculus	H19 lncRNA directly represses Igf2,Slc38a4,and Peg1 by recruiting the MDB1 protein to the DMRs of these three imprinted genes	NULL	NULL	RNA-IP	24297921
H19	Slc38a4	RNA-DNA	Regulation	Mus musculus	H19 lncRNA directly represses Igf2,Slc38a4,and Peg1 by recruiting the MDB1 protein to the DMRs of these three imprinted genes	NULL	NULL	RNA-IP	24297921
H19	Myod1	DNA-TF	Binding	Mus musculus	Chromatin conformation capture experiments reveal direct interaction of CS9 with the H19 promoter, leading to increased H19 expression in the presence of Myod	embryonic muscles	NULL	ChIP-Seq	23406902
H19	Ctcf	DNA-TF	Binding	Mus musculus	H19 differentially methylated domain (DMD) controls, upon binding with the CTCF protein	muscle;kidney ; liver	NULL	Bisulfite sequencing analysis	21575277
H19	Ctcf	DNA-TF	Binding	Mus musculus	CTCF bound to the H19 ICR	NULL	NULL	ChIP	20427289
H19	Smad2	DNA-TF	Binding	Mus musculus	Smads Bind the H19 ICR in a CTCF-dependent Manner	NULL	NULL	ChIP	20427289
H19	Smad3	DNA-TF	Binding	Mus musculus	Smads Bind the H19 ICR in a CTCF-dependent Manner	NULL	NULL	ChIP	20427289
H19	Smad4	DNA-TF	Binding	Mus musculus	Smads Bind the H19 ICR in a CTCF-dependent Manner	NULL	NULL	ChIP	20427289
H19	Ctcf	DNA-TF	Binding	Mus musculus	the chromatin loop organized by the CTCF-bound, differentially methylated region at the Igf2/H19 locus can be detected in mitosis.	NULL	NULL	ChIP	16107875
H19	Ctcf	DNA-TF	Binding	Mus musculus	CTCF protects the H19 DMD from de novo methylation during oocyte growth and is required for normal preimplantation development.	NULL	NULL	In vitro	14716017
H19	Mecp2	DNA-TF	Binding	Mus musculus	MeCP2 is recruited to the H19 DMD in vivo and can silence a reporter gene regulated by the H19 DMD in a methylation-dependent manner	liver and brain	silencing the paternal H19 allele	ChIP	11861904
H19	Esr1	DNA-TF	Regulation	Mus musculus	In vitro experiments indicated that ERalpha up-regulated the H19 promoter.	MCF-7 cells,HBL-100	NULL	In vitro	10442637
H19	Lgals4	DNA-Protein	Binding	Mus musculus	GAL4 protein bound to the modified H19 DMR-UAS	HEK cells	NULL	CHIP	15273689
H19	Nctc1	DNA-DNA	Regulation	Mus musculus	Nctc1is co-regulated with Igf2 and H19 and physically interacts with the shared muscle enhancer.	muscle	Nctc1 imprinting	ChIP	23221643
H19	Igf2	DNA-DNA	Regulation	Mus musculus	H19 DMR has differential interactions with the Igf2 DMRs on the maternal and paternal alleles	HEK cells	NULL	3C assay	15273689
H19	Huc1	DNA-DNA	Regulation	Mus musculus	HUG1,as a enhancer, interact with the ICR at H19 and the epigenetically regulated silencer at DMR1 of Igf2	mesodermal tissues	epigenetically regulated silencer at differentially methylated region 1	in vitro and in vivo	11874916
H19	Huc2	DNA-DNA	Regulation	Mus musculus	HUG2,as a enhancer, interact with the ICR at H19 and the epigenetically regulated silencer at DMR1 of Igf2	mesodermal tissues	epigenetically regulated silencer at differentially methylated region 1	in vitro and in vivo	11874916
H19	Tnnt3	DNA-DNA	Regulation	Mus musculus	Biallelic expression ofTNNT3and co-expression withH19in fast skeletal muscle	skeletal muscle	NULL	in vivo	8968746
H19	Igf2	DNA-DNA	Regulation	Mus musculus	imprinting regulates the expression of H19 and Igf2 genes in some differentiating cell lineages	ES cells;teratomas	NULL	in situ hybridisation analysis	8641548
H19	MIRLET7B	RNA-RNA	Binding	Homo sapiens	H19 promoted PDAC cell invasion and migration at least partially by increasing HMGA2-mediated epithelial-mesenchymal transition (EMT) through antagonizing let-7.	pancreatic cancer	H19 promotes pancreatic cancer metastasis	Luciferase reporter assay and qPCR	24920070
H19	Snai2	DNA-Protein	Regulation	Mus musculus	Slug also up-regulated H19 expression and activated its promoter. 	mouse breast cancer 	enhanced tumor metastasis in vivo	RT-qPCR,ISH,Western blot 	24703882
H19	Igf2	RNA-DNA	Regulation	Mus musculus	the expression of the imprinted genes H19 and Igf2 is female-biased in the mouse eye	mouse eye	NULL	RT-qPCR 	23437185
H19	EZH2	RNA-Protein	Binding	Homo sapiens	H19 is associated with enhancer of zeste homolog 2 (EZH2), and that this association results in Wnt/	bladder cancer tissue, cell lines (RT4, RT112, DSH1, 253J, TCCSUP.)	upregulated H19 promotes bladder cancer cell migration in vitro and in vivo.	qPCR, RNAi, Luciferase reporter assay, RIP.	23354591
H19	Hnrnpu	RNA-Protein	Binding	Mus musculus	By RNA pull down assay and western blot analysis, we verified that the full length of H19 can bind to the RNA-binding protein hnRNP U. hnRNP U has been reported to be a member of protein complex, hnRNP U/PCAF/RNA PolII. RIP also displayed the association between H19 and hnRNP U/PCAF/RNA PolII.	HCC tissue, cell lines(SMMC7721, HCCLM3)	H19 suppressed HCC progression metastasis	qPCR, RNAi, RNA pulldown, RIP.	23222811
H19	MIR138-1	RNA-RNA	Binding	Homo sapiens	Furthermore  by using bioinformatics study and RNA immunoprecipitation combined with luciferase reporter assays  we demonstrated that H19 functioned as a competing endogenous RNA  ceRNA  for miR-138 and miR-200a  antagonized their functions and led to the de-repression of their endogenous targets Vimentin  ZEB1  and ZEB2  all of which were core marker genes for mesenchymal cells	colorectal 	colorectal cancer	RNA immunoprecipitation;luciferase reporter assays	26068968
H19	MIR200A	RNA-RNA	Binding	Homo sapiens	Furthermore  by using bioinformatics study and RNA immunoprecipitation combined with luciferase reporter assays  we demonstrated that H19 functioned as a competing endogenous RNA  ceRNA  for miR-138 and miR-201a  antagonized their functions and led to the                 ?                                                            	colorectal 	colorectal cancer	RNA immunoprecipitation;luciferase reporter assays	26068968
H19	AGO2	RNA-Protein	Binding	Homo sapiens	According to the result from RIP experiment, H19 was preferentially enriched in Ago2-containing beads compared to the beads harboring control immunoglobulin G (IgG) antibody	colorectal 	colorectal cancer	RNA immunoprecipitation	26068968
Halr1	Purb	RNA-Protein	Binding	Mus musculus	linc-HOXA1 RNA represses Hoxa1 by recruiting the protein PURB as a transcriptional cofactor.	NULL	represses Hoxa1 expression	in vivo	23723417
Halr1	Hoxa	RNA-DNA	Binding	Mus musculus	Haunt?RNA Binds to the Chromatin on?HOXA?Loci	embryonic stem cell		ChIRP DNA-seq	25891907
HAS2-AS1	OGT	DNA-Protein	Regulation	Homo sapiens	we found that O-GlcNAcylation modulated HAS2-AS1 promoter activation by recruiting the NF-	human aortic smooth muscle cells		ChIP and Luciferase Gene Reporter Assay	25183006
HEIH	EZH2	RNA-Protein	Binding	Homo sapiens	lncRNA-HEIH was associated with enhancer of zeste homolog 2 (EZH2)	hepatocellular	NULL	RIP	21769904
Hes1-as	EZH2	RNA-Protein	Binding	Homo sapiens	Hes1-as RNA directly and specifically interacts with PRC2 and Ezh2 is the RNA-binding subunit.	NULL	NULL	EMSA	21172659
HIF1A-AS1	TET3	RNA-Protein	Regulation	Homo sapiens	TET3 can mediate the activation of HSCs via modulating the expression of the long non-coding RNA HIF1A-AS1	hepatic stellate cells		RNA interference	25550811
HIF1A-AS2	HIF1A	RNA-RNA	Regulation	Homo sapiens	The role of aHIF could be a post-transcriptional regulation of HIF-1 mRNA by increasing its instability via an exposition of AU rich elements in the HIF-1 mRNA 3'UTR. Thus, aHIF would be implicated in the complex regulation of HIF-1 action.	NULL	NULL	in vivo	12459261
Hm629797	Sub1	RNA-TF	Binding	Mus musculus	We also identified interacting proteins of mrhl RNA associated chromatin fraction	testicular	NULL	in vitro and in vivo	25584904
Hm629797	Hmgb2	RNA-TF	Binding	Mus musculus	We also identified interacting proteins of mrhl RNA associated chromatin fraction	testicular	NULL	in vitro and in vivo	25584904
Hm629797	Ddx5	RNA-Protein	Binding	Mus musculus	p68 interacts with mrhl RNA in the chromatin and is necessary for mrhl RNA occupancy at GRPAM loci	testicular	NULL	ChOP-PCR	25584904
Hm629797	Hnrnpa1	RNA-Protein	Binding	Mus musculus	We also identified interacting proteins of mrhl RNA associated chromatin fraction	testicular	NULL	in vitro and in vivo	25584904
Hm629797	Hnrnpab	RNA-Protein	Binding	Mus musculus	We also identified interacting proteins of mrhl RNA associated chromatin fraction	testicular	NULL	in vitro and in vivo	25584904
Hm629797	Rbm3	RNA-Protein	Binding	Mus musculus	We also identified interacting proteins of mrhl RNA associated chromatin fraction	testicular	NULL	in vitro and in vivo	25584904
Hm629797	Hnrnpa2b1	RNA-Protein	Binding	Mus musculus	We also identified interacting proteins of mrhl RNA associated chromatin fraction	testicular	NULL	in vitro and in vivo	25584904
Hm629797	Ddx5	RNA-Protein	Binding	Mus musculus	Ddx5/p68 is one of the interacting proteins of mrhl RNA	NULL	NULL	in vitroandin vivo	22665494
HNF1A-AS1	DNMT1	RNA-Protein	Binding	Homo sapiens	the binding of HNF1A-AS1 to DNMT1 may explain its regulation of E-cadherin	lung	regulate cell proliferation and metastasis 	RIP	25863539
HOST2	MIRLET7B	RNA-RNA	Binding	Homo sapiens	HOST2 binds with microRNA let-7b, a potent tumor suppressor, which was then verified to target HOST2.	epithelial ovarian cancer(EOC)	regulate cell growth and motility	in vivo	25292198
Hotair	Ezh2	RNA-Protein	Binding	Mus musculus	phospho-mimic T345D enhances Ezh2 affinity for HOTAIR ncRNA binding	NULL	X chromosome inactivation	in vitro binding assays	21123648
HOTAIR	REST	RNA-TF	Binding	Homo sapiens	A 5' domain of HOTAIR binds polycomb repressive complex 2 (PRC2), whereas a 3' domain of HOTAIR binds the LSD1/CoREST/REST complex.	Foreskin fibroblasts (CRL-2091), lung fibroblasts (FL2), and HeLa (CCL-1) cell lines	NULL	RNA immunoprecipitation	20616235
HOTAIR	RCOR1	RNA-TF	Binding	Homo sapiens	A 5' domain of HOTAIR binds polycomb repressive complex 2 (PRC2), whereas a 3' domain of HOTAIR binds the LSD1/CoREST/REST complex.	Foreskin fibroblasts (CRL-2091), lung fibroblasts (FL2), and HeLa (CCL-0) cell lines	NULL	RNA immunoprecipitation	20616235
HOTAIR	MIR193A	RNA-RNA	Binding	Homo sapiens	HOTAIR modulated c-KIT expression by competitively binding miR-193a	acute myeloid leukemia	NULL	RIP	25979172
HOTAIR	MIR33A	RNA-RNA	Binding	Homo sapiens	miR-34a binds directly to HOTAIR	NULL	NULL	luciferase reporter assays	23936419
HOTAIR	VIM	RNA-Protein	Regulation	Homo sapiens	HOTAIR exerts its effects on migration and invasion of HeLa cells, at least in part, through the regulation of VIM expression.	NULL	NULL	RNA interference	25762744
HOTAIR	PCBP1	RNA-Protein	Regulation	Homo sapiens	this still proves direct interaction between HOTAIR lncRNA and PCBP1.  	NULL	HOTAIR promotes gastric cancer metastasis	RIP assay	25612617
HOTAIR	EZH2	RNA-Protein	Binding	Homo sapiens	knockdown of lncRNA HOTAIR led to the weakening of the recruitment and binding abilities of EZH2 and H3K27me3 locus with lncRNA HOTAIR.	kidney	NULL	RNA-binding protein immunoprecipitation (RIP)-qRT-PCR	25149152
HOTAIR	H3F3A	RNA-Protein	Binding	Homo sapiens	knockdown of lncRNA HOTAIR led to the weakening of the recruitment and binding abilities of EZH2 and H3K27me3 locus with lncRNA HOTAIR.	kidney	NULL	RNA-binding protein immunoprecipitation (RIP)-qRT-PCR	25149152
HOTAIR	RBM38	RNA-Protein	Regulation	Homo sapiens	HOTAIR was shown to negatively regulate RBM38. HOTAIR suppression increased the mRNA and protein expression levels of RNA binding motif protein 38 (RBM38)	NULL	promotes cell migration and invasion	in vitro	24663081
HOTAIR	EZH2	RNA-Protein	Binding	Homo sapiens	EZH2-EED heterodimer represents the minimal component of PRC2 necessary for HOTAIR binding	NULL	NULL	EMSA	24320048
HOTAIR	EED	RNA-Protein	Binding	Homo sapiens	EZH2-EED heterodimer represents the minimal component of PRC2 necessary for HOTAIR binding	NULL	NULL	EMSA	24320048
HOTAIR	SUZ12	RNA-Protein	Binding	Homo sapiens	cDNA array data revealed a close correlation between expression of HOTAIR and members of the PRC2 complex (SUZ12, EZH2, and H3K27me3).	NULL	HOTAIR overexpression enhanced EZH2 occupancy, and H3K27me3 and epigenetically regulated several target genes involved in breast cancer progression inhibition especially in aggressive breast tumors.	in vitro	21862635
HOTAIR	H3F3A	RNA-Protein	Binding	Homo sapiens	cDNA array data revealed a close correlation between expression of HOTAIR and members of the PRC2 complex (SUZ12, EZH2, and H3K27me3).	NULL	HOTAIR overexpression enhanced EZH2 occupancy, and H3K27me3 and epigenetically regulated several target genes involved in breast cancer progression inhibition especially in aggressive breast tumors.	in vitro	21862635
HOTAIR	EZH2	RNA-Protein	Binding	Homo sapiens	human HOTAIR contains several binding sites for the SET domain containing PRC2 component EZH2	NULL	NULL	in situ hybridization	21637793
HOTAIR	EZH2	RNA-Protein	Binding	Homo sapiens	Ezh2 interacts with HOTAIR and Xist.	NULL	NULL	in vitro binding assays	21123648
HOTAIR	EZH2	RNA-Protein	Binding	Homo sapiens	A 5' domain of HOTAIR binds polycomb repressive complex 2 (PRC2), whereas a 3' domain of HOTAIR binds the LSD1/CoREST/REST complex.	Foreskin fibroblasts (CRL-2091), lung fibroblasts (FL2), and HeLa (CCL-3) cell lines	NULL	RNA immunoprecipitation	20616235
HOTAIR	KDM1A	RNA-Protein	Binding	Homo sapiens	A 5' domain of HOTAIR binds polycomb repressive complex 2 (PRC2), whereas a 3' domain of HOTAIR binds the LSD1/CoREST/REST complex.	Foreskin fibroblasts (CRL-2091), lung fibroblasts (FL2), and HeLa (CCL-1) cell lines	NULL	RNA immunoprecipitation	20616235
HOTAIR	SUZ12	RNA-Protein	Binding	Homo sapiens	A 5' domain of HOTAIR binds polycomb repressive complex 2 (PRC2), whereas a 3' domain of HOTAIR binds the LSD1/CoREST/REST complex.	Foreskin fibroblasts (CRL-2091), lung fibroblasts (FL2), and HeLa (CCL-2) cell lines	NULL	RNA immunoprecipitation	20616235
HOTAIR	EZH2	RNA-Protein	Binding	Homo sapiens	lincRNA HOTAIR binds the polycomb repressive complex (PRC)2	HeLa and hFFs	counterbalance mutHTT cytotoxicity	RIP	19571010
HOTAIR	SUZ12	RNA-Protein	Binding	Homo sapiens	lincRNA HOTAIR binds the polycomb repressive complex (PRC)2	HeLa and hFFs	counterbalance mutHTT cytotoxicity	RIP	19571010
HOTAIR	SUZ12	RNA-Protein	Binding	Homo sapiens	Pulldown assays show a specific interaction between HOTAIR and PRC2 key components, Suz12 and Ezh2.	fibroblasts	knockdown of HOTAIR does not lead to any changes in the HOXC locus, but instead represses transcription across 40 kb of the HOXD locus, as shown by the loss of the PRC2 occupancy and H3K27 trimethylation, in the HOXD cluster which is located on a different chromosome from HOXC.	in vitro	17604720
HOTAIR	HIF1A	DNA-TF	Binding	Homo sapiens	HOTAIR is a direct target of HIF-1	lung	enhanced cancer cell proliferation, migration, and invasion	CHIP and EMSA	26088446
HOTAIR	STAT3	DNA-TF	Regulation	Homo sapiens	A ChIP assay determined that the interaction of STAT3 with the promoter regions of HOX transcript antisense RNA (HOTAIR) increased levels of HOTAIR	cancer stem cells	NULL	CHIP	25447409
HOTAIR	BRD4	DNA-Protein	Binding	Homo sapiens	we performed chromatin immunoprecipitation (ChIP) assays to detect an association of BRD4 with the HOTAIR promoter	NULL	NULL	ChIP	26111795
HOTAIR	CTNNB1	DNA-Protein	Binding	Homo sapiens	expression of HOTAIR is regulated by  catenin through a LEF1/TCF4-binding site	breast	induce tumor growth and metastasis in breast cancer	ChIP	25883211
HOTAIR	CREBBP	DNA-Protein	Binding	Homo sapiens	ER-coactivators such as MLL histone methylases, CBP/p300 (histone acetylase) are recruited to the HOTAIR promoter in presence of E2	breast	HOTAIR is crucial for cell growth and viability and its knockdown induced apoptosis in breast cancer cells.	ChIP assay	23375982
HOTAIR	EP300	DNA-Protein	Binding	Homo sapiens	ER-coactivators such as MLL histone methylases, CBP/p300 (histone acetylase) are recruited to the HOTAIR promoter in presence of E2	breast	HOTAIR is crucial for cell growth and viability and its knockdown induced apoptosis in breast cancer cells.	ChIP assay	23375982
HOTAIR	KMT2A	DNA-Protein	Binding	Homo sapiens	ER-coactivators such as MLL histone methylases, CBP/p300 (histone acetylase) are recruited to the HOTAIR promoter in presence of E2	breast	HOTAIR is crucial for cell growth and viability and its knockdown induced apoptosis in breast cancer cells.	ChIP assay	23375982
HOTAIR	KMT2D	DNA-Protein	Binding	Homo sapiens	ER-coactivators such as MLL histone methylases, CBP/p300 (histone acetylase) are recruited to the HOTAIR promoter in presence of E2	breast	HOTAIR is crucial for cell growth and viability and its knockdown induced apoptosis in breast cancer cells.	ChIP assay	23375982
HOTAIR	KMT2C	DNA-Protein	Binding	Homo sapiens	ER-coactivators such as MLL histone methylases, CBP/p300 (histone acetylase) are recruited to the HOTAIR promoter in presence of E2	breast	HOTAIR is crucial for cell growth and viability and its knockdown induced apoptosis in breast cancer cells.	ChIP assay	23375982
HOTAIR	EZH2	RNA-Protein	Binding	Homo sapiens	Hotair associates with EZH2	hepatocellular carcinoma?	?inhibited cell viability and induced G1-phase arrest?in vitro?and suppressed tumorigenicity?in vivo?	RIP	26024833
HOTAIR	MIR218-1	RNA-RNA	Regulation	Homo sapiens	Hotair expression negatively correlates with miR-218 and positively correlates with Bmi-1 in primary HCCs	hepatocellular carcinoma?	?inhibited cell viability and induced G1-phase arrest?in vitro?and suppressed tumorigenicity?in vivo?	RNA immunoprecipitation and luciferase reporter assays	26024833
HOTAIR	MIR218-2	RNA-RNA	Regulation	Homo sapiens	Hotair expression negatively correlates with miR-218 and positively correlates with Bmi-1 in primary HCCs	hepatocellular carcinoma?	?inhibited cell viability and induced G1-phase arrest?in vitro?and suppressed tumorigenicity?in vivo?	RNA immunoprecipitation and luciferase reporter assays	26024833
HOTAIR	BMI1	RNA-RNA	Regulation	Homo sapiens	Hotair expression negatively correlates with miR-218 and positively correlates with Bmi-1 in primary HCCs	hepatocellular carcinoma?	?inhibited cell viability and induced G1-phase arrest?in vitro?and suppressed tumorigenicity?in vivo?	RNA immunoprecipitation and luciferase reporter assays	26024833
HOTAIR	WIF1	RNA-DNA	Binding	Homo sapiens	HOTAIR directly decreased WIF-1 expression by promoting its histone H3K27 methylation in the promoter region and then activated the Wnt/	esophageal squamous cell carcinoma	NULL	qRT-PCR, RNAi, CHIP, Luciferase reporter assay	24118380
Hotair	Ezh2	RNA-Protein	Binding	Mus musculus	Immunoprecipitation (IP) of PRC2 subunits Ezh2 or Suz12, and separately the histone demethylase LSD1, from posterior E11.5 embryos specifically retrieved Hotair but not Malat1 nor U1 RNA.This result suggests that Hotair binds both H3K27 methylase and H3K4 demethylase complexes.	posterior E11.5 embryos 	NULL	RIP, ChIP,qPCR and ChIP-seq 	24075995
Hotair	Suz12	RNA-Protein	Binding	Mus musculus	Immunoprecipitation (IP) of PRC2 subunits Ezh2 or Suz12, and separately the histone demethylase LSD1, from posterior E11.5 embryos specifically retrieved Hotair but not Malat1 nor U1 RNA.This result suggests that Hotair binds both H3K27 methylase and H3K4 demethylase complexes.	posterior E11.5 embryos 	NULL	RIP, ChIP,qPCR and ChIP-seq 	24075995
Hotair	Kdm1a	RNA-Protein	Binding	Mus musculus	Immunoprecipitation (IP) of PRC2 subunits Ezh2 or Suz12, and separately the histone demethylase LSD1, from posterior E11.5 embryos specifically retrieved Hotair but not Malat1 nor U1 RNA.This result suggests that Hotair binds both H3K27 methylase and H3K4 demethylase complexes.	posterior E11.5 embryos 	NULL	RIP, ChIP,qPCR and ChIP-seq 	24075995
HOTAIR	EZH2	RNA-Protein	Binding	Homo sapiens	In a subset of 32 CRC specimens, gene set enrichment analysis using cDNA array data revealed a close correlation between expression of HOTAIR and members of the PRC2 complex (SUZ12, EZH2, and H3K27me3).	CRC tissue, cell lines(HEK293T, HCT116, SW480)	HOTAIR promotes invasion of CRC cells	qPCR, RNAi	21862635
HOTAIR	EZH2	RNA-Protein	Binding	Homo sapiens	Our optimized assay has the potential to be used as a high-throughput screening (HTS) platform to find modulators of HOTAIR-EZH2 binding as well as to study the dynamics of the interaction between this important lncRNA and its protein partner.	-	-	AlphaScreen Assay	26173710
HOTAIR	MIR326	RNA-RNA	Binding	Homo sapiens	HOTAIR was confirmed to be the target of miR-326 and miR-326 mediated the tumor-suppressive effects of HOTAIR knockdown on glioma cell lines.	human glioma cells	-	EMSA	26183397
HOTAIR	EZH2	RNA-Protein	Binding	Homo sapiens	Furthermore, we verified that HOTAIR was located both in the nucleus and cytoplasm of gastric cancer cells, and RNA immunoprecipitation (RIP) assays showed that HOTAIR could bind to PRC2	gastric	human gastric cancer	RNA immunoprecipitation?	26136075
HOTAIR	SUZ12	RNA-Protein	Binding	Homo sapiens	Furthermore, we verified that HOTAIR was located both in the nucleus and cytoplasm of gastric cancer cells, and RNA immunoprecipitation (RIP) assays showed that HOTAIR could bind to PRC3	gastric	human gastric cancer	RNA immunoprecipitation?	26136075
HOTAIR	E7	RNA-Protein	Binding	Homo sapiens	Functional inactivation of HOTAIR by direct interaction with E7 could also be predicted by in silico analysis and confirmed by RNA-Immunoprecipitation	Cervical 	Cervical Cancer 	RNA-Immunoprecipitation	26152361
HOTAIRM1	POLR2A	DNA-Protein	Binding	Homo sapiens	ChIP assay of RNAP II binding to the HOTAIRM1 gene	NULL	NULL	ChIP	19144990
HOTTIP	WDR5	RNA-Protein	Binding	Homo sapiens	WDR5 binding to HOTTIP	NULL	NULL	RIP	24521543
HOTTIP	KMT2A	RNA-Protein	Binding	Homo sapiens	HOTTIP directly binds the adaptor protein WDR5 and targets WDR5/MLL complexes across HOXA	fibroblasts	NULL	RIP	21423168
HOTTIP	WDR5	RNA-Protein	Binding	Homo sapiens	HOTTIP directly binds the adaptor protein WDR5 and targets WDR5/MLL complexes across HOXA	fibroblasts	NULL	RIP	21423168
HOTTIP	MIR125B1	RNA-RNA	Regulation	Homo sapiens	Long non-coding RNA HOTTIP is frequently up-regulated in hepatocellular carcinoma and is targeted by tumour suppressive miR-125b.	hepatocellular carcinoma	inhibited HCC cell proliferation and tumourigenesis	luciferase reporter assay	25424744
HOTTIP	MIR125B2	RNA-RNA	Regulation	Homo sapiens	Long non-coding RNA HOTTIP is frequently up-regulated in hepatocellular carcinoma and is targeted by tumour suppressive miR-125b.	hepatocellular carcinoma	inhibited HCC cell proliferation and tumourigenesis	luciferase reporter assay	25424744
Hottip	Wdr5	RNA-Protein	Binding	Mus musculus	WDR5 binding to HOTTIP	NULL	NULL	RIP	24521543
Hottip	Wdr5	RNA-Protein	Binding	Mus musculus	HOTTIP directly binds the adaptor protein WDR5 and targets WDR5/MLL complexes across HOXA	fibroblasts	NULL	RIP	21423168
Hottip	Kmt2a	RNA-Protein	Binding	Mus musculus	HOTTIP directly binds the adaptor protein WDR5 and targets WDR5/MLL complexes across HOXA	fibroblasts	NULL	RIP	21423168
Hoxb5os	H3f3a	RNA-Protein	Binding	Mus musculus	Hoxb5/6as associates with trimethylated H3K4 histones and MLL1, suggesting a role in epigenetic regulation of homeotic loci during ES cell differentiation	embryonic stem cell	ES cell differentiation	RNA-ChIP	18562676
Hoxb5os	Kmt2a	RNA-Protein	Binding	Mus musculus	Hoxb5/6as associates with trimethylated H3K4 histones and MLL1, suggesting a role in epigenetic regulation of homeotic loci during ES cell differentiation	embryonic stem cell	ES cell differentiation	RNA-ChIP	18562676
Hsr1	Hsf1	RNA-TF	Binding	Mus musculus	HSR1/eEF1A complex binds to HSF1 upon heat shock helping to activate HSF1.	NULL	NULL	RIP	16554823
Hsr1	Eef1a2	RNA-Protein	Binding	Mus musculus	the amount of HSR1-eEF1A complexesin vivoincreased upon heat shock	NULL	NULL	RIP	16554823
HSR1	HSF1	RNA-Protein	Binding	Candida albicans SC5314	Heat-shock RNA 1 (HSR1) binds heat-shock transcription factor 1 (HSF1), facilitating its ability to activate genes encoding heat-shock proteins.	NULL	NULL	EMSA	16554823
Hsromega	Hrb87F	RNA-Protein	Binding	Drosophila melanogaster	The RNA binding domain II (RBD-II) of HRB87F is essential for its tight binding to the 93D or hsr-w locus.	NULL	NULL	Immunoprecipitation	10984439
HSUR1	MIR27A	RNA-RNA	Binding	Kaposi sarcoma-associated herpesvirus (KSHV)	Direct interaction between HSUR 1 and miR-27 is required	NULL	NULL	in vitro	24556411
HULC	MIR372	RNA-RNA	Regulation	Homo sapiens	we demonstrated HULC may act as an endogenous 'sponge', which down-regulates a series of microRNAs (miRNAs) activities, including miR-372.	liver	cell proliferation	Luciferase assays	20423907
HULC	IGFBP1	RNA-Protein	Binding	Homo sapiens	IGF2BP1 binds HULC and recruits it to the CCR4-NOT1 complex	NULL	strong up-regulation of HULC in human hepatocellular carcinoma.	RNA immunoprecipitation	23728852
HULC	CREB1	DNA-TF	Binding	Homo sapiens	Binding of phospho-CREB to the core promoter in liver cancer	liver	cell proliferation	EMSA	20423907
HULC	MIR203A	RNA-RNA	Binding	Homo sapiens	 We also confirmed that miR-203 and oncogene ADAM9 (a disintegrin and metalloproteinase 9)/oncogenic long non-coding RNA HULC (highly up-regulated in liver cancer) were inversely expressed in hepatocellular carcinoma (HCC) tissues or cell lines. 	liver	hepatocellular carcinoma	-	26179263
HULC	TPPP2	RNA-Protein	Regulation	Homo sapiens	RIP assay showed that HULC down-regulated the level of p18 directly.	liver		RIP assay	25952928
